#Navio B MarAd
#Manobra de Curva Giro
#
#Rotações do propulsor
#
#temp      rot
 0.00  0.62
 0.70  0.62
 1.40  0.62
 2.10  0.62
 2.80  0.62
 3.50  0.62
 4.20  0.62
 4.90  0.62
 5.60  0.62
 6.30  0.62
 7.00  0.62
 7.70  0.62
 8.40  0.62
 9.10  0.62
 9.80  0.62
 10.50  0.62
 11.20  0.62
 11.90  0.62
 12.60  0.62
 13.30  0.62
 14.00  0.62
 14.70  0.62
 15.40  0.62
 16.10  0.62
 16.80  0.62
 17.50  0.62
 18.20  0.62
 18.90  0.62
 19.60  0.62
 20.30  0.62
 21.00  0.62
 21.70  0.62
 22.40  0.62
 23.10  0.62
 23.80  0.62
 24.50  0.62
 25.20  0.62
 25.90  0.62
 26.60  0.62
 27.30  0.62
 28.00  0.62
 28.70  0.62
 29.40  0.62
 30.10  0.62
 30.80  0.62
 31.50  0.62
 32.20  0.62
 32.90  0.62
 33.60  0.62
 34.30  0.62
 35.00  0.62
 35.70  0.62
 36.40  0.62
 37.10  0.62
 37.80  0.62
 38.50  0.62
 39.20  0.62
 39.90  0.62
 40.60  0.62
 41.30  0.62
 42.00  0.62
 42.70  0.62
 43.40  0.62
 44.10  0.62
 44.80  0.62
 45.50  0.62
 46.20  0.62
 46.90  0.62
 47.60  0.62
 48.30  0.62
 49.00  0.62
 49.70  0.62
 50.40  0.62
 51.10  0.62
 51.80  0.62
 52.50  0.62
 53.20  0.62
 53.90  0.62
 54.60  0.62
 55.30  0.62
 56.00  0.62
 56.70  0.62
 57.40  0.62
 58.10  0.62
 58.80  0.62
 59.50  0.62
 60.20  0.62
 60.90  0.62
 61.60  0.62
 62.30  0.62
 63.00  0.62
 63.70  0.62
 64.40  0.62
 65.10  0.62
 65.80  0.62
 66.50  0.62
 67.20  0.62
 67.90  0.62
 68.60  0.62
 69.30  0.62
 70.00  0.62
 70.70  0.62
 71.40  0.62
 72.10  0.62
 72.80  0.62
 73.50  0.62
 74.20  0.62
 74.90  0.62
 75.60  0.62
 76.30  0.62
 77.00  0.62
 77.70  0.62
 78.40  0.62
 79.10  0.62
 79.80  0.62
 80.50  0.62
 81.20  0.62
 81.90  0.62
 82.60  0.62
 83.30  0.62
 84.00  0.62
 84.70  0.62
 85.40  0.62
 86.10  0.62
 86.80  0.62
 87.50  0.62
 88.20  0.62
 88.90  0.62
 89.60  0.62
 90.30  0.62
 91.00  0.62
 91.70  0.62
 92.40  0.62
 93.10  0.62
 93.80  0.62
 94.50  0.62
 95.20  0.62
 95.90  0.62
 96.60  0.62
 97.30  0.62
 98.00  0.62
 98.70  0.62
 99.40  0.62
 100.10  0.62
 100.80  0.62
 101.50  0.62
 102.20  0.62
 102.90  0.62
 103.60  0.62
 104.30  0.62
 105.00  0.62
 105.70  0.62
 106.40  0.62
 107.10  0.62
 107.80  0.62
 108.50  0.62
 109.20  0.62
 109.90  0.62
 110.60  0.62
 111.30  0.62
 112.00  0.62
 112.70  0.62
 113.40  0.62
 114.10  0.62
 114.80  0.62
 115.50  0.62
 116.20  0.62
 116.90  0.62
 117.60  0.62
 118.30  0.62
 119.00  0.62
 119.70  0.62
 120.40  0.62
 121.10  0.62
 121.80  0.62
 122.50  0.62
 123.20  0.62
 123.90  0.62
 124.60  0.62
 125.30  0.62
 126.00  0.62
 126.70  0.62
 127.40  0.62
 128.10  0.62
 128.80  0.62
 129.50  0.62
 130.20  0.62
 130.90  0.62
 131.60  0.62
 132.30  0.62
 133.00  0.62
 133.70  0.62
 134.40  0.62
 135.10  0.62
 135.80  0.62
 136.50  0.62
 137.20  0.62
 137.90  0.62
 138.60  0.62
 139.30  0.62
 140.00  0.62
 140.70  0.62
 141.40  0.62
 142.10  0.62
 142.80  0.62
 143.50  0.62
 144.20  0.62
 144.90  0.62
 145.60  0.62
 146.30  0.62
 147.00  0.62
 147.70  0.62
 148.40  0.62
 149.10  0.62
 149.80  0.62
 150.50  0.62
 151.20  0.62
 151.90  0.62
 152.60  0.62
 153.30  0.62
 154.00  0.62
 154.70  0.62
 155.40  0.62
 156.10  0.62
 156.80  0.62
 157.50  0.62
 158.20  0.62
 158.90  0.62
 159.60  0.62
 160.30  0.62
 161.00  0.62
 161.70  0.62
 162.40  0.62
 163.10  0.62
 163.80  0.62
 164.50  0.62
 165.20  0.62
 165.90  0.62
 166.60  0.62
 167.30  0.62
 168.00  0.62
 168.70  0.62
 169.40  0.62
 170.10  0.62
 170.80  0.62
 171.50  0.62
 172.20  0.62
 172.90  0.62
 173.60  0.62
 174.30  0.62
 175.00  0.62
 175.70  0.62
 176.40  0.62
 177.10  0.62
 177.80  0.62
 178.50  0.62
 179.20  0.62
 179.90  0.62
 180.60  0.62
 181.30  0.62
 182.00  0.62
 182.70  0.62
 183.40  0.62
 184.10  0.62
 184.80  0.62
 185.50  0.62
 186.20  0.62
 186.90  0.62
 187.60  0.62
 188.30  0.62
 189.00  0.62
 189.70  0.62
 190.40  0.62
 191.10  0.62
 191.80  0.62
 192.50  0.62
 193.20  0.62
 193.90  0.62
 194.60  0.62
 195.30  0.62
 196.00  0.62
 196.70  0.62
 197.40  0.62
 198.10  0.62
 198.80  0.62
 199.50  0.62
 200.20  0.62
 200.90  0.62
 201.60  0.62
 202.30  0.62
 203.00  0.62
 203.70  0.62
 204.40  0.62
 205.10  0.62
 205.80  0.62
 206.50  0.62
 207.20  0.62
 207.90  0.62
 208.60  0.62
 209.30  0.62
 210.00  0.62
 210.70  0.62
 211.40  0.62
 212.10  0.62
 212.80  0.62
 213.50  0.62
 214.20  0.62
 214.90  0.62
 215.60  0.62
 216.30  0.62
 217.00  0.62
 217.70  0.62
 218.40  0.62
 219.10  0.62
 219.80  0.62
 220.50  0.62
 221.20  0.62
 221.90  0.62
 222.60  0.62
 223.30  0.62
 224.00  0.62
 224.70  0.62
 225.40  0.62
 226.10  0.62
 226.80  0.62
 227.50  0.62
 228.20  0.62
 228.90  0.62
 229.60  0.62
 230.30  0.62
 231.00  0.62
 231.70  0.62
 232.40  0.62
 233.10  0.62
 233.80  0.62
 234.50  0.62
 235.20  0.62
 235.90  0.62
 236.60  0.62
 237.30  0.62
 238.00  0.62
 238.70  0.62
 239.40  0.62
 240.10  0.62
 240.80  0.62
 241.50  0.62
 242.20  0.62
 242.90  0.62
 243.60  0.62
 244.30  0.62
 245.00  0.62
 245.70  0.62
 246.40  0.62
 247.10  0.62
 247.80  0.62
 248.50  0.62
 249.20  0.62
 249.90  0.62
 250.60  0.62
 251.30  0.62
 252.00  0.62
 252.70  0.62
 253.40  0.62
 254.10  0.62
 254.80  0.62
 255.50  0.62
 256.20  0.62
 256.90  0.62
 257.60  0.62
 258.30  0.62
 259.00  0.62
 259.70  0.62
 260.40  0.62
 261.10  0.62
 261.80  0.62
 262.50  0.62
 263.20  0.62
 263.90  0.62
 264.60  0.62
 265.30  0.62
 266.00  0.62
 266.70  0.62
 267.40  0.62
 268.10  0.62
 268.80  0.62
 269.50  0.62
 270.20  0.62
 270.90  0.62
 271.60  0.62
 272.30  0.62
 273.00  0.62
 273.70  0.62
 274.40  0.62
 275.10  0.62
 275.80  0.62
 276.50  0.62
 277.20  0.62
 277.90  0.62
 278.60  0.62
 279.30  0.62
 280.00  0.62
 280.70  0.62
 281.40  0.62
 282.10  0.62
 282.80  0.62
 283.50  0.62
 284.20  0.62
 284.90  0.62
 285.60  0.62
 286.30  0.62
 287.00  0.62
 287.70  0.62
 288.40  0.62
 289.10  0.62
 289.80  0.62
 290.50  0.62
 291.20  0.62
 291.90  0.62
 292.60  0.62
 293.30  0.62
 294.00  0.62
 294.70  0.62
 295.40  0.62
 296.10  0.62
 296.80  0.62
 297.50  0.62
 298.20  0.62
 298.90  0.62
 299.60  0.62
 300.30  0.62
 301.00  0.62
 301.70  0.62
 302.40  0.62
 303.10  0.62
 303.80  0.62
 304.50  0.62
 305.20  0.62
 305.90  0.62
 306.60  0.62
 307.30  0.62
 308.00  0.62
 308.70  0.62
 309.40  0.62
 310.10  0.62
 310.80  0.62
 311.50  0.62
 312.20  0.62
 312.90  0.62
 313.60  0.62
 314.30  0.62
 315.00  0.62
 315.70  0.62
 316.40  0.62
 317.10  0.62
 317.80  0.62
 318.50  0.62
 319.20  0.62
 319.90  0.62
 320.60  0.62
 321.30  0.62
 322.00  0.62
 322.70  0.62
 323.40  0.62
 324.10  0.62
 324.80  0.62
 325.50  0.62
 326.20  0.62
 326.90  0.62
 327.60  0.62
 328.30  0.62
 329.00  0.62
 329.70  0.62
 330.40  0.62
 331.10  0.62
 331.80  0.62
 332.50  0.62
 333.20  0.62
 333.90  0.62
 334.60  0.62
 335.30  0.62
 336.00  0.62
 336.70  0.62
 337.40  0.62
 338.10  0.62
 338.80  0.62
 339.50  0.62
 340.20  0.62
 340.90  0.62
 341.60  0.62
 342.30  0.62
 343.00  0.62
 343.70  0.62
 344.40  0.62
 345.10  0.62
 345.80  0.62
 346.50  0.62
 347.20  0.62
 347.90  0.62
 348.60  0.62
 349.30  0.62
 350.00  0.62
 350.70  0.62
 351.40  0.62
 352.10  0.62
 352.80  0.62
 353.50  0.62
 354.20  0.62
 354.90  0.62
 355.60  0.62
 356.30  0.62
 357.00  0.62
 357.70  0.62
 358.40  0.62
 359.10  0.62
 359.80  0.62
 360.50  0.62
 361.20  0.62
 361.90  0.62
 362.60  0.62
 363.30  0.62
 364.00  0.62
 364.70  0.62
 365.40  0.62
 366.10  0.62
 366.80  0.62
 367.50  0.62
 368.20  0.62
 368.90  0.62
 369.60  0.62
 370.30  0.62
 371.00  0.62
 371.70  0.62
 372.40  0.62
 373.10  0.62
 373.80  0.62
 374.50  0.62
 375.20  0.62
 375.90  0.62
 376.60  0.62
 377.30  0.62
 378.00  0.62
 378.70  0.62
 379.40  0.62
 380.10  0.62
 380.80  0.62
 381.50  0.62
 382.20  0.62
 382.90  0.62
 383.60  0.62
 384.30  0.62
 385.00  0.62
 385.70  0.62
 386.40  0.62
 387.10  0.62
 387.80  0.62
 388.50  0.62
 389.20  0.62
 389.90  0.62
 390.60  0.62
 391.30  0.62
 392.00  0.62
 392.70  0.62
 393.40  0.62
 394.10  0.62
 394.80  0.62
 395.50  0.62
 396.20  0.62
 396.90  0.62
 397.60  0.62
 398.30  0.62
 399.00  0.62
 399.70  0.62
 400.40  0.62
 401.10  0.62
 401.80  0.62
 402.50  0.62
 403.20  0.62
 403.90  0.62
 404.60  0.62
 405.30  0.62
 406.00  0.62
 406.70  0.62
 407.40  0.62
 408.10  0.62
 408.80  0.62
 409.50  0.62
 410.20  0.62
 410.90  0.62
 411.60  0.62
 412.30  0.62
 413.00  0.62
 413.70  0.62
 414.40  0.62
 415.10  0.62
 415.80  0.62
 416.50  0.62
 417.20  0.62
 417.90  0.62
 418.60  0.62
 419.30  0.62
 420.00  0.62
 420.70  0.62
 421.40  0.62
 422.10  0.62
 422.80  0.62
 423.50  0.62
 424.20  0.62
 424.90  0.62
 425.60  0.62
 426.30  0.62
 427.00  0.62
 427.70  0.62
 428.40  0.62
 429.10  0.62
 429.80  0.62
 430.50  0.62
 431.20  0.62
 431.90  0.62
 432.60  0.62
 433.30  0.62
 434.00  0.62
 434.70  0.62
 435.40  0.62
 436.10  0.62
 436.80  0.62
 437.50  0.62
 438.20  0.62
 438.90  0.62
 439.60  0.62
 440.30  0.62
 441.00  0.62
 441.70  0.62
 442.40  0.62
 443.10  0.62
 443.80  0.62
 444.50  0.62
 445.20  0.62
 445.90  0.62
 446.60  0.62
 447.30  0.62
 448.00  0.62
 448.70  0.62
 449.40  0.62
 450.10  0.62
 450.80  0.62
 451.50  0.62
 452.20  0.62
 452.90  0.62
 453.60  0.62
 454.30  0.62
 455.00  0.62
 455.70  0.62
 456.40  0.62
 457.10  0.62
 457.80  0.62
 458.50  0.62
 459.20  0.62
 459.90  0.62
 460.60  0.62
 461.30  0.62
 462.00  0.62
 462.70  0.62
 463.40  0.62
 464.10  0.62
 464.80  0.62
 465.50  0.62
 466.20  0.62
 466.90  0.62
 467.60  0.62
 468.30  0.62
 469.00  0.62
 469.70  0.62
 470.40  0.62
 471.10  0.62
 471.80  0.62
 472.50  0.62
 473.20  0.62
 473.90  0.62
 474.60  0.62
 475.30  0.62
 476.00  0.62
 476.70  0.62
 477.40  0.62
 478.10  0.62
 478.80  0.62
 479.50  0.62
 480.20  0.62
 480.90  0.62
 481.60  0.62
 482.30  0.62
 483.00  0.62
 483.70  0.62
 484.40  0.62
 485.10  0.62
 485.80  0.62
 486.50  0.62
 487.20  0.62
 487.90  0.62
 488.60  0.62
 489.30  0.62
 490.00  0.62
 490.70  0.62
 491.40  0.62
 492.10  0.62
 492.80  0.62
 493.50  0.62
 494.20  0.62
 494.90  0.62
 495.60  0.62
 496.30  0.62
 497.00  0.62
 497.70  0.62
 498.40  0.62
 499.10  0.62
 499.80  0.62
 500.50  0.62
 501.20  0.62
 501.90  0.62
 502.60  0.62
 503.30  0.62
 504.00  0.62
 504.70  0.62
 505.40  0.62
 506.10  0.62
 506.80  0.62
 507.50  0.62
 508.20  0.62
 508.90  0.62
 509.60  0.62
 510.30  0.62
 511.00  0.62
 511.70  0.62
 512.40  0.62
 513.10  0.62
 513.80  0.62
 514.50  0.62
 515.20  0.62
 515.90  0.62
 516.60  0.62
 517.30  0.62
 518.00  0.62
 518.70  0.62
 519.40  0.62
 520.10  0.62
 520.80  0.62
 521.50  0.62
 522.20  0.62
 522.90  0.62
 523.60  0.62
