#Navio B MarAd
#Manobra de Curva Giro
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        1.22252e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.67321e-06 
 0.70        -2.52612e-10        1.24849e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.65374e-06 
 1.40        -2.63165e-03        -4.13871e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.98872e-05 
 2.10        -2.62824e-03        -4.22361e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.91886e-05 
 2.80        -2.62541e-03        -4.30696e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.85026e-05 
 3.50        -2.62319e-03        -4.38878e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.78286e-05 
 4.20        -2.62157e-03        -4.46907e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.71664e-05 
 4.90        -2.62056e-03        -4.54785e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.65155e-05 
 5.60        -2.62017e-03        -4.62514e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.58756e-05 
 6.30        -2.62041e-03        -4.70095e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.52463e-05 
 7.00        -2.62128e-03        -4.77530e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.46273e-05 
 7.70        -2.62279e-03        -4.84820e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.40183e-05 
 8.40        -2.62495e-03        -4.91965e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.34189e-05 
 9.10        -2.62775e-03        -4.98968e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.28288e-05 
 9.80        -2.63121e-03        -5.05829e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.22476e-05 
 10.50        -2.63533e-03        -5.12551e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.16752e-05 
 11.20        -2.64011e-03        -5.19132e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.11111e-05 
 11.90        -2.64556e-03        -5.25576e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.05551e-05 
 12.60        -2.65168e-03        -5.31883e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.00068e-05 
 13.30        -2.65847e-03        -5.38054e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.94661e-05 
 14.00        -2.66594e-03        -5.44089e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.89326e-05 
 14.70        -2.67408e-03        -5.49991e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.84060e-05 
 15.40        -2.68290e-03        -5.55760e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.78862e-05 
 16.10        -2.69240e-03        -5.61396e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.73727e-05 
 16.80        -2.70258e-03        -5.66902e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.68655e-05 
 17.50        -2.71344e-03        -5.72277e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.63641e-05 
 18.20        -2.72498e-03        -5.77523e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.58685e-05 
 18.90        -2.73720e-03        -5.82640e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.53783e-05 
 19.60        -2.75011e-03        -5.87630e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.48934e-05 
 20.30        -2.76369e-03        -5.92492e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.44135e-05 
 21.00        -2.77795e-03        -5.97229e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.39383e-05 
 21.70        -2.79289e-03        -6.01840e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.34677e-05 
 22.40        -2.80851e-03        -6.06327e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.30016e-05 
 23.10        -2.82480e-03        -6.10690e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.25395e-05 
 23.80        -2.84176e-03        -6.14930e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.20815e-05 
 24.50        -2.85939e-03        -6.19048e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.16272e-05 
 25.20        -2.87769e-03        -6.23044e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.11766e-05 
 25.90        -2.89665e-03        -6.26920e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.07293e-05 
 26.60        -2.91627e-03        -6.30675e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.02853e-05 
 27.30        -2.93654e-03        -6.34311e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.98444e-05 
 28.00        -2.95747e-03        -6.37829e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.94064e-05 
 28.70        -2.97905e-03        -6.41228e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.89711e-05 
 29.40        -3.00127e-03        -6.44510e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.85384e-05 
 30.10        -3.02413e-03        -6.47676e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.81082e-05 
 30.80        -3.04763e-03        -6.50726e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.76802e-05 
 31.50        -3.07175e-03        -6.53660e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.72544e-05 
 32.20        -3.09650e-03        -6.56480e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.68306e-05 
 32.90        -3.12186e-03        -6.59186e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.64087e-05 
 33.60        -3.14784e-03        -6.61779e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.59885e-05 
 34.30        -3.17442e-03        -6.64260e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.55699e-05 
 35.00        -3.20160e-03        -6.66628e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.51529e-05 
 35.70        -3.22938e-03        -6.68886e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.47372e-05 
 36.40        -3.25774e-03        -6.71033e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.43228e-05 
 37.10        -3.28668e-03        -6.73071e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.39096e-05 
 37.80        -3.31619e-03        -6.74999e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.34974e-05 
 38.50        -3.34627e-03        -6.76819e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.30861e-05 
 39.20        -3.37690e-03        -6.78531e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.26758e-05 
 39.90        -3.40808e-03        -6.80137e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.22662e-05 
 40.60        -3.43980e-03        -6.81636e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.18573e-05 
 41.30        -3.47206e-03        -6.83030e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.14489e-05 
 42.00        -3.50483e-03        -6.84319e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.10411e-05 
 42.70        -3.53813e-03        -6.85504e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.06337e-05 
 43.40        -3.57193e-03        -6.86586e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.02267e-05 
 44.10        -3.60622e-03        -6.87565e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.98200e-05 
 44.80        -3.64101e-03        -6.88442e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.94135e-05 
 45.50        -3.67627e-03        -6.89218e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.90071e-05 
 46.20        -3.71201e-03        -6.89894e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.86009e-05 
 46.90        -3.74820e-03        -6.90470e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.81947e-05 
 47.60        -3.78484e-03        -6.90948e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.77885e-05 
 48.30        -3.82192e-03        -6.91327e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.73822e-05 
 49.00        -3.85944e-03        -6.91610e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.69758e-05 
 49.70        -3.89737e-03        -6.91796e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.65692e-05 
