#Navio B MarAd
#Manobra de Curva Giro
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        2.87700e+00        6.05410e-05        0.00000e+00        0.00000e+00        0.00000e+00        -6.53336e-07 
 1.40        5.75400e+00        1.81008e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.60703e-06 
 2.10        8.62971e+00        -1.75297e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.67573e-05 
 2.80        1.15041e+01        -5.72134e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.98245e-05 
 3.50        1.43773e+01        -1.16391e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.86259e-04 
 4.20        1.72491e+01        -1.94214e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.35729e-04 
 4.90        2.01197e+01        -2.89842e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.27911e-04 
 5.60        2.29890e+01        -4.02434e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.62487e-04 
 6.30        2.58570e+01        -5.31155e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.03914e-03 
 7.00        2.87237e+01        -6.75172e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.35757e-03 
 7.70        3.15892e+01        -8.33656e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.71746e-03 
 8.40        3.44534e+01        -1.00578e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.11853e-03 
 9.10        3.73163e+01        -1.19073e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.56046e-03 
 9.80        4.01779e+01        -1.38767e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.04299e-03 
 10.50        4.30383e+01        -1.59579e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.56582e-03 
 11.20        4.58974e+01        -1.81428e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.12866e-03 
 11.90        4.87552e+01        -2.04233e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.73126e-03 
 12.60        5.16117e+01        -2.27913e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.37332e-03 
 13.30        5.44670e+01        -2.52387e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.05459e-03 
 14.00        5.73210e+01        -2.77575e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.77480e-03 
 14.70        6.01737e+01        -3.03397e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.53368e-03 
 15.40        6.30251e+01        -3.29773e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.33099e-03 
 16.10        6.58753e+01        -3.56623e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.16646e-03 
 16.80        6.87242e+01        -3.83869e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.00398e-02 
 17.50        7.15718e+01        -4.11430e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.09509e-02 
 18.20        7.44182e+01        -4.39229e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.18993e-02 
 18.90        7.72633e+01        -4.67186e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.28850e-02 
 19.60        8.01070e+01        -4.95224e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.39076e-02 
 20.30        8.29495e+01        -5.23263e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.49668e-02 
 21.00        8.57908e+01        -5.51226e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.60626e-02 
 21.70        8.86307e+01        -5.79035e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.71945e-02 
 22.40        9.14693e+01        -6.06613e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.83625e-02 
 23.10        9.43067e+01        -6.33881e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.95662e-02 
 23.80        9.71427e+01        -6.60764e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.08055e-02 
 24.50        9.99775e+01        -6.87184e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.20801e-02 
 25.20        1.02811e+02        -7.13064e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.33898e-02 
 25.90        1.05643e+02        -7.38327e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.47344e-02 
 26.60        1.08474e+02        -7.62899e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.61136e-02 
 27.30        1.11303e+02        -7.86701e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.75273e-02 
 28.00        1.14131e+02        -8.09659e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.89752e-02 
 28.70        1.16958e+02        -8.31696e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.04571e-02 
 29.40        1.19784e+02        -8.52738e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.19728e-02 
 30.10        1.22608e+02        -8.72708e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.35221e-02 
 30.80        1.25431e+02        -8.91532e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.51048e-02 
 31.50        1.28252e+02        -9.09136e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.67206e-02 
 32.20        1.31072e+02        -9.25443e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.83694e-02 
 32.90        1.33891e+02        -9.40380e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.00509e-02 
 33.60        1.36708e+02        -9.53873e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.17649e-02 
 34.30        1.39524e+02        -9.65847e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.35113e-02 
 35.00        1.42339e+02        -9.76230e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.52899e-02 
 35.70        1.45152e+02        -9.84946e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.71003e-02 
 36.40        1.47963e+02        -9.91924e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.89425e-02 
 37.10        1.50774e+02        -9.97090e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.08162e-02 
 37.80        1.53582e+02        -1.00037e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.27212e-02 
 38.50        1.56390e+02        -1.00169e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.46573e-02 
 39.20        1.59196e+02        -1.00099e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.66244e-02 
 39.90        1.62000e+02        -9.98180e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.86221e-02 
