#Navio B MarAd
#Manobra de Curva Giro
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        1.22252e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.67321e-06 
 0.70        -2.51942e-10        1.24785e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.65605e-06 
 1.40        -2.63165e-03        -4.13884e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.98826e-05 
 2.10        -2.62824e-03        -4.22155e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.92620e-05 
 2.80        -2.62541e-03        -4.30275e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.86541e-05 
 3.50        -2.62318e-03        -4.38245e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.80585e-05 
 4.20        -2.62156e-03        -4.46067e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.74747e-05 
 4.90        -2.62055e-03        -4.53742e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.69023e-05 
 5.60        -2.62015e-03        -4.61270e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.63410e-05 
 6.30        -2.62039e-03        -4.68655e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.57903e-05 
 7.00        -2.62125e-03        -4.75896e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.52498e-05 
 7.70        -2.62276e-03        -4.82995e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.47192e-05 
 8.40        -2.62492e-03        -4.89954e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.41982e-05 
 9.10        -2.62773e-03        -4.96773e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.36862e-05 
 9.80        -2.63120e-03        -5.03454e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.31831e-05 
 10.50        -2.63533e-03        -5.09997e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.26885e-05 
 11.20        -2.64012e-03        -5.16404e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.22020e-05 
 11.90        -2.64559e-03        -5.22676e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.17233e-05 
 12.60        -2.65174e-03        -5.28814e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.12521e-05 
 13.30        -2.65856e-03        -5.34818e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.07880e-05 
 14.00        -2.66607e-03        -5.40689e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.03308e-05 
 14.70        -2.67426e-03        -5.46429e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.98801e-05 
 15.40        -2.68314e-03        -5.52039e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.94358e-05 
 16.10        -2.69271e-03        -5.57518e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.89974e-05 
 16.80        -2.70297e-03        -5.62869e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.85647e-05 
 17.50        -2.71393e-03        -5.68091e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.81374e-05 
 18.20        -2.72557e-03        -5.73186e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.77153e-05 
 18.90        -2.73791e-03        -5.78154e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.72981e-05 
 19.60        -2.75095e-03        -5.82995e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.68855e-05 
 20.30        -2.76468e-03        -5.87712e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.64774e-05 
 21.00        -2.77911e-03        -5.92304e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.60733e-05 
 21.70        -2.79423e-03        -5.96771e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.56732e-05 
 22.40        -2.81005e-03        -6.01116e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.52768e-05 
 23.10        -2.82655e-03        -6.05338e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.48839e-05 
 23.80        -2.84375e-03        -6.09437e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.44942e-05 
 24.50        -2.86164e-03        -6.13416e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.41075e-05 
 25.20        -2.88022e-03        -6.17273e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.37236e-05 
 25.90        -2.89948e-03        -6.21011e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.33423e-05 
 26.60        -2.91943e-03        -6.24629e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.29635e-05 
 27.30        -2.94005e-03        -6.28128e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.25869e-05 
 28.00        -2.96135e-03        -6.31508e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.22124e-05 
 28.70        -2.98333e-03        -6.34771e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.18397e-05 
 29.40        -3.00597e-03        -6.37916e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.14687e-05 
 30.10        -3.02928e-03        -6.40945e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.10992e-05 
 30.80        -3.05326e-03        -6.43858e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.07311e-05 
 31.50        -3.07789e-03        -6.46655e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.03641e-05 
 32.20        -3.10317e-03        -6.49338e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.99982e-05 
 32.90        -3.12910e-03        -6.51906e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.96332e-05 
 33.60        -3.15567e-03        -6.54361e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.92689e-05 
 34.30        -3.18287e-03        -6.56702e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.89053e-05 
 35.00        -3.21071e-03        -6.58931e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.85421e-05 
 35.70        -3.23917e-03        -6.61048e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.81792e-05 
 36.40        -3.26825e-03        -6.63054e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.78166e-05 
 37.10        -3.29794e-03        -6.64949e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.74540e-05 
 37.80        -3.32824e-03        -6.66733e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.70915e-05 
 38.50        -3.35913e-03        -6.68409e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.67287e-05 
 39.20        -3.39062e-03        -6.69975e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.63658e-05 
 39.90        -3.42268e-03        -6.71433e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.60025e-05 
 40.60        -3.45532e-03        -6.72784e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.56387e-05 
