#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.64645e-05        0.00000e+00        0.00000e+00        0.00000e+00        -1.86521e-06 
 1.40        4.11000e+00        1.74692e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.71858e-06 
 2.10        4.10816e+00        -2.75153e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.89813e-05 
 2.80        4.10632e+00        -5.73513e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.21251e-04 
 3.50        4.10448e+00        -8.77504e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.83100e-04 
 4.20        4.10265e+00        -1.18702e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.44536e-04 
 4.90        4.10081e+00        -1.50196e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.05567e-04 
 5.60        4.09898e+00        -1.82223e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.66202e-04 
 6.30        4.09714e+00        -2.14771e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.26447e-04 
 7.00        4.09531e+00        -2.47831e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.86310e-04 
 7.70        4.09347e+00        -2.81393e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.45799e-04 
 8.40        4.09164e+00        -3.15447e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.04920e-04 
 9.10        4.08980e+00        -3.49983e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.63679e-04 
 9.80        4.08796e+00        -3.84992e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.22082e-04 
 10.50        4.08612e+00        -4.20464e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.80137e-04 
 11.20        4.08427e+00        -4.56388e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.37848e-04 
 11.90        4.08242e+00        -4.92757e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.95222e-04 
 12.60        4.08057e+00        -5.29560e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.52263e-04 
 13.30        4.07871e+00        -5.66788e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.00898e-03 
 14.00        4.07684e+00        -6.04431e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.06537e-03 
 14.70        4.07497e+00        -6.42481e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.12144e-03 
 15.40        4.07310e+00        -6.80928e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.17720e-03 
 16.10        4.07122e+00        -7.19764e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.23265e-03 
 16.80        4.06933e+00        -7.58978e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.28780e-03 
 17.50        4.06743e+00        -7.98562e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.34264e-03 
 18.20        4.06553e+00        -8.38508e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.39719e-03 
 18.90        4.06362e+00        -8.78805e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.45145e-03 
 19.60        4.06170e+00        -9.19446e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.50541e-03 
 20.30        4.05977e+00        -9.60422e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.55909e-03 
 21.00        4.05783e+00        -1.00172e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.61248e-03 
 21.70        4.05588e+00        -1.04334e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.66559e-03 
 22.40        4.05391e+00        -1.08527e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.71842e-03 
 23.10        4.05194e+00        -1.12749e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.77098e-03 
 23.80        4.04996e+00        -1.17001e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.82326e-03 
 24.50        4.04796e+00        -1.21281e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.87527e-03 
 25.20        4.04595e+00        -1.25589e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.92701e-03 
 25.90        4.04393e+00        -1.29923e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.97849e-03 
 26.60        4.04189e+00        -1.34283e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.02969e-03 
 27.30        4.03984e+00        -1.38667e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.08064e-03 
 28.00        4.03777e+00        -1.43076e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.13131e-03 
 28.70        4.03569e+00        -1.47508e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.18173e-03 
 29.40        4.03360e+00        -1.51963e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.23189e-03 
 30.10        4.03149e+00        -1.56439e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.28179e-03 
 30.80        4.02936e+00        -1.60936e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.33143e-03 
 31.50        4.02721e+00        -1.65453e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.38081e-03 
 32.20        4.02505e+00        -1.69989e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.42994e-03 
 32.90        4.02287e+00        -1.74543e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.47881e-03 
 33.60        4.02067e+00        -1.79115e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.52743e-03 
 34.30        4.01845e+00        -1.83704e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.57579e-03 
 35.00        4.01621e+00        -1.88309e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.62389e-03 
 35.70        4.01395e+00        -1.92929e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.67175e-03 
