#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        4.11000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.37785e-05        0.00000e+00 
 1.40        4.11000e+00        1.63971e-04        0.00000e+00 
 2.10        4.10816e+00        -2.68268e-03        0.00000e+00 
 2.80        4.10632e+00        -5.40718e-03        0.00000e+00 
 3.50        4.10448e+00        -8.00991e-03        0.00000e+00 
 4.20        4.10265e+00        -1.04913e-02        0.00000e+00 
 4.90        4.10082e+00        -1.28517e-02        0.00000e+00 
 5.60        4.09899e+00        -1.50914e-02        0.00000e+00 
 6.30        4.09716e+00        -1.72109e-02        0.00000e+00 
 7.00        4.09534e+00        -1.92104e-02        0.00000e+00 
 7.70        4.09352e+00        -2.10903e-02        0.00000e+00 
 8.40        4.09170e+00        -2.28508e-02        0.00000e+00 
 9.10        4.08988e+00        -2.44923e-02        0.00000e+00 
 9.80        4.08806e+00        -2.60150e-02        0.00000e+00 
 10.50        4.08624e+00        -2.74193e-02        0.00000e+00 
 11.20        4.08442e+00        -2.87053e-02        0.00000e+00 
 11.90        4.08261e+00        -2.98733e-02        0.00000e+00 
 12.60        4.08079e+00        -3.09236e-02        0.00000e+00 
 13.30        4.07898e+00        -3.18563e-02        0.00000e+00 
 14.00        4.07716e+00        -3.26718e-02        0.00000e+00 
 14.70        4.07534e+00        -3.33701e-02        0.00000e+00 
 15.40        4.07353e+00        -3.39516e-02        0.00000e+00 
 16.10        4.07171e+00        -3.44165e-02        0.00000e+00 
 16.80        4.06989e+00        -3.47648e-02        0.00000e+00 
 17.50        4.06807e+00        -3.49969e-02        0.00000e+00 
 18.20        4.06624e+00        -3.51128e-02        0.00000e+00 
 18.90        4.06442e+00        -3.51128e-02        0.00000e+00 
 19.60        4.06259e+00        -3.49971e-02        0.00000e+00 
 20.30        4.06075e+00        -3.47658e-02        0.00000e+00 
 21.00        4.05892e+00        -3.44191e-02        0.00000e+00 
 21.70        4.05707e+00        -3.39572e-02        0.00000e+00 
 22.40        4.05523e+00        -3.33802e-02        0.00000e+00 
 23.10        4.05338e+00        -3.26883e-02        0.00000e+00 
 23.80        4.05152e+00        -3.18816e-02        0.00000e+00 
 24.50        4.04966e+00        -3.09604e-02        0.00000e+00 
 25.20        4.04779e+00        -2.99248e-02        0.00000e+00 
 25.90        4.04591e+00        -2.87750e-02        0.00000e+00 
 26.60        4.04403e+00        -2.75111e-02        0.00000e+00 
 27.30        4.04213e+00        -2.61334e-02        0.00000e+00 
 28.00        4.04023e+00        -2.46419e-02        0.00000e+00 
 28.70        4.03832e+00        -2.30369e-02        0.00000e+00 
 29.40        4.03640e+00        -2.13185e-02        0.00000e+00 
 30.10        4.03447e+00        -1.94870e-02        0.00000e+00 
 30.80        4.03253e+00        -1.75425e-02        0.00000e+00 
 31.50        4.03058e+00        -1.54852e-02        0.00000e+00 
 32.20        4.02861e+00        -1.33153e-02        0.00000e+00 
 32.90        4.02664e+00        -1.10331e-02        0.00000e+00 
 33.60        4.02464e+00        -8.63866e-03        0.00000e+00 
 34.30        4.02264e+00        -6.13231e-03        0.00000e+00 
 35.00        4.02062e+00        -3.51426e-03        0.00000e+00 
 35.70        4.01859e+00        -7.84725e-04        0.00000e+00 
 36.40        4.01654e+00        2.05604e-03        0.00000e+00 
 37.10        4.01447e+00        5.00780e-03        0.00000e+00 
 37.80        4.01239e+00        8.07028e-03        0.00000e+00 
 38.50        4.01028e+00        1.12432e-02        0.00000e+00 
 39.20        4.00817e+00        1.45263e-02        0.00000e+00 
 39.90        4.00603e+00        1.79193e-02        0.00000e+00 
 40.60        4.00387e+00        2.14219e-02        0.00000e+00 
 41.30        4.00169e+00        2.50338e-02        0.00000e+00 
 42.00        3.99949e+00        2.87546e-02        0.00000e+00 
 42.70        3.99727e+00        3.25841e-02        0.00000e+00 
 43.40        3.99502e+00        3.65218e-02        0.00000e+00 
 44.10        3.99276e+00        4.05675e-02        0.00000e+00 
 44.80        3.99046e+00        4.47207e-02        0.00000e+00 
 45.50        3.98815e+00        4.89811e-02        0.00000e+00 
 46.20        3.98581e+00        5.33483e-02        0.00000e+00 
 46.90        3.98344e+00        5.78219e-02        0.00000e+00 
 47.60        3.98104e+00        6.24015e-02        0.00000e+00 
 48.30        3.97862e+00        6.70866e-02        0.00000e+00 
 49.00        3.97617e+00        7.18767e-02        0.00000e+00 
 49.70        3.97369e+00        7.67716e-02        0.00000e+00 
 50.40        3.97118e+00        8.17705e-02        0.00000e+00 
 51.10        3.96865e+00        8.68731e-02        0.00000e+00 
 51.80        3.96607e+00        9.20789e-02        0.00000e+00 
 52.50        3.96347e+00        9.73874e-02        0.00000e+00 
 53.20        3.96084e+00        1.02798e-01        0.00000e+00 
 53.90        3.95817e+00        1.08310e-01        0.00000e+00 
 54.60        3.95547e+00        1.13923e-01        0.00000e+00 
 55.30        3.95273e+00        1.19637e-01        0.00000e+00 
 56.00        3.94995e+00        1.25450e-01        0.00000e+00 
 56.70        3.94714e+00        1.31363e-01        0.00000e+00 
 57.40        3.94430e+00        1.37374e-01        0.00000e+00 
 58.10        3.94141e+00        1.43483e-01        0.00000e+00 
 58.80        3.93849e+00        1.49689e-01        0.00000e+00 
 59.50        3.93553e+00        1.55992e-01        0.00000e+00 
 60.20        3.93252e+00        1.62391e-01        0.00000e+00 
 60.90        3.92948e+00        1.68886e-01        0.00000e+00 
 61.60        3.92639e+00        1.75475e-01        0.00000e+00 
 62.30        3.92327e+00        1.82157e-01        0.00000e+00 
 63.00        3.92009e+00        1.88933e-01        0.00000e+00 
 63.70        3.91688e+00        1.95801e-01        0.00000e+00 
 64.40        3.91362e+00        2.02760e-01        0.00000e+00 
 65.10        3.91032e+00        2.09810e-01        0.00000e+00 
 65.80        3.90697e+00        2.16950e-01        0.00000e+00 
 66.50        3.90357e+00        2.24179e-01        0.00000e+00 
 67.20        3.90012e+00        2.31496e-01        0.00000e+00 
 67.90        3.89663e+00        2.38901e-01        0.00000e+00 
 68.60        3.89309e+00        2.46392e-01        0.00000e+00 
 69.30        3.88950e+00        2.53968e-01        0.00000e+00 
 70.00        3.88586e+00        2.61629e-01        0.00000e+00 
 70.70        3.88217e+00        2.69374e-01        0.00000e+00 
 71.40        3.87843e+00        2.77202e-01        0.00000e+00 
 72.10        3.87463e+00        2.85112e-01        0.00000e+00 
 72.80        3.87079e+00        2.93102e-01        0.00000e+00 
 73.50        3.86689e+00        3.01173e-01        0.00000e+00 
 74.20        3.86293e+00        3.09322e-01        0.00000e+00 
 74.90        3.85892e+00        3.17550e-01        0.00000e+00 
 75.60        3.85486e+00        3.25854e-01        0.00000e+00 
 76.30        3.85074e+00        3.34234e-01        0.00000e+00 
 77.00        3.84657e+00        3.42689e-01        0.00000e+00 
 77.70        3.84233e+00        3.51217e-01        0.00000e+00 
 78.40        3.83804e+00        3.59819e-01        0.00000e+00 
 79.10        3.83370e+00        3.68492e-01        0.00000e+00 
 79.80        3.82929e+00        3.77235e-01        0.00000e+00 
 80.50        3.82482e+00        3.86048e-01        0.00000e+00 
 81.20        3.82030e+00        3.94929e-01        0.00000e+00 
 81.90        3.81571e+00        4.03877e-01        0.00000e+00 
 82.60        3.81107e+00        4.12892e-01        0.00000e+00 
 83.30        3.80636e+00        4.21971e-01        0.00000e+00 
 84.00        3.80159e+00        4.31113e-01        0.00000e+00 
 84.70        3.79676e+00        4.40318e-01        0.00000e+00 
 85.40        3.79187e+00        4.49585e-01        0.00000e+00 
 86.10        3.78692e+00        4.58912e-01        0.00000e+00 
 86.80        3.78190e+00        4.68297e-01        0.00000e+00 
 87.50        3.77681e+00        4.77740e-01        0.00000e+00 
 88.20        3.77167e+00        4.87240e-01        0.00000e+00 
 88.90        3.76646e+00        4.96795e-01        0.00000e+00 
 89.60        3.76118e+00        5.06404e-01        0.00000e+00 
 90.30        3.75584e+00        5.16066e-01        0.00000e+00 
 91.00        3.75043e+00        5.25779e-01        0.00000e+00 
 91.70        3.74496e+00        5.35542e-01        0.00000e+00 
 92.40        3.73942e+00        5.45355e-01        0.00000e+00 
 93.10        3.73381e+00        5.55215e-01        0.00000e+00 
 93.80        3.72814e+00        5.65121e-01        0.00000e+00 
 94.50        3.72240e+00        5.75073e-01        0.00000e+00 
 95.20        3.71660e+00        5.85069e-01        0.00000e+00 
 95.90        3.71072e+00        5.95107e-01        0.00000e+00 
 96.60        3.70478e+00        6.05186e-01        0.00000e+00 
 97.30        3.69877e+00        6.15306e-01        0.00000e+00 
 98.00        3.69269e+00        6.25464e-01        0.00000e+00 
 98.70        3.68654e+00        6.35659e-01        0.00000e+00 
 99.40        3.68033e+00        6.45891e-01        0.00000e+00 
 100.10        3.67405e+00        6.56157e-01        0.00000e+00 
 100.80        3.66769e+00        6.66456e-01        0.00000e+00 
 101.50        3.66127e+00        6.76788e-01        0.00000e+00 
 102.20        3.65478e+00        6.87151e-01        0.00000e+00 
 102.90        3.64822e+00        6.97543e-01        0.00000e+00 
 103.60        3.64159e+00        7.07963e-01        0.00000e+00 
 104.30        3.63489e+00        7.18410e-01        0.00000e+00 
 105.00        3.62813e+00        7.28883e-01        0.00000e+00 
 105.70        3.62129e+00        7.39379e-01        0.00000e+00 
 106.40        3.61439e+00        7.49899e-01        0.00000e+00 
 107.10        3.60741e+00        7.60441e-01        0.00000e+00 
 107.80        3.60037e+00        7.71002e-01        0.00000e+00 
 108.50        3.59325e+00        7.81583e-01        0.00000e+00 
 109.20        3.58607e+00        7.92181e-01        0.00000e+00 
 109.90        3.57882e+00        8.02796e-01        0.00000e+00 
 110.60        3.57150e+00        8.13425e-01        0.00000e+00 
 111.30        3.56411e+00        8.24069e-01        0.00000e+00 
 112.00        3.55665e+00        8.34725e-01        0.00000e+00 
 112.70        3.54912e+00        8.45392e-01        0.00000e+00 
 113.40        3.54152e+00        8.56069e-01        0.00000e+00 
 114.10        3.53386e+00        8.66755e-01        0.00000e+00 
 114.80        3.52613e+00        8.77448e-01        0.00000e+00 
 115.50        3.51833e+00        8.88148e-01        0.00000e+00 
 116.20        3.51046e+00        8.98852e-01        0.00000e+00 
 116.90        3.50252e+00        9.09559e-01        0.00000e+00 
 117.60        3.49452e+00        9.20269e-01        0.00000e+00 
 118.30        3.48645e+00        9.30981e-01        0.00000e+00 
 119.00        3.47831e+00        9.41692e-01        0.00000e+00 
 119.70        3.47010e+00        9.52401e-01        0.00000e+00 
 120.40        3.46183e+00        9.63109e-01        0.00000e+00 
 121.10        3.45350e+00        9.73812e-01        0.00000e+00 
 121.80        3.44509e+00        9.84510e-01        0.00000e+00 
 122.50        3.43662e+00        9.95203e-01        0.00000e+00 
 123.20        3.42809e+00        1.00589e+00        0.00000e+00 
 123.90        3.41949e+00        1.01656e+00        0.00000e+00 
 124.60        3.41083e+00        1.02723e+00        0.00000e+00 
 125.30        3.40210e+00        1.03789e+00        0.00000e+00 
 126.00        3.39331e+00        1.04853e+00        0.00000e+00 
 126.70        3.38446e+00        1.05916e+00        0.00000e+00 
 127.40        3.37554e+00        1.06978e+00        0.00000e+00 
 128.10        3.36656e+00        1.08038e+00        0.00000e+00 
 128.80        3.35752e+00        1.09096e+00        0.00000e+00 
 129.50        3.34842e+00        1.10153e+00        0.00000e+00 
 130.20        3.33925e+00        1.11208e+00        0.00000e+00 
 130.90        3.33003e+00        1.12261e+00        0.00000e+00 
 131.60        3.32074e+00        1.13312e+00        0.00000e+00 
 132.30        3.31140e+00        1.14361e+00        0.00000e+00 
 133.00        3.30199e+00        1.15407e+00        0.00000e+00 
 133.70        3.29253e+00        1.16451e+00        0.00000e+00 
 134.40        3.28301e+00        1.17492e+00        0.00000e+00 
 135.10        3.27343e+00        1.18531e+00        0.00000e+00 
