#Navio B MarAd
#Manobra de Curva Zig-Zag
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        1.22252e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.67321e-06 
 0.70        -2.52947e-10        1.24881e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.65259e-06 
 1.40        -8.59313e-04        -2.31031e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.02372e-05 
 2.10        -8.58475e-04        -2.35923e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.98421e-05 
 2.80        -8.57818e-04        -2.40744e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.94548e-05 
 3.50        -8.57348e-04        -2.45494e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.90752e-05 
 4.20        -8.57066e-04        -2.50174e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.87031e-05 
 4.90        -8.56976e-04        -2.54785e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.83383e-05 
 5.60        -8.57080e-04        -2.59328e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.79806e-05 
 6.30        -8.57380e-04        -2.63803e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.76299e-05 
 7.00        -8.57880e-04        -2.68212e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.72860e-05 
 7.70        -8.58581e-04        -2.72556e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.69488e-05 
 8.40        -8.59485e-04        -2.76835e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.66180e-05 
 9.10        -8.60595e-04        -2.81050e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.62936e-05 
 9.80        -8.61913e-04        -2.85201e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.59754e-05 
 10.50        -8.63440e-04        -2.89291e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.56632e-05 
 11.20        -8.65179e-04        -2.93318e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.53569e-05 
 11.90        -8.67130e-04        -2.97285e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.50563e-05 
 12.60        -8.69296e-04        -3.01191e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.47613e-05 
 13.30        -8.71677e-04        -3.05037e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.44718e-05 
 14.00        -8.74276e-04        -3.08825e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.41876e-05 
 14.70        -8.77094e-04        -3.12554e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.39086e-05 
 15.40        -8.80132e-04        -3.16225e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.36346e-05 
 16.10        -8.83391e-04        -3.19840e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.33656e-05 
 16.80        -8.86872e-04        -3.23398e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.31013e-05 
 17.50        -8.90576e-04        -3.26900e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.28418e-05 
