#Navio B MarAd
#Manobra de Curva Zig-Zag
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.64984e-05        0.00000e+00        0.00000e+00        0.00000e+00        -1.86400e-06 
 1.40        4.11000e+00        1.74827e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.71374e-06 
 2.10        4.10940e+00        -1.45955e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.13136e-05 
 2.80        4.10880e+00        -3.12793e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.60670e-05 
 3.50        4.10820e+00        -4.82980e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.00552e-04 
 4.20        4.10760e+00        -6.56468e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.34774e-04 
 4.90        4.10700e+00        -8.33207e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.68738e-04 
 5.60        4.10640e+00        -1.01315e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.02449e-04 
 6.30        4.10580e+00        -1.19625e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.35913e-04 
 7.00        4.10520e+00        -1.38246e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.69133e-04 
 7.70        4.10460e+00        -1.57173e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.02115e-04 
 8.40        4.10400e+00        -1.76402e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.34863e-04 
 9.10        4.10339e+00        -1.95929e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.67381e-04 
 9.80        4.10279e+00        -2.15748e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.99675e-04 
 10.50        4.10219e+00        -2.35855e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.31748e-04 
 11.20        4.10158e+00        -2.56247e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.63605e-04 
 11.90        4.10098e+00        -2.76918e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.95249e-04 
 12.60        4.10037e+00        -2.97865e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.26685e-04 
 13.30        4.09976e+00        -3.19084e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.57916e-04 
 14.00        4.09915e+00        -3.40569e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.88947e-04 
 14.70        4.09853e+00        -3.62318e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.19780e-04 
 15.40        4.09792e+00        -3.84325e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.50420e-04 
 16.10        4.09730e+00        -4.06588e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.80870e-04 
 16.80        4.09668e+00        -4.29102e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.11133e-04 
 17.50        4.09606e+00        -4.51862e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.41213e-04 
 18.20        4.09544e+00        -4.74866e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.71112e-04 
 18.90        4.09481e+00        -4.98110e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.00835e-04 
 19.60        4.09418e+00        -5.21588e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.30384e-04 
 20.30        4.09354e+00        -5.45299e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.59762e-04 
 21.00        4.09291e+00        -5.69238e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.88972e-04 
 21.70        4.09227e+00        -5.93400e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.18017e-04 
 22.40        4.09162e+00        -6.17784e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.46900e-04 
 23.10        4.09097e+00        -6.42384e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.75623e-04 
 23.80        4.09032e+00        -6.67198e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.00419e-03 
 24.50        4.08967e+00        -6.92221e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.03260e-03 
 25.20        4.08901e+00        -7.17451e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.06086e-03 
 25.90        4.08834e+00        -7.42884e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.08897e-03 
 26.60        4.08767e+00        -7.68515e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.11693e-03 
 27.30        4.08700e+00        -7.94343e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.14474e-03 
 28.00        4.08632e+00        -8.20362e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.17242e-03 
 28.70        4.08564e+00        -8.46571e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.19995e-03 
 29.40        4.08495e+00        -8.72965e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.22734e-03 
 30.10        4.08425e+00        -8.99542e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.25460e-03 
 30.80        4.08355e+00        -9.26297e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.28172e-03 
 31.50        4.08285e+00        -9.53228e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.30871e-03 
 32.20        4.08213e+00        -9.80331e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.33557e-03 
 32.90        4.08142e+00        -1.00760e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.36230e-03 
 33.60        4.08069e+00        -1.03504e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.38890e-03 
 34.30        4.07996e+00        -1.06264e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.41537e-03 
 35.00        4.07923e+00        -1.09040e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.44172e-03 
 35.70        4.07848e+00        -1.11832e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.46794e-03 
 36.40        4.07773e+00        -1.14639e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.49405e-03 
 37.10        4.07697e+00        -1.17461e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.52003e-03 
 37.80        4.07621e+00        -1.20297e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.54590e-03 
 38.50        4.07544e+00        -1.23148e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.57165e-03 
 39.20        4.07466e+00        -1.26014e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.59728e-03 
 39.90        4.07387e+00        -1.28892e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.62280e-03 
 40.60        4.07308e+00        -1.31785e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.64820e-03 
 41.30        4.07227e+00        -1.34690e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.67349e-03 
 42.00        4.07146e+00        -1.37609e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.69867e-03 
 42.70        4.07064e+00        -1.40540e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.72374e-03 
 43.40        4.06982e+00        -1.43483e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.74869e-03 
 44.10        4.06898e+00        -1.46438e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.77354e-03 
 44.80        4.06814e+00        -1.49405e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.79829e-03 
 45.50        4.06728e+00        -1.52383e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.82292e-03 
 46.20        4.06642e+00        -1.55372e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.84745e-03 
 46.90        4.06555e+00        -1.58373e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.87188e-03 
 47.60        4.06467e+00        -1.61383e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.89620e-03 
 48.30        4.06378e+00        -1.64404e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.92042e-03 
