#Navio B MarAd
#Manobra de Curva Zig-Zag
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        4.11000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.38136e-05        0.00000e+00 
 1.40        4.11000e+00        1.64115e-04        0.00000e+00 
 2.10        4.10940e+00        -1.43050e-03        0.00000e+00 
 2.80        4.10880e+00        -2.95878e-03        0.00000e+00 
 3.50        4.10820e+00        -4.42103e-03        0.00000e+00 
 4.20        4.10760e+00        -5.81759e-03        0.00000e+00 
 4.90        4.10700e+00        -7.14875e-03        0.00000e+00 
 5.60        4.10640e+00        -8.41481e-03        0.00000e+00 
 6.30        4.10580e+00        -9.61606e-03        0.00000e+00 
 7.00        4.10521e+00        -1.07528e-02        0.00000e+00 
 7.70        4.10461e+00        -1.18252e-02        0.00000e+00 
 8.40        4.10401e+00        -1.28337e-02        0.00000e+00 
 9.10        4.10342e+00        -1.37784e-02        0.00000e+00 
 9.80        4.10282e+00        -1.46596e-02        0.00000e+00 
 10.50        4.10223e+00        -1.54776e-02        0.00000e+00 
 11.20        4.10163e+00        -1.62326e-02        0.00000e+00 
 11.90        4.10103e+00        -1.69248e-02        0.00000e+00 
 12.60        4.10044e+00        -1.75544e-02        0.00000e+00 
 13.30        4.09984e+00        -1.81216e-02        0.00000e+00 
 14.00        4.09925e+00        -1.86267e-02        0.00000e+00 
 14.70        4.09865e+00        -1.90699e-02        0.00000e+00 
 15.40        4.09805e+00        -1.94513e-02        0.00000e+00 
 16.10        4.09746e+00        -1.97711e-02        0.00000e+00 
 16.80        4.09686e+00        -2.00296e-02        0.00000e+00 
 17.50        4.09626e+00        -2.02268e-02        0.00000e+00 
 18.20        4.09566e+00        -2.03631e-02        0.00000e+00 
 18.90        4.09506e+00        -2.04384e-02        0.00000e+00 
 19.60        4.09446e+00        -2.04531e-02        0.00000e+00 
 20.30        4.09386e+00        -2.04072e-02        0.00000e+00 
 21.00        4.09325e+00        -2.03010e-02        0.00000e+00 
 21.70        4.09265e+00        -2.01345e-02        0.00000e+00 
 22.40        4.09204e+00        -1.99079e-02        0.00000e+00 
 23.10        4.09143e+00        -1.96213e-02        0.00000e+00 
 23.80        4.09082e+00        -1.92750e-02        0.00000e+00 
 24.50        4.09021e+00        -1.88689e-02        0.00000e+00 
 25.20        4.08959e+00        -1.84033e-02        0.00000e+00 
 25.90        4.08898e+00        -1.78783e-02        0.00000e+00 
 26.60        4.08836e+00        -1.72939e-02        0.00000e+00 
 27.30        4.08774e+00        -1.66504e-02        0.00000e+00 
 28.00        4.08711e+00        -1.59478e-02        0.00000e+00 
 28.70        4.08648e+00        -1.51862e-02        0.00000e+00 
 29.40        4.08585e+00        -1.43658e-02        0.00000e+00 
 30.10        4.08522e+00        -1.34866e-02        0.00000e+00 
 30.80        4.08458e+00        -1.25488e-02        0.00000e+00 
 31.50        4.08394e+00        -1.15525e-02        0.00000e+00 
 32.20        4.08330e+00        -1.04978e-02        0.00000e+00 
 32.90        4.08265e+00        -9.38466e-03        0.00000e+00 
 33.60        4.08200e+00        -8.21334e-03        0.00000e+00 
 34.30        4.08134e+00        -6.98387e-03        0.00000e+00 
 35.00        4.08068e+00        -5.69636e-03        0.00000e+00 
 35.70        4.08001e+00        -4.35089e-03        0.00000e+00 
 36.40        4.07934e+00        -2.94756e-03        0.00000e+00 
 37.10        4.07867e+00        -1.48646e-03        0.00000e+00 
 37.80        4.07798e+00        3.23248e-05        0.00000e+00 
 38.50        4.07730e+00        1.60871e-03        0.00000e+00 
 39.20        4.07661e+00        3.24260e-03        0.00000e+00 
 39.90        4.07591e+00        4.93391e-03        0.00000e+00 
