#Navio B MarAd
#Manobra de Curva Zig-Zag
#
#Eta 
#
#temp      rot 
 0.00  1.00
 0.70  1.00
 1.40  1.00
 2.10  1.00
 2.80  1.00
 3.50  1.00
 4.20  1.00
 4.90  1.00
 5.60  1.00
 6.30  1.00
 7.00  1.00
 7.70  1.00
 8.40  1.00
 9.10  1.00
 9.80  1.00
 10.50  1.00
 11.20  1.00
 11.90  1.00
 12.60  1.00
 13.30  1.00
 14.00  1.00
 14.70  1.00
 15.40  1.00
 16.10  1.00
 16.80  1.00
 17.50  1.00
 18.20  1.00
 18.90  1.00
 19.60  1.00
 20.30  1.00
 21.00  1.00
 21.70  1.00
 22.40  1.00
 23.10  1.00
 23.80  1.00
 24.50  1.00
 25.20  1.01
 25.90  1.01
 26.60  1.01
 27.30  1.01
 28.00  1.01
 28.70  1.01
 29.40  1.01
 30.10  1.01
 30.80  1.01
 31.50  1.01
 32.20  1.01
 32.90  1.01
 33.60  1.01
 34.30  1.01
 35.00  1.01
 35.70  1.01
 36.40  1.01
 37.10  1.01
 37.80  1.01
 38.50  1.01
 39.20  1.01
 39.90  1.01
 40.60  1.01
 41.30  1.01
 42.00  1.01
 42.70  1.01
 43.40  1.01
 44.10  1.01
 44.80  1.01
 45.50  1.01
 46.20  1.01
 46.90  1.01
 47.60  1.01
 48.30  1.01
 49.00  1.01
 49.70  1.01
 50.40  1.01
 51.10  1.01
 51.80  1.01
 52.50  1.01
 53.20  1.01
 53.90  1.01
 54.60  1.01
 55.30  1.01
 56.00  1.01
 56.70  1.01
 57.40  1.01
 58.10  1.01
 58.80  1.02
 59.50  1.02
 60.20  1.02
 60.90  1.02
 61.60  1.02
 62.30  1.02
 63.00  1.02
 63.70  1.02
 64.40  1.02
 65.10  1.02
 65.80  1.02
 66.50  1.02
 67.20  1.02
 67.90  1.02
 68.60  1.02
 69.30  1.02
 70.00  1.02
 70.70  1.02
 71.40  1.02
 72.10  1.02
 72.80  1.02
 73.50  1.02
 74.20  1.02
 74.90  1.02
 75.60  1.02
 76.30  1.02
 77.00  1.02
 77.70  1.02
 78.40  1.02
 79.10  1.02
 79.80  1.02
 80.50  1.03
 81.20  1.03
 81.90  1.03
 82.60  1.03
 83.30  1.03
 84.00  1.03
 84.70  1.03
 85.40  1.03
 86.10  1.03
 86.80  1.03
 87.50  1.03
 88.20  1.03
 88.90  1.03
 89.60  1.03
 90.30  1.03
 91.00  1.03
 91.70  1.03
 92.40  1.03
 93.10  1.03
 93.80  1.03
 94.50  1.03
 95.20  1.03
 95.90  1.03
 96.60  1.04
 97.30  1.04
 98.00  1.04
 98.70  1.04
 99.40  1.04
 100.10  1.04
 100.80  1.04
 101.50  1.04
 102.20  1.04
 102.90  1.04
 103.60  1.04
 104.30  1.04
 105.00  1.04
 105.70  1.04
 106.40  1.04
 107.10  1.04
 107.80  1.04
 108.50  1.04
 109.20  1.04
 109.90  1.05
 110.60  1.05
 111.30  1.05
 112.00  1.05
 112.70  1.05
 113.40  1.05
 114.10  1.05
 114.80  1.05
 115.50  1.05
 116.20  1.05
 116.90  1.05
 117.60  1.05
 118.30  1.05
 119.00  1.05
 119.70  1.05
 120.40  1.05
 121.10  1.06
 121.80  1.06
 122.50  1.06
 123.20  1.06
 123.90  1.06
 124.60  1.06
 125.30  1.06
 126.00  1.06
 126.70  1.06
 127.40  1.06
 128.10  1.06
 128.80  1.06
 129.50  1.06
 130.20  1.06
 130.90  1.07
 131.60  1.07
 132.30  1.07
 133.00  1.07
 133.70  1.07
 134.40  1.07
 135.10  1.07
 135.80  1.07
 136.50  1.07
 137.20  1.07
 137.90  1.07
 138.60  1.07
 139.30  1.07
 140.00  1.08
 140.70  1.08
 141.40  1.08
 142.10  1.08
 142.80  1.08
 143.50  1.08
 144.20  1.08
 144.90  1.08
 145.60  1.08
 146.30  1.08
 147.00  1.08
 147.70  1.08
 148.40  1.08
 149.10  1.09
 149.80  1.09
 150.50  1.09
 151.20  1.09
 151.90  1.09
 152.60  1.09
 153.30  1.09
 154.00  1.09
 154.70  1.09
 155.40  1.09
 156.10  1.09
 156.80  1.09
 157.50  1.09
 158.20  1.09
 158.90  1.09
 159.60  1.09
 160.30  1.10
 161.00  1.10
 161.70  1.10
 162.40  1.10
 163.10  1.10
 163.80  1.10
 164.50  1.10
 165.20  1.10
 165.90  1.10
 166.60  1.10
 167.30  1.10
