#Navio B MarAd
#Manobra de Curva Zig-Zag
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        2.87700e+00        6.05410e-05        0.00000e+00        0.00000e+00        0.00000e+00        -6.53336e-07 
 1.40        5.75400e+00        1.81008e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.60703e-06 
 2.10        8.63058e+00        -8.48091e-04        0.00000e+00        0.00000e+00        0.00000e+00        7.06913e-06 
 2.80        1.15067e+01        -3.01681e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.11778e-05 
 3.50        1.43825e+01        -6.27804e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.95399e-05 
 4.20        1.72578e+01        -1.05849e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.81980e-04 
 4.90        2.01327e+01        -1.58907e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.88327e-04 
 5.60        2.30072e+01        -2.21489e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.18413e-04 
 6.30        2.58812e+01        -2.93133e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.72074e-04 
 7.00        2.87549e+01        -3.73377e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.49148e-04 
 7.70        3.16281e+01        -4.61761e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.49478e-04 
 8.40        3.45009e+01        -5.57827e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.17291e-03 
 9.10        3.73733e+01        -6.61120e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.41929e-03 
 9.80        4.02453e+01        -7.71184e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.68848e-03 
 10.50        4.31168e+01        -8.87567e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.98032e-03 
 11.20        4.59880e+01        -1.00982e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.29468e-03 
 11.90        4.88587e+01        -1.13748e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.63141e-03 
 12.60        5.17290e+01        -1.27011e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.99039e-03 
 13.30        5.45989e+01        -1.40727e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.37147e-03 
 14.00        5.74683e+01        -1.54849e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.77453e-03 
 14.70        6.03374e+01        -1.69335e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.19944e-03 
 15.40        6.32060e+01        -1.84139e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.64607e-03 
 16.10        6.60742e+01        -1.99217e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.11430e-03 
 16.80        6.89420e+01        -2.14524e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.60401e-03 
 17.50        7.18094e+01        -2.30018e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.11507e-03 
 18.20        7.46764e+01        -2.45654e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.64738e-03 
 18.90        7.75429e+01        -2.61388e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.20082e-03 
 19.60        8.04090e+01        -2.77176e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.77528e-03 
 20.30        8.32747e+01        -2.92975e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.37064e-03 
 21.00        8.61400e+01        -3.08741e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.98681e-03 
 21.70        8.90048e+01        -3.24430e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.62367e-03 
 22.40        9.18692e+01        -3.39999e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.02811e-02 
 23.10        9.47332e+01        -3.55405e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.09591e-02 
 23.80        9.75968e+01        -3.70604e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.16574e-02 
 24.50        1.00460e+02        -3.85554e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.23760e-02 
 25.20        1.03323e+02        -4.00211e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.31148e-02 
 25.90        1.06185e+02        -4.14531e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.38737e-02 
 26.60        1.09047e+02        -4.28473e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.46526e-02 
 27.30        1.11908e+02        -4.41992e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.54514e-02 
 28.00        1.14769e+02        -4.55047e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.62701e-02 
 28.70        1.17630e+02        -4.67594e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.71085e-02 
 29.40        1.20490e+02        -4.79591e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.79665e-02 
 30.10        1.23349e+02        -4.90994e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.88441e-02 
 30.80        1.26209e+02        -5.01762e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.97411e-02 
 31.50        1.29067e+02        -5.11851e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.06576e-02 
 32.20        1.31926e+02        -5.21219e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.15933e-02 
 32.90        1.34783e+02        -5.29823e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.25483e-02 
 33.60        1.37641e+02        -5.37622e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.35224e-02 
 34.30        1.40498e+02        -5.44572e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.45156e-02 
 35.00        1.43354e+02        -5.50631e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.55277e-02 
 35.70        1.46210e+02        -5.55757e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.65588e-02 
 36.40        1.49066e+02        -5.59907e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.76087e-02 
 37.10        1.51921e+02        -5.63040e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.86774e-02 
 37.80        1.54775e+02        -5.65113e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.97648e-02 
 38.50        1.57629e+02        -5.66084e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.08708e-02 
 39.20        1.60483e+02        -5.65910e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.19953e-02 
 39.90        1.63336e+02        -5.64550e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.31383e-02 
