#Navio B MarAd
#Manobra de Curva Giro
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        2.87700e+00        6.05498e-05        0.00000e+00        0.00000e+00        0.00000e+00        -6.53337e-07 
 1.40        5.75400e+00        1.81053e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.60703e-06 
 2.10        8.62971e+00        -1.75316e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.67573e-05 
 2.80        1.15041e+01        -5.72263e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.98246e-05 
 3.50        1.43773e+01        -1.16429e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.86259e-04 
 4.20        1.72491e+01        -1.94300e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.35730e-04 
 4.90        2.01197e+01        -2.90003e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.27914e-04 
 5.60        2.29890e+01        -4.02704e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.62492e-04 
 6.30        2.58570e+01        -5.31574e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.03915e-03 
 7.00        2.87237e+01        -6.75789e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.35758e-03 
 7.70        3.15892e+01        -8.34525e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.71748e-03 
 8.40        3.44534e+01        -1.00696e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.11856e-03 
 9.10        3.73163e+01        -1.19229e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.56051e-03 
 9.80        4.01779e+01        -1.38969e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.04305e-03 
 10.50        4.30383e+01        -1.59836e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.56590e-03 
 11.20        4.58974e+01        -1.81749e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.12878e-03 
 11.90        4.87552e+01        -2.04627e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.73141e-03 
 12.60        5.16117e+01        -2.28390e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.37351e-03 
 13.30        5.44670e+01        -2.52959e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.05483e-03 
 14.00        5.73210e+01        -2.78254e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.77510e-03 
 14.70        6.01737e+01        -3.04197e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.53406e-03 
 15.40        6.30251e+01        -3.30706e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.33144e-03 
 16.10        6.58753e+01        -3.57705e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.16700e-03 
 16.80        6.87242e+01        -3.85115e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.00405e-02 
 17.50        7.15718e+01        -4.12856e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.09517e-02 
 18.20        7.44182e+01        -4.40852e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.19003e-02 
 18.90        7.72632e+01        -4.69024e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.28861e-02 
 19.60        8.01070e+01        -4.97295e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.39088e-02 
 20.30        8.29495e+01        -5.25587e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.49683e-02 
