#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.64997e-05        0.00000e+00        0.00000e+00        0.00000e+00        -1.86441e-06 
 1.40        4.11000e+00        1.74832e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.71536e-06 
 2.10        4.10816e+00        -2.75245e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.89605e-05 
 2.80        4.10632e+00        -5.73948e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.21152e-04 
 3.50        4.10448e+00        -8.78521e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.82867e-04 
 4.20        4.10265e+00        -1.18886e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.44116e-04 
 4.90        4.10081e+00        -1.50485e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.04905e-04 
 5.60        4.09898e+00        -1.82641e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.65243e-04 
 6.30        4.09714e+00        -2.15341e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.25137e-04 
 7.00        4.09531e+00        -2.48577e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.84595e-04 
 7.70        4.09347e+00        -2.82339e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.43624e-04 
 8.40        4.09164e+00        -3.16616e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.02231e-04 
 9.10        4.08980e+00        -3.51398e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.60422e-04 
 9.80        4.08796e+00        -3.86676e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.18205e-04 
 10.50        4.08612e+00        -4.22440e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.75585e-04 
 11.20        4.08427e+00        -4.58680e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.32568e-04 
 11.90        4.08242e+00        -4.95387e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.89161e-04 
 12.60        4.08056e+00        -5.32552e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.45368e-04 
 13.30        4.07871e+00        -5.70165e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.00120e-03 
 14.00        4.07684e+00        -6.08216e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.05665e-03 
 14.70        4.07497e+00        -6.46697e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.11173e-03 
 15.40        4.07310e+00        -6.85598e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.16645e-03 
 16.10        4.07122e+00        -7.24911e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.22081e-03 
 16.80        4.06933e+00        -7.64625e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.27481e-03 
 17.50        4.06743e+00        -8.04733e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.32847e-03 
 18.20        4.06553e+00        -8.45224e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.38177e-03 
 18.90        4.06361e+00        -8.86091e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.43473e-03 
 19.60        4.06169e+00        -9.27325e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.48736e-03 
 20.30        4.05976e+00        -9.68916e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.53964e-03 
 21.00        4.05782e+00        -1.01086e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.59160e-03 
 21.70        4.05587e+00        -1.05314e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.64322e-03 
 22.40        4.05391e+00        -1.09575e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.69452e-03 
 23.10        4.05194e+00        -1.13868e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.74550e-03 
 23.80        4.04995e+00        -1.18193e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.79616e-03 
 24.50        4.04795e+00        -1.22549e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.84650e-03 
 25.20        4.04594e+00        -1.26934e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.89653e-03 
 25.90        4.04392e+00        -1.31349e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.94624e-03 
 26.60        4.04189e+00        -1.35791e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.99565e-03 
 27.30        4.03983e+00        -1.40261e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.04475e-03 
 28.00        4.03777e+00        -1.44757e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.09354e-03 
 28.70        4.03569e+00        -1.49279e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.14203e-03 
 29.40        4.03359e+00        -1.53825e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.19022e-03 
 30.10        4.03148e+00        -1.58396e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.23811e-03 
 30.80        4.02935e+00        -1.62990e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.28570e-03 
 31.50        4.02721e+00        -1.67606e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.33300e-03 
 32.20        4.02505e+00        -1.72244e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.38000e-03 
 32.90        4.02287e+00        -1.76902e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.42671e-03 
 33.60        4.02067e+00        -1.81581e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.47313e-03 
 34.30        4.01845e+00        -1.86279e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.51925e-03 
 35.00        4.01621e+00        -1.90995e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.56509e-03 
 35.70        4.01396e+00        -1.95730e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.61064e-03 
