#Navio B MarAd
#Manobra de Curva Giro
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        1.22252e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.67321e-06 
 0.70        -2.53066e-10        1.24889e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.65490e-06 
 1.40        -2.63165e-03        -4.13863e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.98848e-05 
 2.10        -2.62824e-03        -4.22489e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.92256e-05 
 2.80        -2.62542e-03        -4.30966e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.85792e-05 
 3.50        -2.62320e-03        -4.39298e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.79453e-05 
 4.20        -2.62158e-03        -4.47484e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.73234e-05 
 4.90        -2.62058e-03        -4.55526e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.67132e-05 
 5.60        -2.62021e-03        -4.63426e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.61143e-05 
 6.30        -2.62047e-03        -4.71185e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.55263e-05 
 7.00        -2.62137e-03        -4.78804e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.49488e-05 
 7.70        -2.62291e-03        -4.86285e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.43815e-05 
 8.40        -2.62511e-03        -4.93628e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.38241e-05 
 9.10        -2.62797e-03        -5.00836e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.32761e-05 
 9.80        -2.63149e-03        -5.07908e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.27373e-05 
 10.50        -2.63569e-03        -5.14846e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.22073e-05 
 11.20        -2.64056e-03        -5.21652e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.16858e-05 
 11.90        -2.64611e-03        -5.28325e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.11725e-05 
 12.60        -2.65234e-03        -5.34868e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.06671e-05 
 13.30        -2.65926e-03        -5.41280e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.01692e-05 
 14.00        -2.66687e-03        -5.47563e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.96786e-05 
 14.70        -2.67518e-03        -5.53718e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.91950e-05 
 15.40        -2.68418e-03        -5.59746e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.87181e-05 
 16.10        -2.69388e-03        -5.65647e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.82477e-05 
 16.80        -2.70429e-03        -5.71423e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.77834e-05 
 17.50        -2.71540e-03        -5.77073e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.73249e-05 
 18.20        -2.72721e-03        -5.82599e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.68722e-05 
 18.90        -2.73973e-03        -5.88002e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.64248e-05 
