#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        4.11000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.38163e-05        0.00000e+00 
 1.40        4.11000e+00        1.64123e-04        0.00000e+00 
 2.10        4.10816e+00        -2.68366e-03        0.00000e+00 
 2.80        4.10632e+00        -5.41188e-03        0.00000e+00 
 3.50        4.10448e+00        -8.02099e-03        0.00000e+00 
 4.20        4.10265e+00        -1.05114e-02        0.00000e+00 
 4.90        4.10082e+00        -1.28837e-02        0.00000e+00 
 5.60        4.09899e+00        -1.51381e-02        0.00000e+00 
 6.30        4.09716e+00        -1.72750e-02        0.00000e+00 
 7.00        4.09534e+00        -1.92949e-02        0.00000e+00 
 7.70        4.09352e+00        -2.11981e-02        0.00000e+00 
 8.40        4.09170e+00        -2.29850e-02        0.00000e+00 
 9.10        4.08988e+00        -2.46559e-02        0.00000e+00 
 9.80        4.08806e+00        -2.62110e-02        0.00000e+00 
 10.50        4.08624e+00        -2.76508e-02        0.00000e+00 
 11.20        4.08442e+00        -2.89756e-02        0.00000e+00 
 11.90        4.08261e+00        -3.01855e-02        0.00000e+00 
 12.60        4.08079e+00        -3.12809e-02        0.00000e+00 
 13.30        4.07898e+00        -3.22621e-02        0.00000e+00 
 14.00        4.07716e+00        -3.31293e-02        0.00000e+00 
 14.70        4.07534e+00        -3.38827e-02        0.00000e+00 
 15.40        4.07353e+00        -3.45226e-02        0.00000e+00 
 16.10        4.07171e+00        -3.50493e-02        0.00000e+00 
 16.80        4.06989e+00        -3.54628e-02        0.00000e+00 
 17.50        4.06806e+00        -3.57636e-02        0.00000e+00 
 18.20        4.06624e+00        -3.59517e-02        0.00000e+00 
 18.90        4.06441e+00        -3.60275e-02        0.00000e+00 
 19.60        4.06258e+00        -3.59910e-02        0.00000e+00 
 20.30        4.06075e+00        -3.58425e-02        0.00000e+00 
 21.00        4.05891e+00        -3.55821e-02        0.00000e+00 
