#Navio B MarAd
#Manobra de Curva Giro
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        1.22252e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.67321e-06 
 0.70        -2.52874e-10        1.24809e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.65258e-06 
 1.40        -2.63165e-03        -4.13879e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.98895e-05 
 2.10        -2.62824e-03        -4.22234e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.91517e-05 
 2.80        -2.62542e-03        -4.30426e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.84260e-05 
 3.50        -2.62319e-03        -4.38458e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.77120e-05 
 4.20        -2.62157e-03        -4.46330e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.70095e-05 
 4.90        -2.62056e-03        -4.54045e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.63181e-05 
 5.60        -2.62016e-03        -4.61604e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.56373e-05 
 6.30        -2.62039e-03        -4.69008e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.49670e-05 
 7.00        -2.62125e-03        -4.76259e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.43067e-05 
 7.70        -2.62274e-03        -4.83359e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.36562e-05 
 8.40        -2.62487e-03        -4.90308e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.30151e-05 
 9.10        -2.62765e-03        -4.97107e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.23831e-05 
 9.80        -2.63107e-03        -5.03759e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.17600e-05 
 10.50        -2.63515e-03        -5.10265e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.11455e-05 
 11.20        -2.63987e-03        -5.16625e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.05392e-05 
 11.90        -2.64525e-03        -5.22841e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.99409e-05 
 12.60        -2.65130e-03        -5.28914e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.93503e-05 
 13.30        -2.65800e-03        -5.34846e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.87672e-05 
 14.00        -2.66536e-03        -5.40637e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.81914e-05 
 14.70        -2.67338e-03        -5.46288e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.76224e-05 
 15.40        -2.68207e-03        -5.51801e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.70602e-05 
 16.10        -2.69142e-03        -5.57176e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.65044e-05 
 16.80        -2.70143e-03        -5.62416e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.59549e-05 
 17.50        -2.71211e-03        -5.67520e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.54114e-05 
 18.20        -2.72344e-03        -5.72489e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.48737e-05 
 18.90        -2.73544e-03        -5.77326e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.43415e-05 
 19.60        -2.74809e-03        -5.82030e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.38147e-05 
 20.30        -2.76141e-03        -5.86603e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.32931e-05 
 21.00        -2.77538e-03        -5.91045e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.27765e-05 
 21.70        -2.79000e-03        -5.95358e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.22646e-05 
 22.40        -2.80527e-03        -5.99543e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.17573e-05 
 23.10        -2.82118e-03        -6.03600e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.12544e-05 
 23.80        -2.83774e-03        -6.07530e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.07557e-05 
 24.50        -2.85494e-03        -6.11334e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.02610e-05 
 25.20        -2.87278e-03        -6.15014e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.97702e-05 
 25.90        -2.89125e-03        -6.18569e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.92832e-05 
 26.60        -2.91034e-03        -6.22002e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.87996e-05 
 27.30        -2.93006e-03        -6.25312e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.83195e-05 
 28.00        -2.95040e-03        -6.28500e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.78426e-05 
 28.70        -2.97135e-03        -6.31569e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.73689e-05 
 29.40        -2.99291e-03        -6.34517e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.68981e-05 
 30.10        -3.01506e-03        -6.37347e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.64301e-05 
 30.80        -3.03782e-03        -6.40059e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.59648e-05 
 31.50        -3.06116e-03        -6.42654e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.55021e-05 
 32.20        -3.08509e-03        -6.45132e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.50418e-05 
 32.90        -3.10959e-03        -6.47495e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.45838e-05 
 33.60        -3.13467e-03        -6.49744e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.41281e-05 
 34.30        -3.16030e-03        -6.51879e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.36744e-05 
 35.00        -3.18650e-03        -6.53901e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.32228e-05 
 35.70        -3.21324e-03        -6.55812e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.27730e-05 
 36.40        -3.24052e-03        -6.57611e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.23250e-05 
 37.10        -3.26833e-03        -6.59300e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.18787e-05 
 37.80        -3.29667e-03        -6.60880e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.14340e-05 
 38.50        -3.32553e-03        -6.62351e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.09908e-05 
 39.20        -3.35489e-03        -6.63715e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.05491e-05 
 39.90        -3.38476e-03        -6.64972e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.01086e-05 
 40.60        -3.41511e-03        -6.66124e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.96695e-05 
 41.30        -3.44595e-03        -6.67170e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.92315e-05 
 42.00        -3.47726e-03        -6.68113e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.87947e-05 
 42.70        -3.50903e-03        -6.68952e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.83589e-05 
 43.40        -3.54126e-03        -6.69689e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.79242e-05 
