#Navio B MarAd
#Manobra de Curva Giro
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        2.87700e+00        6.05312e-05        0.00000e+00        0.00000e+00        0.00000e+00        -6.53242e-07 
 1.40        5.75400e+00        1.80959e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.60627e-06 
 2.10        8.62971e+00        -1.75277e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.67565e-05 
 2.80        1.15041e+01        -5.71992e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.98042e-05 
 3.50        1.43773e+01        -1.16348e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.86181e-04 
 4.20        1.72491e+01        -1.94120e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.35537e-04 
 4.90        2.01197e+01        -2.89668e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.27529e-04 
 5.60        2.29890e+01        -4.02145e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.61816e-04 
 6.30        2.58570e+01        -5.30710e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.03807e-03 
 7.00        2.87237e+01        -6.74525e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.35595e-03 
 7.70        3.15892e+01        -8.32756e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.71515e-03 
 8.40        3.44534e+01        -1.00457e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.11533e-03 
 9.10        3.73163e+01        -1.18914e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.55620e-03 
 9.80        4.01779e+01        -1.38565e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.03743e-03 
 10.50        4.30383e+01        -1.59327e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.55873e-03 
 11.20        4.58974e+01        -1.81118e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.11978e-03 
 11.90        4.87552e+01        -2.03857e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.72031e-03 
 12.60        5.16117e+01        -2.27463e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.36000e-03 
 13.30        5.44670e+01        -2.51855e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.03857e-03 
 14.00        5.73210e+01        -2.76952e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.75575e-03 
 14.70        6.01737e+01        -3.02675e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.51123e-03 
 15.40        6.30251e+01        -3.28942e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.30475e-03 
 16.10        6.58753e+01        -3.55674e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.13603e-03 
 16.80        6.87242e+01        -3.82792e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.00048e-02 
 17.50        7.15718e+01        -4.10217e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.09108e-02 
 18.20        7.44182e+01        -4.37869e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.18537e-02 
 18.90        7.72633e+01        -4.65669e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.28334e-02 
 19.60        8.01070e+01        -4.93541e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.38494e-02 
 20.30        8.29495e+01        -5.21404e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.49016e-02 
 21.00        8.57908e+01        -5.49182e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.59898e-02 
 21.70        8.86307e+01        -5.76796e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.71136e-02 
 22.40        9.14693e+01        -6.04169e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.82728e-02 
 23.10        9.43067e+01        -6.31224e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.94671e-02 
 23.80        9.71427e+01        -6.57884e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.06964e-02 
 24.50        9.99775e+01        -6.84072e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.19604e-02 
 25.20        1.02811e+02        -7.09712e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.32588e-02 
 25.90        1.05643e+02        -7.34727e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.45913e-02 
 26.60        1.08474e+02        -7.59042e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.59578e-02 
 27.30        1.11303e+02        -7.82580e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.73581e-02 
 28.00        1.14131e+02        -8.05267e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.87918e-02 
 28.70        1.16958e+02        -8.27026e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.02587e-02 
 29.40        1.19784e+02        -8.47783e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.17587e-02 
 30.10        1.22608e+02        -8.67464e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.32914e-02 
 30.80        1.25431e+02        -8.85993e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.48567e-02 
 31.50        1.28252e+02        -9.03297e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.64543e-02 
 32.20        1.31072e+02        -9.19300e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.80841e-02 
 32.90        1.33891e+02        -9.33931e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.97456e-02 
