#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.64606e-05        0.00000e+00        0.00000e+00        0.00000e+00        -1.86400e-06 
 1.40        4.11000e+00        1.74674e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.71372e-06 
 2.10        4.10816e+00        -2.75144e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.89499e-05 
 2.80        4.10632e+00        -5.73460e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.21101e-04 
 3.50        4.10448e+00        -8.77366e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.82748e-04 
 4.20        4.10265e+00        -1.18675e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.43900e-04 
 4.90        4.10081e+00        -1.50150e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.04563e-04 
 5.60        4.09898e+00        -1.82149e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.64745e-04 
 6.30        4.09714e+00        -2.14663e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.24454e-04 
 7.00        4.09531e+00        -2.47681e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.83696e-04 
 7.70        4.09347e+00        -2.81190e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.42479e-04 
 8.40        4.09164e+00        -3.15182e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.00810e-04 
 9.10        4.08980e+00        -3.49644e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.58694e-04 
 9.80        4.08796e+00        -3.84567e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.16138e-04 
 10.50        4.08612e+00        -4.19940e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.73147e-04 
 11.20        4.08427e+00        -4.55752e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.29729e-04 
 11.90        4.08242e+00        -4.91994e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.85887e-04 
 12.60        4.08057e+00        -5.28655e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.41629e-04 
 13.30        4.07871e+00        -5.65725e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.96958e-04 
 14.00        4.07685e+00        -6.03194e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.05188e-03 
