#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        4.11000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.37758e-05        0.00000e+00 
 1.40        4.11000e+00        1.63963e-04        0.00000e+00 
 2.10        4.10816e+00        -2.68260e-03        0.00000e+00 
 2.80        4.10632e+00        -5.40690e-03        0.00000e+00 
 3.50        4.10448e+00        -8.00949e-03        0.00000e+00 
 4.20        4.10265e+00        -1.04909e-02        0.00000e+00 
 4.90        4.10082e+00        -1.28517e-02        0.00000e+00 
 5.60        4.09899e+00        -1.50923e-02        0.00000e+00 
 6.30        4.09716e+00        -1.72133e-02        0.00000e+00 
 7.00        4.09534e+00        -1.92151e-02        0.00000e+00 
 7.70        4.09352e+00        -2.10982e-02        0.00000e+00 
 8.40        4.09170e+00        -2.28630e-02        0.00000e+00 
 9.10        4.08988e+00        -2.45101e-02        0.00000e+00 
 9.80        4.08806e+00        -2.60399e-02        0.00000e+00 
 10.50        4.08624e+00        -2.74527e-02        0.00000e+00 
 11.20        4.08442e+00        -2.87490e-02        0.00000e+00 
 11.90        4.08261e+00        -2.99292e-02        0.00000e+00 
 12.60        4.08079e+00        -3.09937e-02        0.00000e+00 
 13.30        4.07898e+00        -3.19429e-02        0.00000e+00 
 14.00        4.07716e+00        -3.27772e-02        0.00000e+00 
 14.70        4.07534e+00        -3.34970e-02        0.00000e+00 
 15.40        4.07353e+00        -3.41026e-02        0.00000e+00 
 16.10        4.07171e+00        -3.45944e-02        0.00000e+00 
 16.80        4.06989e+00        -3.49727e-02        0.00000e+00 
 17.50        4.06807e+00        -3.52380e-02        0.00000e+00 
 18.20        4.06624e+00        -3.53905e-02        0.00000e+00 
 18.90        4.06442e+00        -3.54307e-02        0.00000e+00 
 19.60        4.06259e+00        -3.53588e-02        0.00000e+00 
 20.30        4.06076e+00        -3.51752e-02        0.00000e+00 
 21.00        4.05892e+00        -3.48803e-02        0.00000e+00 
 21.70        4.05708e+00        -3.44744e-02        0.00000e+00 
 22.40        4.05524e+00        -3.39577e-02        0.00000e+00 
 23.10        4.05339e+00        -3.33308e-02        0.00000e+00 
 23.80        4.05154e+00        -3.25938e-02        0.00000e+00 
 24.50        4.04968e+00        -3.17471e-02        0.00000e+00 
 25.20        4.04781e+00        -3.07911e-02        0.00000e+00 
 25.90        4.04594e+00        -2.97261e-02        0.00000e+00 
 26.60        4.04406e+00        -2.85524e-02        0.00000e+00 
 27.30        4.04217e+00        -2.72704e-02        0.00000e+00 
 28.00        4.04027e+00        -2.58804e-02        0.00000e+00 
 28.70        4.03837e+00        -2.43827e-02        0.00000e+00 
 29.40        4.03646e+00        -2.27777e-02        0.00000e+00 
 30.10        4.03453e+00        -2.10658e-02        0.00000e+00 
 30.80        4.03260e+00        -1.92472e-02        0.00000e+00 
 31.50        4.03066e+00        -1.73224e-02        0.00000e+00 
 32.20        4.02870e+00        -1.52917e-02        0.00000e+00 
 32.90        4.02674e+00        -1.31554e-02        0.00000e+00 
 33.60        4.02476e+00        -1.09140e-02        0.00000e+00 
 34.30        4.02277e+00        -8.56775e-03        0.00000e+00 
 35.00        4.02076e+00        -6.11709e-03        0.00000e+00 
 35.70        4.01875e+00        -3.56239e-03        0.00000e+00 
 36.40        4.01671e+00        -9.04039e-04        0.00000e+00 
 37.10        4.01467e+00        1.85757e-03        0.00000e+00 
 37.80        4.01260e+00        4.72203e-03        0.00000e+00 
 38.50        4.01052e+00        7.68893e-03        0.00000e+00 
 39.20        4.00843e+00        1.07579e-02        0.00000e+00 
 39.90        4.00632e+00        1.39284e-02        0.00000e+00 
 40.60        4.00419e+00        1.72001e-02        0.00000e+00 
 41.30        4.00204e+00        2.05726e-02        0.00000e+00 
 42.00        3.99987e+00        2.40453e-02        0.00000e+00 
 42.70        3.99768e+00        2.76179e-02        0.00000e+00 
 43.40        3.99548e+00        3.12899e-02        0.00000e+00 
 44.10        3.99325e+00        3.50607e-02        0.00000e+00 
 44.80        3.99100e+00        3.89300e-02        0.00000e+00 
 45.50        3.98873e+00        4.28972e-02        0.00000e+00 
 46.20        3.98643e+00        4.69619e-02        0.00000e+00 
 46.90        3.98412e+00        5.11235e-02        0.00000e+00 
 47.60        3.98178e+00        5.53814e-02        0.00000e+00 
 48.30        3.97941e+00        5.97353e-02        0.00000e+00 
 49.00        3.97702e+00        6.41845e-02        0.00000e+00 
 49.70        3.97460e+00        6.87285e-02        0.00000e+00 
 50.40        3.97216e+00        7.33667e-02        0.00000e+00 
 51.10        3.96969e+00        7.80987e-02        0.00000e+00 
 51.80        3.96720e+00        8.29237e-02        0.00000e+00 
 52.50        3.96467e+00        8.78412e-02        0.00000e+00 
 53.20        3.96212e+00        9.28506e-02        0.00000e+00 
 53.90        3.95954e+00        9.79513e-02        0.00000e+00 
 54.60        3.95693e+00        1.03143e-01        0.00000e+00 
 55.30        3.95429e+00        1.08424e-01        0.00000e+00 
 56.00        3.95162e+00        1.13795e-01        0.00000e+00 
 56.70        3.94891e+00        1.19255e-01        0.00000e+00 
 57.40        3.94617e+00        1.24802e-01        0.00000e+00 
 58.10        3.94341e+00        1.30438e-01        0.00000e+00 
 58.80        3.94060e+00        1.36159e-01        0.00000e+00 
 59.50        3.93777e+00        1.41967e-01        0.00000e+00 
 60.20        3.93490e+00        1.47861e-01        0.00000e+00 
 60.90        3.93199e+00        1.53839e-01        0.00000e+00 
 61.60        3.92905e+00        1.59901e-01        0.00000e+00 
 62.30        3.92607e+00        1.66046e-01        0.00000e+00 
 63.00        3.92306e+00        1.72273e-01        0.00000e+00 
 63.70        3.92000e+00        1.78582e-01        0.00000e+00 
 64.40        3.91691e+00        1.84972e-01        0.00000e+00 
 65.10        3.91378e+00        1.91442e-01        0.00000e+00 
 65.80        3.91062e+00        1.97992e-01        0.00000e+00 
 66.50        3.90741e+00        2.04620e-01        0.00000e+00 
 67.20        3.90416e+00        2.11325e-01        0.00000e+00 
 67.90        3.90088e+00        2.18108e-01        0.00000e+00 
 68.60        3.89755e+00        2.24967e-01        0.00000e+00 
 69.30        3.89418e+00        2.31901e-01        0.00000e+00 
 70.00        3.89076e+00        2.38909e-01        0.00000e+00 
 70.70        3.88731e+00        2.45991e-01        0.00000e+00 
 71.40        3.88381e+00        2.53146e-01        0.00000e+00 
 72.10        3.88027e+00        2.60372e-01        0.00000e+00 
 72.80        3.87668e+00        2.67669e-01        0.00000e+00 
 73.50        3.87305e+00        2.75037e-01        0.00000e+00 
 74.20        3.86938e+00        2.82473e-01        0.00000e+00 
 74.90        3.86565e+00        2.89978e-01        0.00000e+00 
 75.60        3.86189e+00        2.97550e-01        0.00000e+00 
 76.30        3.85807e+00        3.05188e-01        0.00000e+00 
 77.00        3.85421e+00        3.12892e-01        0.00000e+00 
 77.70        3.85030e+00        3.20660e-01        0.00000e+00 
 78.40        3.84635e+00        3.28492e-01        0.00000e+00 
 79.10        3.84234e+00        3.36386e-01        0.00000e+00 
 79.80        3.83829e+00        3.44342e-01        0.00000e+00 
 80.50        3.83419e+00        3.52359e-01        0.00000e+00 
 81.20        3.83004e+00        3.60435e-01        0.00000e+00 
 81.90        3.82584e+00        3.68570e-01        0.00000e+00 
 82.60        3.82159e+00        3.76763e-01        0.00000e+00 
 83.30        3.81729e+00        3.85012e-01        0.00000e+00 
 84.00        3.81294e+00        3.93317e-01        0.00000e+00 
 84.70        3.80854e+00        4.01677e-01        0.00000e+00 
 85.40        3.80408e+00        4.10091e-01        0.00000e+00 
 86.10        3.79958e+00        4.18557e-01        0.00000e+00 
 86.80        3.79502e+00        4.27074e-01        0.00000e+00 
 87.50        3.79041e+00        4.35643e-01        0.00000e+00 
 88.20        3.78575e+00        4.44261e-01        0.00000e+00 
 88.90        3.78103e+00        4.52927e-01        0.00000e+00 
 89.60        3.77626e+00        4.61641e-01        0.00000e+00 
 90.30        3.77144e+00        4.70402e-01        0.00000e+00 
 91.00        3.76657e+00        4.79208e-01        0.00000e+00 
 91.70        3.76164e+00        4.88058e-01        0.00000e+00 
 92.40        3.75666e+00        4.96951e-01        0.00000e+00 
 93.10        3.75162e+00        5.05887e-01        0.00000e+00 
 93.80        3.74653e+00        5.14864e-01        0.00000e+00 
 94.50        3.74138e+00        5.23881e-01        0.00000e+00 
 95.20        3.73618e+00        5.32938e-01        0.00000e+00 
 95.90        3.73092e+00        5.42032e-01        0.00000e+00 
 96.60        3.72561e+00        5.51163e-01        0.00000e+00 
