#Navio B MarAd
#Manobra de Curva Giro
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        2.87700e+00        6.14365e-05        0.00000e+00        0.00000e+00        0.00000e+00        -7.83312e-07 
 1.40        5.75400e+00        1.83621e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.12452e-06 
 2.10        8.62971e+00        -1.74855e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.55950e-05 
 2.80        1.15041e+01        -5.71600e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.77473e-05 
 3.50        1.43773e+01        -1.16347e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.82979e-04 
 4.20        1.72491e+01        -1.94211e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.30944e-04 
 4.90        2.01197e+01        -2.89920e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.21300e-04 
 5.60        2.29890e+01        -4.02646e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.53710e-04 
 6.30        2.58570e+01        -5.31566e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.02784e-03 
 7.00        2.87237e+01        -6.75859e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.34337e-03 
 7.70        3.15892e+01        -8.34709e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.69997e-03 
 8.40        3.44534e+01        -1.00730e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.09733e-03 
 9.10        3.73163e+01        -1.19284e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.53513e-03 
 9.80        4.01779e+01        -1.39050e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.01307e-03 
 10.50        4.30383e+01        -1.59949e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.53084e-03 
 11.20        4.58974e+01        -1.81901e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.08813e-03 
 11.90        4.87552e+01        -2.04826e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.68466e-03 
 12.60        5.16117e+01        -2.28646e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.32013e-03 
 13.30        5.44670e+01        -2.53281e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.99424e-03 
 14.00        5.73210e+01        -2.78653e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.70672e-03 
 14.70        6.01737e+01        -3.04684e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.45728e-03 
 15.40        6.30251e+01        -3.31295e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.24564e-03 
 16.10        6.58753e+01        -3.58409e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.07153e-03 
 16.80        6.87242e+01        -3.85948e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.93467e-03 
 17.50        7.15719e+01        -4.13836e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.08348e-02 
 18.20        7.44182e+01        -4.41995e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.17716e-02 
 18.90        7.72633e+01        -4.70349e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.27449e-02 
 19.60        8.01071e+01        -4.98822e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.37543e-02 
 20.30        8.29496e+01        -5.27338e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.47997e-02 
 21.00        8.57908e+01        -5.55820e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.58808e-02 
 21.70        8.86307e+01        -5.84195e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.69972e-02 
 22.40        9.14694e+01        -6.12385e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.81489e-02 
 23.10        9.43067e+01        -6.40317e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.93354e-02 
 23.80        9.71428e+01        -6.67916e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.05566e-02 
 24.50        9.99775e+01        -6.95107e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.18121e-02 
 25.20        1.02811e+02        -7.21816e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.31019e-02 
 25.90        1.05643e+02        -7.47970e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.44255e-02 
 26.60        1.08474e+02        -7.73494e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.57829e-02 
 27.30        1.11303e+02        -7.98316e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.71737e-02 
 28.00        1.14132e+02        -8.22362e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.85976e-02 
 28.70        1.16959e+02        -8.45560e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.00545e-02 
 29.40        1.19784e+02        -8.67837e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.15442e-02 
 30.10        1.22608e+02        -8.89120e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.30663e-02 
 30.80        1.25431e+02        -9.09338e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.46207e-02 
 31.50        1.28253e+02        -9.28419e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.62071e-02 
 32.20        1.31073e+02        -9.46291e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.78252e-02 
 32.90        1.33891e+02        -9.62883e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.94750e-02 
 33.60        1.36709e+02        -9.78125e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.11560e-02 
 34.30        1.39525e+02        -9.91946e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.28682e-02 
 35.00        1.42339e+02        -1.00427e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.46112e-02 
 35.70        1.45153e+02        -1.01504e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.63848e-02 
 36.40        1.47964e+02        -1.02418e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.81889e-02 
 37.10        1.50775e+02        -1.03161e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.00231e-02 
 37.80        1.53584e+02        -1.03727e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.18873e-02 
 38.50        1.56391e+02        -1.04110e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.37813e-02 
 39.20        1.59197e+02        -1.04302e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.57047e-02 
 39.90        1.62002e+02        -1.04296e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.76575e-02 
 40.60        1.64805e+02        -1.04085e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.96393e-02 
 41.30        1.67606e+02        -1.03664e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.16500e-02 
 42.00        1.70406e+02        -1.03024e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.36892e-02 
 42.70        1.73205e+02        -1.02160e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.57569e-02 
 43.40        1.76002e+02        -1.01065e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.78528e-02 
 44.10        1.78797e+02        -9.97319e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.99766e-02 
 44.80        1.81591e+02        -9.81542e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.21282e-02 
 45.50        1.84384e+02        -9.63254e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.43072e-02 
 46.20        1.87174e+02        -9.42390e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.65136e-02 
 46.90        1.89964e+02        -9.18886e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.87471e-02 
 47.60        1.92751e+02        -8.92675e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.10074e-02 
 48.30        1.95537e+02        -8.63695e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.32944e-02 
 49.00        1.98321e+02        -8.31882e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.56078e-02 
 49.70        2.01104e+02        -7.97172e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.79473e-02 
 50.40        2.03885e+02        -7.59502e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.03129e-02 
 51.10        2.06664e+02        -7.18809e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.27043e-02 
 51.80        2.09442e+02        -6.75031e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.51212e-02 
 52.50        2.12217e+02        -6.28107e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.75634e-02 
 53.20        2.14991e+02        -5.77975e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.00031e-01 
 53.90        2.17764e+02        -5.24574e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.02523e-01 
 54.60        2.20534e+02        -4.67843e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.05040e-01 
 55.30        2.23303e+02        -4.07722e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.07581e-01 
 56.00        2.26069e+02        -3.44152e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.10147e-01 
 56.70        2.28834e+02        -2.77074e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.12737e-01 
 57.40        2.31597e+02        -2.06428e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.15350e-01 
 58.10        2.34359e+02        -1.32157e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.17987e-01 
 58.80        2.37118e+02        -5.42020e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.20648e-01 
 59.50        2.39875e+02        2.74937e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.23331e-01 
 60.20        2.42630e+02        1.12987e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.26038e-01 
 60.90        2.45384e+02        2.02335e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.28767e-01 
 61.60        2.48135e+02        2.95592e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.31519e-01 
 62.30        2.50884e+02        3.92815e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.34293e-01 
 63.00        2.53632e+02        4.94058e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.37089e-01 
 63.70        2.56377e+02        5.99375e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.39907e-01 
 64.40        2.59120e+02        7.08821e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.42747e-01 
 65.10        2.61861e+02        8.22448e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.45608e-01 
 65.80        2.64600e+02        9.40310e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.48490e-01 
 66.50        2.67336e+02        1.06246e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.51393e-01 
 67.20        2.70070e+02        1.18895e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.54317e-01 
 67.90        2.72803e+02        1.31982e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.57262e-01 
 68.60        2.75532e+02        1.45514e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.60227e-01 
 69.30        2.78260e+02        1.59494e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.63212e-01 
 70.00        2.80985e+02        1.73929e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.66217e-01 
 70.70        2.83708e+02        1.88822e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.69242e-01 
 71.40        2.86428e+02        2.04179e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.72286e-01 
 72.10        2.89147e+02        2.20005e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.75350e-01 
 72.80        2.91862e+02        2.36303e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.78432e-01 
 73.50        2.94575e+02        2.53080e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.81534e-01 
 74.20        2.97286e+02        2.70338e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.84654e-01 
 74.90        2.99994e+02        2.88084e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.87793e-01 
 75.60        3.02700e+02        3.06320e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.90949e-01 
 76.30        3.05403e+02        3.25053e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.94124e-01 
 77.00        3.08103e+02        3.44285e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.97317e-01 
