#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.77664e-05        0.00000e+00        0.00000e+00        0.00000e+00        -2.23490e-06 
 1.40        4.11000e+00        1.77768e-04        0.00000e+00        0.00000e+00        0.00000e+00        -4.45121e-06 
 2.10        4.10816e+00        -2.74740e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.78502e-05 
 2.80        4.10632e+00        -5.73183e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.19644e-04 
 3.50        4.10448e+00        -8.77443e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.80937e-04 
 4.20        4.10265e+00        -1.18741e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.41738e-04 
 4.90        4.10081e+00        -1.50298e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.02055e-04 
 5.60        4.09898e+00        -1.82405e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.61894e-04 
 6.30        4.09714e+00        -2.15051e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.21264e-04 
 7.00        4.09531e+00        -2.48226e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.80169e-04 
 7.70        4.09348e+00        -2.81920e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.38618e-04 
 8.40        4.09164e+00        -3.16122e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.96617e-04 
 9.10        4.08980e+00        -3.50822e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.54172e-04 
 9.80        4.08796e+00        -3.86011e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.11288e-04 
 10.50        4.08612e+00        -4.21677e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.67972e-04 
 11.20        4.08427e+00        -4.57812e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.24229e-04 
 11.90        4.08242e+00        -4.94406e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.80065e-04 
 12.60        4.08057e+00        -5.31449e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.35485e-04 
 13.30        4.07871e+00        -5.68931e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.90493e-04 
 14.00        4.07685e+00        -6.06842e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.04510e-03 
 14.70        4.07498e+00        -6.45174e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.09930e-03 
 15.40        4.07310e+00        -6.83917e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.15310e-03 
 16.10        4.07122e+00        -7.23060e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.20651e-03 
 16.80        4.06934e+00        -7.62596e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.25953e-03 
 17.50        4.06744e+00        -8.02515e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.31217e-03 
 18.20        4.06554e+00        -8.42808e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.36442e-03 
 18.90        4.06363e+00        -8.83465e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.41630e-03 
 19.60        4.06171e+00        -9.24478e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.46781e-03 
 20.30        4.05978e+00        -9.65837e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.51894e-03 
 21.00        4.05785e+00        -1.00753e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.56971e-03 
 21.70        4.05590e+00        -1.04956e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.62011e-03 
 22.40        4.05394e+00        -1.09190e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.67016e-03 
 23.10        4.05197e+00        -1.13456e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.71984e-03 
 23.80        4.04999e+00        -1.17752e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.76917e-03 
 24.50        4.04800e+00        -1.22077e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.81815e-03 
 25.20        4.04599e+00        -1.26431e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.86678e-03 
 25.90        4.04397e+00        -1.30812e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.91506e-03 
 26.60        4.04194e+00        -1.35221e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.96299e-03 
 27.30        4.03990e+00        -1.39655e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.01058e-03 
 28.00        4.03784e+00        -1.44114e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.05783e-03 
 28.70        4.03577e+00        -1.48598e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.10474e-03 
 29.40        4.03368e+00        -1.53105e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.15131e-03 
 30.10        4.03158e+00        -1.57635e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.19755e-03 
 30.80        4.02946e+00        -1.62186e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.24346e-03 
 31.50        4.02732e+00        -1.66759e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.28903e-03 
 32.20        4.02517e+00        -1.71352e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.33427e-03 
 32.90        4.02300e+00        -1.75964e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.37918e-03 
 33.60        4.02081e+00        -1.80595e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.42376e-03 
 34.30        4.01861e+00        -1.85244e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.46802e-03 
 35.00        4.01639e+00        -1.89909e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.51195e-03 
 35.70        4.01415e+00        -1.94591e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.55556e-03 
 36.40        4.01188e+00        -1.99288e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.59885e-03 
 37.10        4.00960e+00        -2.04001e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.64181e-03 
 37.80        4.00730e+00        -2.08727e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.68445e-03 
 38.50        4.00498e+00        -2.13466e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.72677e-03 
 39.20        4.00264e+00        -2.18217e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.76877e-03 
 39.90        4.00028e+00        -2.22981e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.81045e-03 
 40.60        3.99790e+00        -2.27755e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.85182e-03 
 41.30        3.99550e+00        -2.32539e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.89287e-03 
 42.00        3.99307e+00        -2.37333e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.93360e-03 
 42.70        3.99062e+00        -2.42136e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.97401e-03 
 43.40        3.98815e+00        -2.46946e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.01411e-03 
 44.10        3.98565e+00        -2.51764e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.05390e-03 
 44.80        3.98314e+00        -2.56588e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.09337e-03 
 45.50        3.98060e+00        -2.61418e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.13252e-03 
 46.20        3.97803e+00        -2.66254e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.17137e-03 
 46.90        3.97544e+00        -2.71094e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.20990e-03 
 47.60        3.97283e+00        -2.75937e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.24811e-03 
 48.30        3.97019e+00        -2.80784e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.28602e-03 
 49.00        3.96753e+00        -2.85633e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.32361e-03 
 49.70        3.96484e+00        -2.90484e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.36089e-03 
 50.40        3.96212e+00        -2.95336e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.39785e-03 
 51.10        3.95938e+00        -3.00188e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.43451e-03 
 51.80        3.95662e+00        -3.05040e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.47086e-03 
 52.50        3.95382e+00        -3.09892e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.50689e-03 
 53.20        3.95100e+00        -3.14741e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.54261e-03 
 53.90        3.94816e+00        -3.19589e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.57802e-03 
 54.60        3.94529e+00        -3.24434e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.61313e-03 
 55.30        3.94239e+00        -3.29275e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.64792e-03 
 56.00        3.93946e+00        -3.34113e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.68240e-03 
 56.70        3.93650e+00        -3.38945e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.71657e-03 
 57.40        3.93352e+00        -3.43773e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.75043e-03 
 58.10        3.93051e+00        -3.48595e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.78398e-03 
 58.80        3.92747e+00        -3.53410e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.81722e-03 
 59.50        3.92441e+00        -3.58218e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.85015e-03 
 60.20        3.92131e+00        -3.63019e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.88277e-03 
 60.90        3.91819e+00        -3.67811e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.91509e-03 
 61.60        3.91504e+00        -3.72595e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.94709e-03 
 62.30        3.91186e+00        -3.77370e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.97878e-03 
 63.00        3.90865e+00        -3.82135e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.01017e-03 
 63.70        3.90541e+00        -3.86889e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.04125e-03 
 64.40        3.90214e+00        -3.91633e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.07201e-03 
 65.10        3.89884e+00        -3.96365e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.10247e-03 
 65.80        3.89552e+00        -4.01085e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.13263e-03 
 66.50        3.89216e+00        -4.05793e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.16247e-03 
 67.20        3.88878e+00        -4.10488e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.19200e-03 
 67.90        3.88536e+00        -4.15170e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.22123e-03 
 68.60        3.88192e+00        -4.19837e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.25015e-03 
 69.30        3.87845e+00        -4.24491e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.27877e-03 
