#Navio B MarAd
#Manobra de Curva Giro
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        1.24531e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.47269e-06 
 0.70        -3.36680e-10        1.28035e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.44271e-06 
 1.40        -2.63165e-03        -4.13463e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.91085e-05 
 2.10        -2.62823e-03        -4.21978e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.83799e-05 
 2.80        -2.62539e-03        -4.30338e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.76626e-05 
 3.50        -2.62315e-03        -4.38544e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.69563e-05 
 4.20        -2.62150e-03        -4.46597e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.62606e-05 
 4.90        -2.62046e-03        -4.54499e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.55753e-05 
 5.60        -2.62004e-03        -4.62251e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.48998e-05 
 6.30        -2.62023e-03        -4.69854e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.42340e-05 
 7.00        -2.62105e-03        -4.77311e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.35775e-05 
 7.70        -2.62250e-03        -4.84621e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.29300e-05 
 8.40        -2.62458e-03        -4.91786e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.22911e-05 
 9.10        -2.62731e-03        -4.98807e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.16607e-05 
 9.80        -2.63068e-03        -5.05686e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.10383e-05 
 10.50        -2.63470e-03        -5.12424e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.04237e-05 
 11.20        -2.63937e-03        -5.19021e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.98166e-05 
 11.90        -2.64470e-03        -5.25479e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.92168e-05 
 12.60        -2.65068e-03        -5.31798e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.86240e-05 
 13.30        -2.65732e-03        -5.37981e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.80379e-05 
 14.00        -2.66463e-03        -5.44027e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.74583e-05 
 14.70        -2.67259e-03        -5.49938e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.68849e-05 
 15.40        -2.68122e-03        -5.55715e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.63175e-05 
 16.10        -2.69051e-03        -5.61358e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.57559e-05 
 16.80        -2.70046e-03        -5.66868e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.51998e-05 
 17.50        -2.71108e-03        -5.72247e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.46490e-05 
 18.20        -2.72236e-03        -5.77496e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.41033e-05 
 18.90        -2.73430e-03        -5.82614e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.35626e-05 
 19.60        -2.74690e-03        -5.87603e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.30265e-05 
 20.30        -2.76016e-03        -5.92464e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.24949e-05 
 21.00        -2.77407e-03        -5.97198e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.19676e-05 
 21.70        -2.78864e-03        -6.01805e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.14444e-05 
 22.40        -2.80387e-03        -6.06286e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.09252e-05 
 23.10        -2.81974e-03        -6.10642e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.04097e-05 
 23.80        -2.83625e-03        -6.14873e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.98979e-05 
 24.50        -2.85341e-03        -6.18982e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.93894e-05 
 25.20        -2.87121e-03        -6.22967e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.88842e-05 
 25.90        -2.88964e-03        -6.26831e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.83822e-05 
 26.60        -2.90870e-03        -6.30573e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.78831e-05 
 27.30        -2.92839e-03        -6.34195e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.73868e-05 
 28.00        -2.94869e-03        -6.37697e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.68933e-05 
 28.70        -2.96962e-03        -6.41080e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.64022e-05 
 29.40        -2.99115e-03        -6.44344e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.59136e-05 
 30.10        -3.01328e-03        -6.47491e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.54273e-05 
 30.80        -3.03602e-03        -6.50522e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.49431e-05 
 31.50        -3.05935e-03        -6.53436e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.44610e-05 
 32.20        -3.08326e-03        -6.56234e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.39809e-05 
 32.90        -3.10775e-03        -6.58919e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.35026e-05 
 33.60        -3.13282e-03        -6.61489e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.30260e-05 
 34.30        -3.15844e-03        -6.63946e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.25510e-05 
 35.00        -3.18463e-03        -6.66291e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.20776e-05 
 35.70        -3.21137e-03        -6.68524e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.16056e-05 
 36.40        -3.23865e-03        -6.70646e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.11350e-05 
 37.10        -3.26646e-03        -6.72658e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.06656e-05 
 37.80        -3.29480e-03        -6.74561e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.01974e-05 
 38.50        -3.32366e-03        -6.76355e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.97304e-05 
 39.20        -3.35303e-03        -6.78041e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.92644e-05 
 39.90        -3.38290e-03        -6.79620e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.87993e-05 
 40.60        -3.41326e-03        -6.81093e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.83352e-05 
 41.30        -3.44410e-03        -6.82460e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.78719e-05 
 42.00        -3.47541e-03        -6.83722e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.74094e-05 
 42.70        -3.50719e-03        -6.84881e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.69476e-05 
 43.40        -3.53943e-03        -6.85936e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.64866e-05 
 44.10        -3.57211e-03        -6.86889e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.60261e-05 
 44.80        -3.60522e-03        -6.87741e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.55662e-05 
 45.50        -3.63876e-03        -6.88491e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.51069e-05 
