#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        4.11000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.49138e-05        0.00000e+00 
 1.40        4.11000e+00        1.65332e-04        0.00000e+00 
 2.10        4.10816e+00        -2.68321e-03        0.00000e+00 
 2.80        4.10632e+00        -5.41306e-03        0.00000e+00 
 3.50        4.10448e+00        -8.02481e-03        0.00000e+00 
 4.20        4.10265e+00        -1.05190e-02        0.00000e+00 
 4.90        4.10082e+00        -1.28963e-02        0.00000e+00 
 5.60        4.09899e+00        -1.51572e-02        0.00000e+00 
 6.30        4.09716e+00        -1.73022e-02        0.00000e+00 
 7.00        4.09534e+00        -1.93319e-02        0.00000e+00 
 7.70        4.09352e+00        -2.12468e-02        0.00000e+00 
 8.40        4.09170e+00        -2.30473e-02        0.00000e+00 
 9.10        4.08988e+00        -2.47341e-02        0.00000e+00 
 9.80        4.08806e+00        -2.63075e-02        0.00000e+00 
 10.50        4.08624e+00        -2.77681e-02        0.00000e+00 
 11.20        4.08442e+00        -2.91162e-02        0.00000e+00 
 11.90        4.08261e+00        -3.03524e-02        0.00000e+00 
 12.60        4.08079e+00        -3.14772e-02        0.00000e+00 
 13.30        4.07898e+00        -3.24909e-02        0.00000e+00 
 14.00        4.07716e+00        -3.33939e-02        0.00000e+00 
 14.70        4.07535e+00        -3.41868e-02        0.00000e+00 
 15.40        4.07353e+00        -3.48699e-02        0.00000e+00 
 16.10        4.07171e+00        -3.54436e-02        0.00000e+00 
 16.80        4.06989e+00        -3.59083e-02        0.00000e+00 
 17.50        4.06807e+00        -3.62645e-02        0.00000e+00 
 18.20        4.06625e+00        -3.65125e-02        0.00000e+00 
 18.90        4.06443e+00        -3.66528e-02        0.00000e+00 
 19.60        4.06260e+00        -3.66856e-02        0.00000e+00 
 20.30        4.06077e+00        -3.66115e-02        0.00000e+00 
 21.00        4.05894e+00        -3.64308e-02        0.00000e+00 
 21.70        4.05710e+00        -3.61438e-02        0.00000e+00 
 22.40        4.05526e+00        -3.57510e-02        0.00000e+00 
 23.10        4.05341e+00        -3.52528e-02        0.00000e+00 
 23.80        4.05156e+00        -3.46494e-02        0.00000e+00 
 24.50        4.04970e+00        -3.39413e-02        0.00000e+00 
 25.20        4.04784e+00        -3.31289e-02        0.00000e+00 
 25.90        4.04597e+00        -3.22126e-02        0.00000e+00 
 26.60        4.04410e+00        -3.11926e-02        0.00000e+00 
 27.30        4.04221e+00        -3.00695e-02        0.00000e+00 
 28.00        4.04032e+00        -2.88435e-02        0.00000e+00 
 28.70        4.03842e+00        -2.75151e-02        0.00000e+00 
 29.40        4.03652e+00        -2.60846e-02        0.00000e+00 
 30.10        4.03460e+00        -2.45525e-02        0.00000e+00 
 30.80        4.03267e+00        -2.29191e-02        0.00000e+00 
 31.50        4.03074e+00        -2.11848e-02        0.00000e+00 
 32.20        4.02879e+00        -1.93501e-02        0.00000e+00 
 32.90        4.02683e+00        -1.74152e-02        0.00000e+00 
 33.60        4.02486e+00        -1.53807e-02        0.00000e+00 
 34.30        4.02288e+00        -1.32469e-02        0.00000e+00 
 35.00        4.02089e+00        -1.10142e-02        0.00000e+00 
 35.70        4.01888e+00        -8.68314e-03        0.00000e+00 
 36.40        4.01686e+00        -6.25403e-03        0.00000e+00 
 37.10        4.01482e+00        -3.72733e-03        0.00000e+00 
 37.80        4.01277e+00        -1.10349e-03        0.00000e+00 
 38.50        4.01071e+00        1.61707e-03        0.00000e+00 
 39.20        4.00863e+00        4.43388e-03        0.00000e+00 
 39.90        4.00653e+00        7.34650e-03        0.00000e+00 
 40.60        4.00442e+00        1.03545e-02        0.00000e+00 
 41.30        4.00229e+00        1.34573e-02        0.00000e+00 
 42.00        4.00014e+00        1.66545e-02        0.00000e+00 
 42.70        3.99797e+00        1.99457e-02        0.00000e+00 
 43.40        3.99578e+00        2.33303e-02        0.00000e+00 
 44.10        3.99358e+00        2.68078e-02        0.00000e+00 
 44.80        3.99135e+00        3.03777e-02        0.00000e+00 
 45.50        3.98910e+00        3.40396e-02        0.00000e+00 
 46.20        3.98683e+00        3.77928e-02        0.00000e+00 
 46.90        3.98454e+00        4.16369e-02        0.00000e+00 
 47.60        3.98223e+00        4.55713e-02        0.00000e+00 
