#Navio B MarAd
#Manobra de Curva Giro
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        2.87700e+00        6.05489e-05        0.00000e+00        0.00000e+00        0.00000e+00        -6.53242e-07 
 1.40        5.75400e+00        1.81048e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.60627e-06 
 2.10        8.62971e+00        -1.75314e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.67565e-05 
 2.80        1.15041e+01        -5.72249e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.98043e-05 
 3.50        1.43773e+01        -1.16425e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.86182e-04 
 4.20        1.72491e+01        -1.94292e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.35539e-04 
 4.90        2.01197e+01        -2.89989e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.27533e-04 
 5.60        2.29890e+01        -4.02684e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.61825e-04 
 6.30        2.58570e+01        -5.31548e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.03808e-03 
 7.00        2.87237e+01        -6.75759e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.35598e-03 
 7.70        3.15892e+01        -8.34494e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.71519e-03 
 8.40        3.44534e+01        -1.00694e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.11539e-03 
 9.10        3.73163e+01        -1.19227e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.55628e-03 
 9.80        4.01779e+01        -1.38970e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.03755e-03 
 10.50        4.30383e+01        -1.59840e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.55889e-03 
 11.20        4.58974e+01        -1.81757e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.12000e-03 
 11.90        4.87552e+01        -2.04643e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.72058e-03 
 12.60        5.16117e+01        -2.28416e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.36035e-03 
 13.30        5.44670e+01        -2.52998e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.03902e-03 
 14.00        5.73209e+01        -2.78309e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.75630e-03 
 14.70        6.01737e+01        -3.04271e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.51191e-03 
 15.40        6.30251e+01        -3.30806e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.30558e-03 
 16.10        6.58752e+01        -3.57834e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.13703e-03 
