#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.64984e-05        0.00000e+00        0.00000e+00        0.00000e+00        -1.86400e-06 
 1.40        4.11000e+00        1.74827e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.71374e-06 
 2.10        4.10816e+00        -2.75242e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.89500e-05 
 2.80        4.10632e+00        -5.73931e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.21102e-04 
 3.50        4.10448e+00        -8.78475e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.82750e-04 
 4.20        4.10265e+00        -1.18877e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.43904e-04 
 4.90        4.10082e+00        -1.50470e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.04570e-04 
 5.60        4.09898e+00        -1.82616e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.64757e-04 
 6.30        4.09715e+00        -2.15306e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.24472e-04 
 7.00        4.09531e+00        -2.48527e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.83722e-04 
 7.70        4.09348e+00        -2.82271e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.42515e-04 
 8.40        4.09164e+00        -3.16527e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.00858e-04 
 9.10        4.08980e+00        -3.51284e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.58757e-04 
 9.80        4.08796e+00        -3.86533e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.16218e-04 
 10.50        4.08611e+00        -4.22264e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.73248e-04 
 11.20        4.08426e+00        -4.58467e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.29853e-04 
 11.90        4.08241e+00        -4.95131e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.86038e-04 
 12.60        4.08055e+00        -5.32248e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.41809e-04 
 13.30        4.07868e+00        -5.69807e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.97172e-04 
 14.00        4.07681e+00        -6.07800e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.05213e-03 
 14.70        4.07494e+00        -6.46216e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.10669e-03 
 15.40        4.07305e+00        -6.85046e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.16086e-03 
 16.10        4.07116e+00        -7.24280e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.21464e-03 
 16.80        4.06926e+00        -7.63910e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.26804e-03 
 17.50        4.06735e+00        -8.03926e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.32106e-03 
 18.20        4.06543e+00        -8.44319e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.37370e-03 
 18.90        4.06350e+00        -8.85080e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.42597e-03 
 19.60        4.06155e+00        -9.26200e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.47787e-03 
 20.30        4.05960e+00        -9.67669e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.52941e-03 
 21.00        4.05764e+00        -1.00948e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.58059e-03 
 21.70        4.05566e+00        -1.05162e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.63141e-03 
 22.40        4.05367e+00        -1.09409e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.68188e-03 
 23.10        4.05167e+00        -1.13687e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.73200e-03 
 23.80        4.04965e+00        -1.17995e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.78178e-03 
 24.50        4.04762e+00        -1.22333e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.83120e-03 
 25.20        4.04557e+00        -1.26701e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.88029e-03 
 25.90        4.04351e+00        -1.31096e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.92904e-03 
 26.60        4.04143e+00        -1.35518e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.97745e-03 
 27.30        4.03934e+00        -1.39966e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.02553e-03 
 28.00        4.03722e+00        -1.44440e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.07328e-03 
 28.70        4.03509e+00        -1.48939e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.12070e-03 
 29.40        4.03294e+00        -1.53461e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.16780e-03 
 30.10        4.03078e+00        -1.58006e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.21456e-03 
 30.80        4.02859e+00        -1.62574e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.26101e-03 
 31.50        4.02638e+00        -1.67163e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.30713e-03 
 32.20        4.02415e+00        -1.71772e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.35294e-03 
 32.90        4.02190e+00        -1.76401e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.39843e-03 
 33.60        4.01963e+00        -1.81049e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.44360e-03 
 34.30        4.01734e+00        -1.85715e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.48845e-03 
 35.00        4.01503e+00        -1.90399e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.53300e-03 
 35.70        4.01269e+00        -1.95099e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.57723e-03 
 36.40        4.01033e+00        -1.99814e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.62115e-03 
 37.10        4.00794e+00        -2.04545e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.66476e-03 
 37.80        4.00553e+00        -2.09290e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.70807e-03 
 38.50        4.00310e+00        -2.14048e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.75106e-03 
 39.20        4.00064e+00        -2.18819e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.79375e-03 
 39.90        3.99815e+00        -2.23602e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.83614e-03 
 40.60        3.99564e+00        -2.28397e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.87821e-03 
 41.30        3.99310e+00        -2.33201e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.91999e-03 
 42.00        3.99053e+00        -2.38016e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.96146e-03 
 42.70        3.98794e+00        -2.42839e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.00263e-03 
 43.40        3.98532e+00        -2.47671e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.04350e-03 
 44.10        3.98267e+00        -2.52510e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.08407e-03 
 44.80        3.97999e+00        -2.57356e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.12433e-03 
 45.50        3.97728e+00        -2.62208e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.16430e-03 
 46.20        3.97455e+00        -2.67065e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.20396e-03 
 46.90        3.97178e+00        -2.71927e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.24333e-03 
 47.60        3.96898e+00        -2.76793e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.28239e-03 
 48.30        3.96616e+00        -2.81663e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.32116e-03 
