#Navio B MarAd
#Manobra de Curva Giro
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        1.22252e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.67321e-06 
 0.70        -3.29877e-10        1.24881e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.65259e-06 
 1.40        -2.63165e-03        -4.13865e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.98895e-05 
 2.10        -2.62761e-03        -4.22464e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.91519e-05 
 2.80        -2.62434e-03        -4.30907e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.84267e-05 
 3.50        -2.62184e-03        -4.39194e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.77136e-05 
 4.20        -2.62014e-03        -4.47327e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.70120e-05 
 4.90        -2.61923e-03        -4.55308e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.63218e-05 
 5.60        -2.61914e-03        -4.63138e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.56425e-05 
 6.30        -2.61986e-03        -4.70818e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.49737e-05 
 7.00        -2.62140e-03        -4.78351e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.43153e-05 
 7.70        -2.62378e-03        -4.85736e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.36668e-05 
 8.40        -2.62700e-03        -4.92975e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.30280e-05 
 9.10        -2.63106e-03        -5.00071e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.23985e-05 
 9.80        -2.63598e-03        -5.07023e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.17780e-05 
 10.50        -2.64175e-03        -5.13833e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.11662e-05 
 11.20        -2.64838e-03        -5.20502e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.05629e-05 
 11.90        -2.65588e-03        -5.27032e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.99677e-05 
 12.60        -2.66424e-03        -5.33423e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.93804e-05 
 13.30        -2.67348e-03        -5.39676e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.88008e-05 
 14.00        -2.68358e-03        -5.45793e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.82285e-05 
 14.70        -2.69457e-03        -5.51775e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.76632e-05 
 15.40        -2.70643e-03        -5.57622e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.71049e-05 
 16.10        -2.71917e-03        -5.63335e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.65531e-05 
 16.80        -2.73278e-03        -5.68916e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.60077e-05 
 17.50        -2.74728e-03        -5.74365e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.54683e-05 
 18.20        -2.76265e-03        -5.79683e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.49349e-05 
 18.90        -2.77890e-03        -5.84871e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.44072e-05 
 19.60        -2.79602e-03        -5.89930e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.38849e-05 
 20.30        -2.81402e-03        -5.94860e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.33678e-05 
 21.00        -2.83289e-03        -5.99664e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.28558e-05 
 21.70        -2.85263e-03        -6.04340e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.23486e-05 
 22.40        -2.87323e-03        -6.08891e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.18461e-05 
 23.10        -2.89470e-03        -6.13316e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.13480e-05 
 23.80        -2.91703e-03        -6.17617e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.08541e-05 
 24.50        -2.94022e-03        -6.21795e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.03643e-05 
 25.20        -2.96425e-03        -6.25850e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.98784e-05 
 25.90        -2.98913e-03        -6.29782e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.93963e-05 
 26.60        -3.01485e-03        -6.33594e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.89177e-05 
 27.30        -3.04141e-03        -6.37284e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.84424e-05 
 28.00        -3.06880e-03        -6.40855e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.79705e-05 
 28.70        -3.09701e-03        -6.44306e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.75016e-05 
 29.40        -3.12603e-03        -6.47639e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.70356e-05 
 30.10        -3.15587e-03        -6.50854e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.65724e-05 
 30.80        -3.18651e-03        -6.53952e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.61119e-05 
 31.50        -3.21795e-03        -6.56934e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.56538e-05 
 32.20        -3.25017e-03        -6.59800e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.51982e-05 
 32.90        -3.28317e-03        -6.62550e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.47448e-05 
 33.60        -3.31694e-03        -6.65186e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.42935e-05 
 34.30        -3.35148e-03        -6.67709e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.38442e-05 
 35.00        -3.38677e-03        -6.70119e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.33968e-05 
 35.70        -3.42280e-03        -6.72416e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.29512e-05 
 36.40        -3.45956e-03        -6.74601e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.25073e-05 
 37.10        -3.49706e-03        -6.76676e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.20649e-05 
 37.80        -3.53526e-03        -6.78640e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.16239e-05 
 38.50        -3.57417e-03        -6.80495e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.11844e-05 
 39.20        -3.61377e-03        -6.82241e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.07461e-05 
 39.90        -3.65406e-03        -6.83879e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.03090e-05 
 40.60        -3.69501e-03        -6.85409e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.98730e-05 
 41.30        -3.73663e-03        -6.86833e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.94380e-05 
 42.00        -3.77889e-03        -6.88151e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.90039e-05 
