#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        4.11000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.38136e-05        0.00000e+00 
 1.40        4.11000e+00        1.64115e-04        0.00000e+00 
 2.10        4.10816e+00        -2.68358e-03        0.00000e+00 
 2.80        4.10632e+00        -5.41160e-03        0.00000e+00 
 3.50        4.10449e+00        -8.02057e-03        0.00000e+00 
 4.20        4.10265e+00        -1.05111e-02        0.00000e+00 
 4.90        4.10082e+00        -1.28837e-02        0.00000e+00 
 5.60        4.09900e+00        -1.51389e-02        0.00000e+00 
 6.30        4.09717e+00        -1.72774e-02        0.00000e+00 
 7.00        4.09535e+00        -1.92996e-02        0.00000e+00 
 7.70        4.09352e+00        -2.12060e-02        0.00000e+00 
 8.40        4.09170e+00        -2.29972e-02        0.00000e+00 
 9.10        4.08988e+00        -2.46736e-02        0.00000e+00 
 9.80        4.08806e+00        -2.62358e-02        0.00000e+00 
 10.50        4.08624e+00        -2.76842e-02        0.00000e+00 
 11.20        4.08441e+00        -2.90192e-02        0.00000e+00 
 11.90        4.08259e+00        -3.02413e-02        0.00000e+00 
 12.60        4.08077e+00        -3.13510e-02        0.00000e+00 
 13.30        4.07894e+00        -3.23486e-02        0.00000e+00 
 14.00        4.07712e+00        -3.32347e-02        0.00000e+00 
 14.70        4.07529e+00        -3.40096e-02        0.00000e+00 
 15.40        4.07345e+00        -3.46737e-02        0.00000e+00 
 16.10        4.07162e+00        -3.52274e-02        0.00000e+00 
 16.80        4.06978e+00        -3.56712e-02        0.00000e+00 
 17.50        4.06794e+00        -3.60053e-02        0.00000e+00 
 18.20        4.06609e+00        -3.62303e-02        0.00000e+00 
 18.90        4.06423e+00        -3.63465e-02        0.00000e+00 
 19.60        4.06237e+00        -3.63543e-02        0.00000e+00 
 20.30        4.06051e+00        -3.62540e-02        0.00000e+00 
 21.00        4.05864e+00        -3.60460e-02        0.00000e+00 
 21.70        4.05676e+00        -3.57307e-02        0.00000e+00 
 22.40        4.05487e+00        -3.53085e-02        0.00000e+00 
 23.10        4.05297e+00        -3.47797e-02        0.00000e+00 
 23.80        4.05107e+00        -3.41448e-02        0.00000e+00 
 24.50        4.04916e+00        -3.34039e-02        0.00000e+00 
 25.20        4.04723e+00        -3.25577e-02        0.00000e+00 
 25.90        4.04530e+00        -3.16063e-02        0.00000e+00 
 26.60        4.04335e+00        -3.05502e-02        0.00000e+00 
 27.30        4.04139e+00        -2.93897e-02        0.00000e+00 
 28.00        4.03942e+00        -2.81253e-02        0.00000e+00 
 28.70        4.03744e+00        -2.67572e-02        0.00000e+00 
 29.40        4.03544e+00        -2.52859e-02        0.00000e+00 
 30.10        4.03343e+00        -2.37118e-02        0.00000e+00 
 30.80        4.03140e+00        -2.20352e-02        0.00000e+00 
 31.50        4.02936e+00        -2.02565e-02        0.00000e+00 
 32.20        4.02730e+00        -1.83761e-02        0.00000e+00 
 32.90        4.02522e+00        -1.63945e-02        0.00000e+00 
 33.60        4.02313e+00        -1.43119e-02        0.00000e+00 
 34.30        4.02102e+00        -1.21289e-02        0.00000e+00 
 35.00        4.01889e+00        -9.84579e-03        0.00000e+00 
 35.70        4.01674e+00        -7.46306e-03        0.00000e+00 
 36.40        4.01457e+00        -4.98110e-03        0.00000e+00 
 37.10        4.01238e+00        -2.40035e-03        0.00000e+00 
 37.80        4.01016e+00        2.78743e-04        0.00000e+00 
 38.50        4.00793e+00        3.05574e-03        0.00000e+00 
 39.20        4.00567e+00        5.93018e-03        0.00000e+00 
 39.90        4.00339e+00        8.90161e-03        0.00000e+00 
