#Navio B MarAd
#Manobra de Curva Giro
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        1.45184e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.67486e-06 
 0.70        -2.99351e-10        1.47755e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.65636e-06 
 1.40        -2.63165e-03        -4.11583e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.98836e-05 
 2.10        -2.62823e-03        -4.20187e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.91440e-05 
 2.80        -2.62540e-03        -4.28630e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.84169e-05 
 3.50        -2.62317e-03        -4.36914e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.77017e-05 
 4.20        -2.62154e-03        -4.45039e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.69983e-05 
 4.90        -2.62051e-03        -4.53009e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.63061e-05 
 5.60        -2.62011e-03        -4.60823e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.56249e-05 
 6.30        -2.62032e-03        -4.68483e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.49544e-05 
 7.00        -2.62117e-03        -4.75991e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.42942e-05 
 7.70        -2.62265e-03        -4.83348e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.36440e-05 
 8.40        -2.62477e-03        -4.90556e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.30034e-05 
 9.10        -2.62754e-03        -4.97615e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.23722e-05 
 9.80        -2.63096e-03        -5.04526e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.17501e-05 
 10.50        -2.63503e-03        -5.11292e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.11367e-05 
 11.20        -2.63976e-03        -5.17913e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.05318e-05 
 11.90        -2.64515e-03        -5.24390e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.99350e-05 
 12.60        -2.65120e-03        -5.30725e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.93462e-05 
 13.30        -2.65791e-03        -5.36918e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.87651e-05 
 14.00        -2.66530e-03        -5.42970e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.81913e-05 
 14.70        -2.67335e-03        -5.48883e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.76247e-05 
 15.40        -2.68206e-03        -5.54658e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.70649e-05 
 16.10        -2.69145e-03        -5.60296e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.65118e-05 
 16.80        -2.70151e-03        -5.65797e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.59650e-05 
 17.50        -2.71224e-03        -5.71162e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.54244e-05 
 18.20        -2.72364e-03        -5.76394e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.48898e-05 
 18.90        -2.73571e-03        -5.81491e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.43608e-05 
 19.60        -2.74844e-03        -5.86456e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.38374e-05 
 20.30        -2.76184e-03        -5.91290e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.33192e-05 
 21.00        -2.77591e-03        -5.95992e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.28061e-05 
 21.70        -2.79064e-03        -6.00565e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.22979e-05 
 22.40        -2.80603e-03        -6.05008e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.17944e-05 
 23.10        -2.82207e-03        -6.09324e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.12953e-05 
 23.80        -2.83878e-03        -6.13512e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.08006e-05 
 24.50        -2.85613e-03        -6.17573e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.03100e-05 
 25.20        -2.87413e-03        -6.21509e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.98234e-05 
 25.90        -2.89278e-03        -6.25320e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.93405e-05 
 26.60        -2.91206e-03        -6.29007e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.88613e-05 
 27.30        -2.93198e-03        -6.32570e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.83855e-05 
 28.00        -2.95254e-03        -6.36012e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.79130e-05 
 28.70        -2.97372e-03        -6.39331e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.74437e-05 
