#Navio B MarAd
#Manobra de Curva Giro
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        2.87700e+00        7.73821e-05        0.00000e+00        0.00000e+00        0.00000e+00        -6.54110e-07 
 1.40        5.75400e+00        2.31504e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.61078e-06 
 2.10        8.62971e+00        -1.65232e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.67441e-05 
 2.80        1.15041e+01        -5.55459e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.97781e-05 
 3.50        1.43773e+01        -1.13908e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.86134e-04 
 4.20        1.72491e+01        -1.90770e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.35462e-04 
 4.90        2.01197e+01        -2.85294e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.27416e-04 
 5.60        2.29890e+01        -3.96648e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.61657e-04 
 6.30        2.58570e+01        -5.24002e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.03785e-03 
 7.00        2.87237e+01        -6.66531e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.35567e-03 
 7.70        3.15892e+01        -8.23413e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.71478e-03 
 8.40        3.44534e+01        -9.93829e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.11488e-03 
 9.10        3.73163e+01        -1.17696e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.55564e-03 
 9.80        4.01779e+01        -1.37201e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.03676e-03 
 10.50        4.30383e+01        -1.57814e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.55793e-03 
 11.20        4.58974e+01        -1.79458e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.11885e-03 
 11.90        4.87552e+01        -2.02050e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.71922e-03 
 12.60        5.16117e+01        -2.25510e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.35876e-03 
 13.30        5.44670e+01        -2.49760e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.03716e-03 
 14.00        5.73210e+01        -2.74720e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.75415e-03 
 14.70        6.01737e+01        -3.00311e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.50945e-03 
 15.40        6.30251e+01        -3.26453e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.30277e-03 
 16.10        6.58753e+01        -3.53068e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.13384e-03 
 16.80        6.87242e+01        -3.80077e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.00024e-02 
 17.50        7.15718e+01        -4.07404e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.09082e-02 
 18.20        7.44182e+01        -4.34968e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.18509e-02 
 18.90        7.72633e+01        -4.62694e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.28303e-02 
 19.60        8.01071e+01        -4.90504e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.38461e-02 
 20.30        8.29496e+01        -5.18320e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.48981e-02 
 21.00        8.57908e+01        -5.46065e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.59860e-02 
 21.70        8.86307e+01        -5.73663e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.71096e-02 
 22.40        9.14694e+01        -6.01038e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.82685e-02 
 23.10        9.43067e+01        -6.28113e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.94627e-02 
 23.80        9.71428e+01        -6.54812e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.06917e-02 
 24.50        9.99775e+01        -6.81059e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.19555e-02 
 25.20        1.02811e+02        -7.06779e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.32536e-02 
 25.90        1.05643e+02        -7.31896e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.45860e-02 
 26.60        1.08474e+02        -7.56336e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.59523e-02 
 27.30        1.11303e+02        -7.80023e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.73524e-02 
 28.00        1.14132e+02        -8.02883e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.87859e-02 
 28.70        1.16958e+02        -8.24841e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.02528e-02 
 29.40        1.19784e+02        -8.45824e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.17526e-02 
 30.10        1.22608e+02        -8.65757e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.32852e-02 
 30.80        1.25431e+02        -8.84566e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.48504e-02 
 31.50        1.28252e+02        -9.02178e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.64480e-02 
 32.20        1.31072e+02        -9.18520e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.80776e-02 
 32.90        1.33891e+02        -9.33518e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.97392e-02 
 33.60        1.36708e+02        -9.47100e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.14324e-02 
 34.30        1.39524e+02        -9.59194e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.31571e-02 
 35.00        1.42339e+02        -9.69726e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.49131e-02 
 35.70        1.45152e+02        -9.78625e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.67000e-02 
 36.40        1.47964e+02        -9.85819e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.85177e-02 
 37.10        1.50774e+02        -9.91237e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.03660e-02 
 37.80        1.53583e+02        -9.94807e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.22447e-02 
 38.50        1.56390e+02        -9.96458e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.41535e-02 
 39.20        1.59196e+02        -9.96120e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.60922e-02 
 39.90        1.62001e+02        -9.93721e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.80607e-02 
 40.60        1.64804e+02        -9.89192e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.00586e-02 
 41.30        1.67605e+02        -9.82463e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.20858e-02 
 42.00        1.70405e+02        -9.73464e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.41421e-02 
 42.70        1.73204e+02        -9.62126e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.62273e-02 
 43.40        1.76001e+02        -9.48380e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.83411e-02 
 44.10        1.78796e+02        -9.32156e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.04833e-02 
 44.80        1.81590e+02        -9.13388e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.26538e-02 
 45.50        1.84382e+02        -8.92005e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.48522e-02 
 46.20        1.87173e+02        -8.67942e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.70785e-02 
 46.90        1.89962e+02        -8.41129e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.93324e-02 
 47.60        1.92749e+02        -8.11501e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.16136e-02 
 48.30        1.95535e+02        -7.78990e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.39220e-02 
 49.00        1.98319e+02        -7.43530e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.62574e-02 
 49.70        2.01101e+02        -7.05055e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.86195e-02 
 50.40        2.03882e+02        -6.63500e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.10082e-02 
 51.10        2.06661e+02        -6.18798e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.34232e-02 
 51.80        2.09438e+02        -5.70884e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.58644e-02 
 52.50        2.12214e+02        -5.19696e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.83315e-02 
 53.20        2.14988e+02        -4.65167e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.00824e-01 
 53.90        2.17760e+02        -4.07235e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.03343e-01 
 54.60        2.20530e+02        -3.45835e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.05886e-01 
 55.30        2.23298e+02        -2.80906e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.08455e-01 
 56.00        2.26064e+02        -2.12385e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.11048e-01 
 56.70        2.28829e+02        -1.40208e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.13667e-01 
 57.40        2.31592e+02        -6.43159e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.16309e-01 
 58.10        2.34352e+02        1.53540e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.18976e-01 
 58.80        2.37111e+02        9.88622e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.21667e-01 
 59.50        2.39868e+02        1.86269e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.24382e-01 
 60.20        2.42623e+02        2.77634e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.27121e-01 
 60.90        2.45376e+02        3.73017e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.29883e-01 
 61.60        2.48127e+02        4.72476e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.32668e-01 
 62.30        2.50875e+02        5.76070e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.35476e-01 
 63.00        2.53622e+02        6.83858e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.38307e-01 
 63.70        2.56366e+02        7.95895e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.41161e-01 
 64.40        2.59109e+02        9.12240e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.44037e-01 
 65.10        2.61849e+02        1.03295e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.46935e-01 
 65.80        2.64587e+02        1.15808e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.49855e-01 
 66.50        2.67323e+02        1.28768e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.52797e-01 
 67.20        2.70056e+02        1.42181e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.55761e-01 
 67.90        2.72788e+02        1.56052e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.58746e-01 
 68.60        2.75517e+02        1.70388e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.61752e-01 
 69.30        2.78243e+02        1.85192e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.64779e-01 
 70.00        2.80968e+02        2.00471e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.67827e-01 
 70.70        2.83690e+02        2.16229e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.70895e-01 
 71.40        2.86409e+02        2.32471e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.73984e-01 
 72.10        2.89126e+02        2.49203e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.77092e-01 
 72.80        2.91840e+02        2.66430e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.80221e-01 
 73.50        2.94552e+02        2.84157e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.83370e-01 
 74.20        2.97262e+02        3.02388e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.86538e-01 
 74.90        2.99969e+02        3.21129e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.89725e-01 
 75.60        3.02673e+02        3.40384e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.92932e-01 
 76.30        3.05375e+02        3.60157e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.96157e-01 
 77.00        3.08074e+02        3.80454e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.99401e-01 
 77.70        3.10770e+02        4.01279e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.02664e-01 
 78.40        3.13463e+02        4.22637e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.05945e-01 
 79.10        3.16154e+02        4.44532e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.09244e-01 
 79.80        3.18842e+02        4.66968e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.12560e-01 
 80.50        3.21527e+02        4.89950e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.15895e-01 
 81.20        3.24209e+02        5.13482e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.19247e-01 
 81.90        3.26889e+02        5.37568e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.22617e-01 
 82.60        3.29565e+02        5.62212e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.26003e-01 
 83.30        3.32239e+02        5.87419e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.29406e-01 
 84.00        3.34909e+02        6.13192e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.32827e-01 
 84.70        3.37576e+02        6.39535e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.36263e-01 
 85.40        3.40240e+02        6.66452e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.39716e-01 
 86.10        3.42902e+02        6.93948e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.43185e-01 
 86.80        3.45560e+02        7.22024e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.46670e-01 
 87.50        3.48214e+02        7.50686e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.50170e-01 
 88.20        3.50866e+02        7.79936e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.53686e-01 
 88.90        3.53514e+02        8.09779e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.57218e-01 
 89.60        3.56159e+02        8.40217e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.60764e-01 
 90.30        3.58801e+02        8.71254e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.64325e-01 
 91.00        3.61439e+02        9.02893e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.67901e-01 
 91.70        3.64074e+02        9.35137e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.71492e-01 
 92.40        3.66705e+02        9.67991e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.75097e-01 
 93.10        3.69333e+02        1.00146e+01        0.00000e+00        0.00000e+00        0.00000e+00        2.78716e-01 
 93.80        3.71957e+02        1.03553e+01        0.00000e+00        0.00000e+00        0.00000e+00        2.82349e-01 
 94.50        3.74578e+02        1.07023e+01        0.00000e+00        0.00000e+00        0.00000e+00        2.85996e-01 
 95.20        3.77195e+02        1.10555e+01        0.00000e+00        0.00000e+00        0.00000e+00        2.89656e-01 
 95.90        3.79809e+02        1.14149e+01        0.00000e+00        0.00000e+00        0.00000e+00        2.93330e-01 
 96.60        3.82419e+02        1.17805e+01        0.00000e+00        0.00000e+00        0.00000e+00        2.97016e-01 
 97.30        3.85025e+02        1.21525e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.00716e-01 
 98.00        3.87627e+02        1.25307e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.04429e-01 
 98.70        3.90226e+02        1.29153e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.08154e-01 
 99.40        3.92821e+02        1.33062e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.11892e-01 
 100.10        3.95411e+02        1.37035e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.15641e-01 
 100.80        3.97998e+02        1.41073e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.19403e-01 
 101.50        4.00581e+02        1.45174e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.23177e-01 
 102.20        4.03160e+02        1.49340e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.26962e-01 
 102.90        4.05735e+02        1.53570e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.30759e-01 
 103.60        4.08306e+02        1.57866e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.34568e-01 
 104.30        4.10873e+02        1.62226e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.38387e-01 
 105.00        4.13436e+02        1.66651e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.42217e-01 
 105.70        4.15994e+02        1.71142e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.46058e-01 
 106.40        4.18548e+02        1.75699e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.49910e-01 
 107.10        4.21098e+02        1.80321e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.53772e-01 
 107.80        4.23644e+02        1.85009e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.57644e-01 
 108.50        4.26185e+02        1.89763e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.61527e-01 
 109.20        4.28722e+02        1.94583e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.65419e-01 
 109.90        4.31255e+02        1.99469e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.69321e-01 
 110.60        4.33783e+02        2.04422e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.73232e-01 
 111.30        4.36306e+02        2.09441e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.77153e-01 
 112.00        4.38825e+02        2.14527e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.81083e-01 
 112.70        4.41340e+02        2.19679e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.85022e-01 
 113.40        4.43850e+02        2.24898e+01        0.00000e+00        0.00000e+00        0.00000e+00        3.88970e-01 
