#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        1.10546e-04        0.00000e+00        0.00000e+00        0.00000e+00        -1.86685e-06 
 1.40        4.11000e+00        2.22862e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.72165e-06 
 2.10        4.10816e+00        -2.68045e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.89349e-05 
 2.80        4.10632e+00        -5.64343e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.21077e-04 
 3.50        4.10448e+00        -8.66496e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.82714e-04 
 4.20        4.10265e+00        -1.17439e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.43854e-04 
 4.90        4.10081e+00        -1.48791e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.04505e-04 
 5.60        4.09898e+00        -1.80696e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.64674e-04 
 6.30        4.09714e+00        -2.13141e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.24370e-04 
 7.00        4.09531e+00        -2.46116e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.83600e-04 
 7.70        4.09348e+00        -2.79611e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.42370e-04 
 8.40        4.09164e+00        -3.13615e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.00688e-04 
 9.10        4.08980e+00        -3.48116e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.58560e-04 
 9.80        4.08796e+00        -3.83105e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.15992e-04 
 10.50        4.08612e+00        -4.18572e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.72992e-04 
 11.20        4.08427e+00        -4.54505e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.29565e-04 
 11.90        4.08242e+00        -4.90895e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.85717e-04 
 12.60        4.08057e+00        -5.27732e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.41453e-04 
 13.30        4.07871e+00        -5.65004e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.96779e-04 
 14.00        4.07685e+00        -6.02704e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.05170e-03 
 14.70        4.07498e+00        -6.40819e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.10622e-03 
 15.40        4.07310e+00        -6.79341e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.16035e-03 
 16.10        4.07122e+00        -7.18260e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.21408e-03 
 16.80        4.06934e+00        -7.57566e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.26744e-03 
 17.50        4.06744e+00        -7.97249e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.32041e-03 
 18.20        4.06554e+00        -8.37301e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.37300e-03 
 18.90        4.06363e+00        -8.77710e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.42522e-03 
 19.60        4.06171e+00        -9.18468e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.47707e-03 
 20.30        4.05978e+00        -9.59566e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.52856e-03 
 21.00        4.05785e+00        -1.00099e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.57968e-03 
 21.70        4.05590e+00        -1.04274e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.63045e-03 
 22.40        4.05394e+00        -1.08480e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.68086e-03 
 23.10        4.05197e+00        -1.12716e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.73092e-03 
 23.80        4.04999e+00        -1.16982e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.78063e-03 
 24.50        4.04800e+00        -1.21276e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.82999e-03 
 25.20        4.04599e+00        -1.25598e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.87902e-03 
 25.90        4.04397e+00        -1.29946e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.92770e-03 
 26.60        4.04194e+00        -1.34320e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.97605e-03 
