#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        4.11000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        1.07857e-04        0.00000e+00 
 1.40        4.11000e+00        2.12132e-04        0.00000e+00 
 2.10        4.10816e+00        -2.61166e-03        0.00000e+00 
 2.80        4.10632e+00        -5.31584e-03        0.00000e+00 
 3.50        4.10448e+00        -7.90097e-03        0.00000e+00 
 4.20        4.10265e+00        -1.03676e-02        0.00000e+00 
 4.90        4.10082e+00        -1.27163e-02        0.00000e+00 
 5.60        4.09899e+00        -1.49475e-02        0.00000e+00 
 6.30        4.09716e+00        -1.70619e-02        0.00000e+00 
 7.00        4.09534e+00        -1.90597e-02        0.00000e+00 
 7.70        4.09352e+00        -2.09416e-02        0.00000e+00 
 8.40        4.09170e+00        -2.27081e-02        0.00000e+00 
 9.10        4.08988e+00        -2.43594e-02        0.00000e+00 
 9.80        4.08806e+00        -2.58962e-02        0.00000e+00 
 10.50        4.08624e+00        -2.73188e-02        0.00000e+00 
 11.20        4.08442e+00        -2.86277e-02        0.00000e+00 
 11.90        4.08261e+00        -2.98232e-02        0.00000e+00 
 12.60        4.08079e+00        -3.09057e-02        0.00000e+00 
 13.30        4.07898e+00        -3.18757e-02        0.00000e+00 
 14.00        4.07716e+00        -3.27335e-02        0.00000e+00 
 14.70        4.07535e+00        -3.34796e-02        0.00000e+00 
 15.40        4.07353e+00        -3.41141e-02        0.00000e+00 
 16.10        4.07171e+00        -3.46376e-02        0.00000e+00 
 16.80        4.06989e+00        -3.50504e-02        0.00000e+00 
 17.50        4.06807e+00        -3.53528e-02        0.00000e+00 
 18.20        4.06625e+00        -3.55451e-02        0.00000e+00 
 18.90        4.06442e+00        -3.56277e-02        0.00000e+00 
 19.60        4.06259e+00        -3.56010e-02        0.00000e+00 
 20.30        4.06076e+00        -3.54651e-02        0.00000e+00 
 21.00        4.05893e+00        -3.52206e-02        0.00000e+00 
 21.70        4.05709e+00        -3.48677e-02        0.00000e+00 
 22.40        4.05524e+00        -3.44067e-02        0.00000e+00 
 23.10        4.05340e+00        -3.38379e-02        0.00000e+00 
 23.80        4.05154e+00        -3.31616e-02        0.00000e+00 
 24.50        4.04968e+00        -3.23783e-02        0.00000e+00 
 25.20        4.04782e+00        -3.14881e-02        0.00000e+00 
 25.90        4.04595e+00        -3.04913e-02        0.00000e+00 
 26.60        4.04407e+00        -2.93884e-02        0.00000e+00 
 27.30        4.04218e+00        -2.81796e-02        0.00000e+00 
 28.00        4.04029e+00        -2.68652e-02        0.00000e+00 
 28.70        4.03839e+00        -2.54456e-02        0.00000e+00 
 29.40        4.03647e+00        -2.39210e-02        0.00000e+00 
 30.10        4.03455e+00        -2.22919e-02        0.00000e+00 
 30.80        4.03262e+00        -2.05584e-02        0.00000e+00 
 31.50        4.03068e+00        -1.87210e-02        0.00000e+00 
 32.20        4.02873e+00        -1.67799e-02        0.00000e+00 
 32.90        4.02676e+00        -1.47355e-02        0.00000e+00 
 33.60        4.02479e+00        -1.25882e-02        0.00000e+00 
 34.30        4.02280e+00        -1.03382e-02        0.00000e+00 
 35.00        4.02080e+00        -7.98602e-03        0.00000e+00 
 35.70        4.01878e+00        -5.53187e-03        0.00000e+00 
 36.40        4.01675e+00        -2.97617e-03        0.00000e+00 
 37.10        4.01471e+00        -3.19263e-04        0.00000e+00 
 37.80        4.01265e+00        2.43847e-03        0.00000e+00 
 38.50        4.01058e+00        5.29666e-03        0.00000e+00 
 39.20        4.00848e+00        8.25491e-03        0.00000e+00 
 39.90        4.00637e+00        1.13128e-02        0.00000e+00 
 40.60        4.00425e+00        1.44701e-02        0.00000e+00 
