#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.64984e-05        0.00000e+00        0.00000e+00        0.00000e+00        -1.86400e-06 
 1.40        4.11000e+00        1.74827e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.71374e-06 
 2.10        4.10816e+00        -2.77435e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.53668e-05 
 2.80        4.10632e+00        -5.79012e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.33857e-04 
 3.50        4.10448e+00        -8.87125e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.01766e-04 
 4.20        4.10265e+00        -1.20165e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.69105e-04 
 4.90        4.10081e+00        -1.52246e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.35881e-04 
 5.60        4.09898e+00        -1.84945e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.02104e-04 
 6.30        4.09714e+00        -2.18248e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.67782e-04 
 7.00        4.09531e+00        -2.52144e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.32924e-04 
 7.70        4.09347e+00        -2.86621e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.97537e-04 
 8.40        4.09163e+00        -3.21667e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.61630e-04 
 9.10        4.08979e+00        -3.57272e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.25210e-04 
 9.80        4.08794e+00        -3.93422e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.88284e-04 
 10.50        4.08610e+00        -4.30108e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.50860e-04 
 11.20        4.08425e+00        -4.67318e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.12944e-04 
 11.90        4.08239e+00        -5.05040e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.74543e-04 
 12.60        4.08053e+00        -5.43263e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.03566e-03 
 13.30        4.07866e+00        -5.81977e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.09631e-03 
 14.00        4.07679e+00        -6.21171e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.15649e-03 
 14.70        4.07492e+00        -6.60833e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.21621e-03 
 15.40        4.07303e+00        -7.00953e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.27548e-03 
 16.10        4.07114e+00        -7.41521e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.33429e-03 
 16.80        4.06924e+00        -7.82525e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.39266e-03 
 17.50        4.06733e+00        -8.23955e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.45059e-03 
 18.20        4.06541e+00        -8.65802e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.50809e-03 
 18.90        4.06348e+00        -9.08053e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.56516e-03 
 19.60        4.06154e+00        -9.50700e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.62180e-03 
 20.30        4.05959e+00        -9.93732e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.67802e-03 
 21.00        4.05763e+00        -1.03714e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.73382e-03 
 21.70        4.05566e+00        -1.08091e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.78921e-03 
 22.40        4.05368e+00        -1.12504e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.84419e-03 
 23.10        4.05168e+00        -1.16951e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.89876e-03 
 23.80        4.04967e+00        -1.21431e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.95293e-03 
 24.50        4.04764e+00        -1.25944e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.00671e-03 
 25.20        4.04560e+00        -1.30489e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.06009e-03 
 25.90        4.04355e+00        -1.35064e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.11307e-03 
 26.60        4.04148e+00        -1.39669e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.16567e-03 
 27.30        4.03939e+00        -1.44303e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.21788e-03 
 28.00        4.03729e+00        -1.48964e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.26970e-03 
 28.70        4.03517e+00        -1.53652e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.32115e-03 
 29.40        4.03304e+00        -1.58366e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.37221e-03 
 30.10        4.03088e+00        -1.63104e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.42290e-03 
 30.80        4.02871e+00        -1.67867e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.47322e-03 
 31.50        4.02651e+00        -1.72653e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.52317e-03 
 32.20        4.02430e+00        -1.77461e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.57274e-03 
 32.90        4.02207e+00        -1.82290e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.62195e-03 
 33.60        4.01982e+00        -1.87140e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.67079e-03 
 34.30        4.01755e+00        -1.92009e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.71927e-03 
 35.00        4.01525e+00        -1.96896e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.76738e-03 
 35.70        4.01294e+00        -2.01802e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.81514e-03 
 36.40        4.01060e+00        -2.06724e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.86253e-03 
 37.10        4.00824e+00        -2.11662e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.90957e-03 
 37.80        4.00585e+00        -2.16615e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.95625e-03 
 38.50        4.00344e+00        -2.21583e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.00258e-03 
 39.20        4.00101e+00        -2.26564e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.04855e-03 
 39.90        3.99856e+00        -2.31557e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.09417e-03 
 40.60        3.99607e+00        -2.36563e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.13944e-03 
 41.30        3.99357e+00        -2.41579e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.18436e-03 
 42.00        3.99104e+00        -2.46605e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.22893e-03 
 42.70        3.98848e+00        -2.51641e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.27315e-03 
 43.40        3.98590e+00        -2.56685e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.31703e-03 
 44.10        3.98328e+00        -2.61736e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.36055e-03 
 44.80        3.98065e+00        -2.66795e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.40374e-03 
 45.50        3.97798e+00        -2.71859e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.44657e-03 
 46.20        3.97529e+00        -2.76929e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.48906e-03 
 46.90        3.97257e+00        -2.82003e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.53121e-03 
 47.60        3.96982e+00        -2.87082e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.57301e-03 
 48.30        3.96704e+00        -2.92163e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.61448e-03 
