#Navio B MarAd
#Manobra de Curva Giro
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        1.22252e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.67321e-06 
 0.70        -2.52947e-10        1.24881e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.65259e-06 
 1.40        -2.63165e-03        -4.19122e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.08336e-04 
 2.10        -2.62830e-03        -4.29731e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.07373e-04 
 2.80        -2.62567e-03        -4.40139e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.06425e-04 
 3.50        -2.62378e-03        -4.50346e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.05493e-04 
 4.20        -2.62264e-03        -4.60355e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.04575e-04 
 4.90        -2.62226e-03        -4.70168e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.03672e-04 
 5.60        -2.62266e-03        -4.79787e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.02783e-04 
 6.30        -2.62384e-03        -4.89213e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.01907e-04 
 7.00        -2.62582e-03        -4.98449e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.01044e-04 
 7.70        -2.62860e-03        -5.07496e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.00194e-04 
 8.40        -2.63220e-03        -5.16356e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.93562e-05 
 9.10        -2.63662e-03        -5.25030e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.85302e-05 
 9.80        -2.64186e-03        -5.33521e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.77156e-05 
 10.50        -2.64794e-03        -5.41829e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.69121e-05 
 11.20        -2.65487e-03        -5.49957e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.61194e-05 
 11.90        -2.66263e-03        -5.57906e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.53370e-05 
 12.60        -2.67125e-03        -5.65676e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.45646e-05 
 13.30        -2.68072e-03        -5.73271e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.38020e-05 
 14.00        -2.69105e-03        -5.80690e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.30487e-05 
 14.70        -2.70224e-03        -5.87936e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.23045e-05 
 15.40        -2.71430e-03        -5.95010e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.15689e-05 
 16.10        -2.72721e-03        -6.01913e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.08418e-05 
 16.80        -2.74099e-03        -6.08647e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.01229e-05 
 17.50        -2.75564e-03        -6.15212e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.94117e-05 
