#Navio B MarAd
#Manobra de Curva Giro
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        2.87700e+00        6.05489e-05        0.00000e+00        0.00000e+00        0.00000e+00        -6.53242e-07 
 1.40        5.75400e+00        1.81048e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.60627e-06 
 2.10        8.62971e+00        -1.79919e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.35080e-05 
 2.80        1.15041e+01        -5.85584e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.06700e-04 
 3.50        1.43773e+01        -1.18802e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.46450e-04 
 4.20        1.72491e+01        -1.97643e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.42249e-04 
 4.90        2.01197e+01        -2.94007e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.93593e-04 
 5.60        2.29890e+01        -4.06825e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.99987e-04 
 6.30        2.58570e+01        -5.35034e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.36094e-03 
 7.00        2.87237e+01        -6.77578e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.77599e-03 
 7.70        3.15892e+01        -8.33405e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.24464e-03 
 8.40        3.44534e+01        -1.00147e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.76643e-03 
 9.10        3.73163e+01        -1.18073e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.34091e-03 
 9.80        4.01779e+01        -1.37015e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.96762e-03 
 10.50        4.30382e+01        -1.56869e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.64611e-03 
 11.20        4.58973e+01        -1.77535e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.37594e-03 
 11.90        4.87551e+01        -1.98908e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.15669e-03 
 12.60        5.16116e+01        -2.20888e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.98791e-03 
 13.30        5.44668e+01        -2.43374e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.86918e-03 
 14.00        5.73208e+01        -2.66264e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.80009e-03 
 14.70        6.01734e+01        -2.89458e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.78021e-03 
 15.40        6.30248e+01        -3.12858e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.08091e-02 
 16.10        6.58749e+01        -3.36363e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.18865e-02 
