#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        4.11000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.38136e-05        0.00000e+00 
 1.40        4.11000e+00        1.64115e-04        0.00000e+00 
 2.10        4.10816e+00        -2.72163e-03        0.00000e+00 
 2.80        4.10632e+00        -5.45360e-03        0.00000e+00 
 3.50        4.10448e+00        -8.03268e-03        0.00000e+00 
 4.20        4.10265e+00        -1.04597e-02        0.00000e+00 
 4.90        4.10082e+00        -1.27355e-02        0.00000e+00 
 5.60        4.09899e+00        -1.48609e-02        0.00000e+00 
 6.30        4.09716e+00        -1.68367e-02        0.00000e+00 
 7.00        4.09534e+00        -1.86637e-02        0.00000e+00 
 7.70        4.09351e+00        -2.03425e-02        0.00000e+00 
 8.40        4.09169e+00        -2.18740e-02        0.00000e+00 
 9.10        4.08987e+00        -2.32589e-02        0.00000e+00 
 9.80        4.08804e+00        -2.44979e-02        0.00000e+00 
 10.50        4.08622e+00        -2.55916e-02        0.00000e+00 
 11.20        4.08440e+00        -2.65407e-02        0.00000e+00 
 11.90        4.08258e+00        -2.73460e-02        0.00000e+00 
 12.60        4.08075e+00        -2.80080e-02        0.00000e+00 
 13.30        4.07893e+00        -2.85275e-02        0.00000e+00 
 14.00        4.07710e+00        -2.89049e-02        0.00000e+00 
 14.70        4.07527e+00        -2.91410e-02        0.00000e+00 
 15.40        4.07344e+00        -2.92364e-02        0.00000e+00 
 16.10        4.07160e+00        -2.91916e-02        0.00000e+00 
 16.80        4.06976e+00        -2.90073e-02        0.00000e+00 
 17.50        4.06792e+00        -2.86840e-02        0.00000e+00 
 18.20        4.06607e+00        -2.82224e-02        0.00000e+00 
 18.90        4.06421e+00        -2.76230e-02        0.00000e+00 
 19.60        4.06235e+00        -2.68864e-02        0.00000e+00 
 20.30        4.06048e+00        -2.60131e-02        0.00000e+00 
 21.00        4.05861e+00        -2.50037e-02        0.00000e+00 
 21.70        4.05672e+00        -2.38588e-02        0.00000e+00 
 22.40        4.05483e+00        -2.25790e-02        0.00000e+00 
 23.10        4.05293e+00        -2.11648e-02        0.00000e+00 
 23.80        4.05101e+00        -1.96167e-02        0.00000e+00 
 24.50        4.04909e+00        -1.79354e-02        0.00000e+00 
 25.20        4.04716e+00        -1.61214e-02        0.00000e+00 
 25.90        4.04521e+00        -1.41752e-02        0.00000e+00 
 26.60        4.04325e+00        -1.20975e-02        0.00000e+00 
 27.30        4.04127e+00        -9.88879e-03        0.00000e+00 
 28.00        4.03928e+00        -7.54963e-03        0.00000e+00 
 28.70        4.03728e+00        -5.08063e-03        0.00000e+00 
 29.40        4.03526e+00        -2.48236e-03        0.00000e+00 
 30.10        4.03322e+00        2.44599e-04        0.00000e+00 
 30.80        4.03117e+00        3.09964e-03        0.00000e+00 
 31.50        4.02909e+00        6.08217e-03        0.00000e+00 
 32.20        4.02700e+00        9.19158e-03        0.00000e+00 
 32.90        4.02489e+00        1.24273e-02        0.00000e+00 
 33.60        4.02275e+00        1.57886e-02        0.00000e+00 
 34.30        4.02060e+00        1.92749e-02        0.00000e+00 
 35.00        4.01842e+00        2.28856e-02        0.00000e+00 
 35.70        4.01622e+00        2.66201e-02        0.00000e+00 
 36.40        4.01399e+00        3.04776e-02        0.00000e+00 
 37.10        4.01174e+00        3.44575e-02        0.00000e+00 
 37.80        4.00946e+00        3.85592e-02        0.00000e+00 
 38.50        4.00715e+00        4.27819e-02        0.00000e+00 
 39.20        4.00482e+00        4.71249e-02        0.00000e+00 
 39.90        4.00246e+00        5.15876e-02        0.00000e+00 
