#Navio B MarAd
#Manobra de Curva Giro
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        2.87700e+00        6.05489e-05        0.00000e+00        0.00000e+00        0.00000e+00        -6.53242e-07 
 1.40        5.75400e+00        1.81048e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.60627e-06 
 2.10        8.62945e+00        -1.75303e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.67558e-05 
 2.80        1.15034e+01        -5.72197e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.97985e-05 
 3.50        1.43757e+01        -1.16411e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.86162e-04 
 4.20        1.72466e+01        -1.94263e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.35493e-04 
 4.90        2.01158e+01        -2.89937e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.27443e-04 
 5.60        2.29836e+01        -4.02602e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.61670e-04 
 6.30        2.58498e+01        -5.31428e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.03784e-03 
 7.00        2.87145e+01        -6.75590e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.35561e-03 
 7.70        3.15777e+01        -8.34270e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.71467e-03 
 8.40        3.44393e+01        -1.00665e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.11469e-03 
 9.10        3.72994e+01        -1.19192e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.55535e-03 
 9.80        4.01580e+01        -1.38926e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.03634e-03 
 10.50        4.30150e+01        -1.59788e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.55735e-03 
 11.20        4.58705e+01        -1.81698e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.11808e-03 
 11.90        4.87245e+01        -2.04575e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.71824e-03 
 12.60        5.15770e+01        -2.28340e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.35752e-03 
 13.30        5.44280e+01        -2.52914e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.03563e-03 
 14.00        5.72774e+01        -2.78218e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.75229e-03 
 14.70        6.01253e+01        -3.04174e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.50722e-03 
 15.40        6.29717e+01        -3.30704e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.30012e-03 
 16.10        6.58166e+01        -3.57730e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.13073e-03 
