#Navio B MarAd
#Manobra de Curva Giro
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        1.22252e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.67321e-06 
 0.70        -2.52947e-10        1.24881e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.65259e-06 
 1.40        -3.42114e-03        -4.13865e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.98895e-05 
 2.10        -3.41612e-03        -4.22400e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.91385e-05 
 2.80        -3.41170e-03        -4.30774e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.84001e-05 
 3.50        -3.40788e-03        -4.38990e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.76740e-05 
 4.20        -3.40466e-03        -4.47047e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.69597e-05 
 4.90        -3.40206e-03        -4.54949e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.62568e-05 
 5.60        -3.40008e-03        -4.62696e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.55651e-05 
 6.30        -3.39873e-03        -4.70291e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.48842e-05 
 7.00        -3.39802e-03        -4.77733e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.42137e-05 
 7.70        -3.39794e-03        -4.85026e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.35534e-05 
 8.40        -3.39851e-03        -4.92171e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.29028e-05 
 9.10        -3.39972e-03        -4.99168e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.22618e-05 
 9.80        -3.40159e-03        -5.06019e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.16299e-05 
 10.50        -3.40412e-03        -5.12726e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.10069e-05 
 11.20        -3.40730e-03        -5.19289e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.03925e-05 
 11.90        -3.41115e-03        -5.25711e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.97865e-05 
 12.60        -3.41566e-03        -5.31991e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.91884e-05 
 13.30        -3.42083e-03        -5.38132e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.85981e-05 
 14.00        -3.42668e-03        -5.44134e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.80153e-05 
 14.70        -3.43319e-03        -5.49999e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.74398e-05 
 15.40        -3.44037e-03        -5.55727e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.68712e-05 
 16.10        -3.44822e-03        -5.61320e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.63093e-05 
 16.80        -3.45674e-03        -5.66779e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.57540e-05 
 17.50        -3.46593e-03        -5.72105e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.52049e-05 
