#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.64984e-05        0.00000e+00        0.00000e+00        0.00000e+00        -1.86400e-06 
 1.40        4.11000e+00        1.74827e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.71374e-06 
 2.10        4.10761e+00        -2.75219e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.89453e-05 
 2.80        4.10522e+00        -5.73840e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.21083e-04 
 3.50        4.10283e+00        -8.78266e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.82708e-04 
 4.20        4.10045e+00        -1.18839e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.43829e-04 
 4.90        4.09806e+00        -1.50410e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.04455e-04 
 5.60        4.09568e+00        -1.82528e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.64592e-04 
 6.30        4.09330e+00        -2.15184e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.24248e-04 
 7.00        4.09092e+00        -2.48365e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.83432e-04 
 7.70        4.08855e+00        -2.82063e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.42150e-04 
 8.40        4.08617e+00        -3.16265e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.00409e-04 
 9.10        4.08379e+00        -3.50963e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.58216e-04 
 9.80        4.08141e+00        -3.86146e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.15578e-04 
 10.50        4.07903e+00        -4.21803e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.72500e-04 
 11.20        4.07664e+00        -4.57924e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.28989e-04 
 11.90        4.07426e+00        -4.94500e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.85051e-04 
 12.60        4.07187e+00        -5.31520e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.40692e-04 
 13.30        4.06947e+00        -5.68975e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.95917e-04 
 14.00        4.06708e+00        -6.06855e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.05073e-03 
 14.70        4.06468e+00        -6.45151e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.10514e-03 
 15.40        4.06227e+00        -6.83852e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.15915e-03 
 16.10        4.05986e+00        -7.22949e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.21276e-03 
 16.80        4.05744e+00        -7.62434e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.26598e-03 
 17.50        4.05502e+00        -8.02295e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.31882e-03 
 18.20        4.05259e+00        -8.42525e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.37127e-03 
 18.90        4.05015e+00        -8.83114e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.42335e-03 
 19.60        4.04771e+00        -9.24053e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.47505e-03 
 20.30        4.04526e+00        -9.65332e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.52638e-03 
 21.00        4.04280e+00        -1.00694e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.57734e-03 
 21.70        4.04033e+00        -1.04888e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.62794e-03 
 22.40        4.03785e+00        -1.09112e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.67818e-03 
 23.10        4.03536e+00        -1.13368e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.72807e-03 
 23.80        4.03286e+00        -1.17653e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.77760e-03 
 24.50        4.03035e+00        -1.21966e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.82678e-03 
 25.20        4.02783e+00        -1.26308e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.87562e-03 
 25.90        4.02529e+00        -1.30676e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.92411e-03 
 26.60        4.02275e+00        -1.35071e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.97225e-03 
 27.30        4.02019e+00        -1.39491e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.02006e-03 
 28.00        4.01762e+00        -1.43936e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.06753e-03 
 28.70        4.01503e+00        -1.48404e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.11467e-03 
 29.40        4.01243e+00        -1.52895e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.16147e-03 
 30.10        4.00982e+00        -1.57408e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.20795e-03 
 30.80        4.00719e+00        -1.61943e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.25409e-03 
 31.50        4.00455e+00        -1.66497e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.29991e-03 
 32.20        4.00189e+00        -1.71072e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.34541e-03 
 32.90        3.99921e+00        -1.75665e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.39058e-03 
 33.60        3.99652e+00        -1.80276e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.43543e-03 
 34.30        3.99382e+00        -1.84904e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.47996e-03 
 35.00        3.99109e+00        -1.89549e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.52418e-03 
 35.70        3.98835e+00        -1.94209e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.56808e-03 
 36.40        3.98559e+00        -1.98884e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.61166e-03 
 37.10        3.98281e+00        -2.03573e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.65492e-03 
 37.80        3.98001e+00        -2.08276e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.69788e-03 
 38.50        3.97719e+00        -2.12991e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.74052e-03 
 39.20        3.97435e+00        -2.17718e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.78285e-03 
 39.90        3.97150e+00        -2.22456e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.82488e-03 
 40.60        3.96862e+00        -2.27204e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.86659e-03 
 41.30        3.96572e+00        -2.31962e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.90800e-03 
 42.00        3.96280e+00        -2.36729e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.94910e-03 
 42.70        3.95986e+00        -2.41504e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.98989e-03 
 43.40        3.95690e+00        -2.46286e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.03038e-03 
 44.10        3.95392e+00        -2.51075e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.07056e-03 
 44.80        3.95091e+00        -2.55870e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.11044e-03 
 45.50        3.94788e+00        -2.60671e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.15001e-03 
 46.20        3.94483e+00        -2.65476e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.18929e-03 
 46.90        3.94176e+00        -2.70285e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.22826e-03 
 47.60        3.93866e+00        -2.75097e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.26692e-03 
 48.30        3.93554e+00        -2.79912e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.30529e-03 
