#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        4.11000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.38136e-05        0.00000e+00 
 1.40        4.11000e+00        1.64115e-04        0.00000e+00 
 2.10        4.10761e+00        -2.68337e-03        0.00000e+00 
 2.80        4.10522e+00        -5.41082e-03        0.00000e+00 
 3.50        4.10283e+00        -8.01891e-03        0.00000e+00 
 4.20        4.10045e+00        -1.05083e-02        0.00000e+00 
 4.90        4.09807e+00        -1.28797e-02        0.00000e+00 
 5.60        4.09570e+00        -1.51336e-02        0.00000e+00 
 6.30        4.09332e+00        -1.72707e-02        0.00000e+00 
 7.00        4.09095e+00        -1.92915e-02        0.00000e+00 
 7.70        4.08859e+00        -2.11968e-02        0.00000e+00 
 8.40        4.08623e+00        -2.29870e-02        0.00000e+00 
 9.10        4.08386e+00        -2.46626e-02        0.00000e+00 
 9.80        4.08151e+00        -2.62243e-02        0.00000e+00 
 10.50        4.07915e+00        -2.76726e-02        0.00000e+00 
 11.20        4.07680e+00        -2.90080e-02        0.00000e+00 
 11.90        4.07444e+00        -3.02310e-02        0.00000e+00 
 12.60        4.07209e+00        -3.13420e-02        0.00000e+00 
 13.30        4.06974e+00        -3.23417e-02        0.00000e+00 
 14.00        4.06739e+00        -3.32304e-02        0.00000e+00 
 14.70        4.06505e+00        -3.40087e-02        0.00000e+00 
 15.40        4.06270e+00        -3.46770e-02        0.00000e+00 
 16.10        4.06035e+00        -3.52357e-02        0.00000e+00 
 16.80        4.05800e+00        -3.56854e-02        0.00000e+00 
 17.50        4.05565e+00        -3.60265e-02        0.00000e+00 
 18.20        4.05330e+00        -3.62593e-02        0.00000e+00 
 18.90        4.05095e+00        -3.63844e-02        0.00000e+00 
 19.60        4.04860e+00        -3.64021e-02        0.00000e+00 
 20.30        4.04625e+00        -3.63130e-02        0.00000e+00 
 21.00        4.04389e+00        -3.61173e-02        0.00000e+00 
 21.70        4.04153e+00        -3.58155e-02        0.00000e+00 
 22.40        4.03917e+00        -3.54081e-02        0.00000e+00 
 23.10        4.03680e+00        -3.48954e-02        0.00000e+00 
 23.80        4.03443e+00        -3.42779e-02        0.00000e+00 
 24.50        4.03205e+00        -3.35559e-02        0.00000e+00 
 25.20        4.02967e+00        -3.27298e-02        0.00000e+00 
 25.90        4.02729e+00        -3.18001e-02        0.00000e+00 
 26.60        4.02490e+00        -3.07672e-02        0.00000e+00 
 27.30        4.02250e+00        -2.96314e-02        0.00000e+00 
 28.00        4.02009e+00        -2.83932e-02        0.00000e+00 
 28.70        4.01768e+00        -2.70529e-02        0.00000e+00 
 29.40        4.01526e+00        -2.56109e-02        0.00000e+00 
 30.10        4.01284e+00        -2.40678e-02        0.00000e+00 
 30.80        4.01040e+00        -2.24238e-02        0.00000e+00 
 31.50        4.00795e+00        -2.06793e-02        0.00000e+00 
 32.20        4.00550e+00        -1.88349e-02        0.00000e+00 
 32.90        4.00304e+00        -1.68908e-02        0.00000e+00 
 33.60        4.00056e+00        -1.48475e-02        0.00000e+00 
 34.30        3.99807e+00        -1.27055e-02        0.00000e+00 
 35.00        3.99557e+00        -1.04651e-02        0.00000e+00 
 35.70        3.99306e+00        -8.12677e-03        0.00000e+00 
 36.40        3.99054e+00        -5.69094e-03        0.00000e+00 
 37.10        3.98800e+00        -3.15804e-03        0.00000e+00 
 37.80        3.98545e+00        -5.28510e-04        0.00000e+00 
 38.50        3.98289e+00        2.19721e-03        0.00000e+00 
 39.20        3.98031e+00        5.01866e-03        0.00000e+00 
 39.90        3.97771e+00        7.93539e-03        0.00000e+00 
