#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        4.11000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.38136e-05        0.00000e+00 
 1.40        4.11000e+00        1.64115e-04        0.00000e+00 
 2.10        4.10816e+00        -2.96334e-03        0.00000e+00 
 2.80        4.10632e+00        -5.97014e-03        0.00000e+00 
 3.50        4.10448e+00        -8.85683e-03        0.00000e+00 
 4.20        4.10265e+00        -1.16239e-02        0.00000e+00 
 4.90        4.10082e+00        -1.42720e-02        0.00000e+00 
 5.60        4.09899e+00        -1.68015e-02        0.00000e+00 
 6.30        4.09716e+00        -1.92128e-02        0.00000e+00 
 7.00        4.09534e+00        -2.15066e-02        0.00000e+00 
 7.70        4.09352e+00        -2.36832e-02        0.00000e+00 
 8.40        4.09170e+00        -2.57431e-02        0.00000e+00 
 9.10        4.08988e+00        -2.76867e-02        0.00000e+00 
 9.80        4.08806e+00        -2.95145e-02        0.00000e+00 
 10.50        4.08624e+00        -3.12268e-02        0.00000e+00 
 11.20        4.08442e+00        -3.28242e-02        0.00000e+00 
 11.90        4.08261e+00        -3.43068e-02        0.00000e+00 
 12.60        4.08079e+00        -3.56752e-02        0.00000e+00 
 13.30        4.07898e+00        -3.69298e-02        0.00000e+00 
 14.00        4.07716e+00        -3.80708e-02        0.00000e+00 
 14.70        4.07534e+00        -3.90988e-02        0.00000e+00 
 15.40        4.07353e+00        -4.00139e-02        0.00000e+00 
 16.10        4.07171e+00        -4.08166e-02        0.00000e+00 
 16.80        4.06989e+00        -4.15073e-02        0.00000e+00 
 17.50        4.06807e+00        -4.20862e-02        0.00000e+00 
 18.20        4.06624e+00        -4.25537e-02        0.00000e+00 
 18.90        4.06442e+00        -4.29101e-02        0.00000e+00 
 19.60        4.06259e+00        -4.31558e-02        0.00000e+00 
 20.30        4.06076e+00        -4.32911e-02        0.00000e+00 
 21.00        4.05892e+00        -4.33163e-02        0.00000e+00 
 21.70        4.05708e+00        -4.32318e-02        0.00000e+00 
 22.40        4.05524e+00        -4.30378e-02        0.00000e+00 
 23.10        4.05339e+00        -4.27346e-02        0.00000e+00 
 23.80        4.05153e+00        -4.23227e-02        0.00000e+00 
 24.50        4.04967e+00        -4.18022e-02        0.00000e+00 
 25.20        4.04781e+00        -4.11736e-02        0.00000e+00 
 25.90        4.04593e+00        -4.04371e-02        0.00000e+00 
 26.60        4.04405e+00        -3.95931e-02        0.00000e+00 
 27.30        4.04216e+00        -3.86419e-02        0.00000e+00 
 28.00        4.04027e+00        -3.75837e-02        0.00000e+00 
 28.70        4.03836e+00        -3.64190e-02        0.00000e+00 
 29.40        4.03645e+00        -3.51480e-02        0.00000e+00 
 30.10        4.03453e+00        -3.37711e-02        0.00000e+00 
 30.80        4.03259e+00        -3.22886e-02        0.00000e+00 
 31.50        4.03065e+00        -3.07008e-02        0.00000e+00 
 32.20        4.02869e+00        -2.90082e-02        0.00000e+00 
 32.90        4.02673e+00        -2.72109e-02        0.00000e+00 
 33.60        4.02475e+00        -2.53094e-02        0.00000e+00 
 34.30        4.02276e+00        -2.33041e-02        0.00000e+00 
 35.00        4.02075e+00        -2.11952e-02        0.00000e+00 
 35.70        4.01873e+00        -1.89832e-02        0.00000e+00 
 36.40        4.01670e+00        -1.66684e-02        0.00000e+00 
 37.10        4.01465e+00        -1.42512e-02        0.00000e+00 
 37.80        4.01259e+00        -1.17320e-02        0.00000e+00 
 38.50        4.01051e+00        -9.11119e-03        0.00000e+00 
 39.20        4.00841e+00        -6.38911e-03        0.00000e+00 
 39.90        4.00629e+00        -3.56621e-03        0.00000e+00 
