#Navio B MarAd
#Manobra de Curva Giro
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        1.22252e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.67321e-06 
 0.70        -2.52947e-10        1.24881e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.65259e-06 
 1.40        -2.63165e-03        -5.33963e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.99760e-05 
 2.10        -2.62831e-03        -5.42195e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.93488e-05 
 2.80        -2.62573e-03        -5.50275e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.87311e-05 
 3.50        -2.62391e-03        -5.58201e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.81225e-05 
 4.20        -2.62285e-03        -5.65976e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.75227e-05 
 4.90        -2.62255e-03        -5.73601e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.69314e-05 
 5.60        -2.62304e-03        -5.81077e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.63483e-05 
 6.30        -2.62430e-03        -5.88404e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.57730e-05 
 7.00        -2.62635e-03        -5.95583e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.52052e-05 
 7.70        -2.62919e-03        -6.02616e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.46448e-05 
 8.40        -2.63282e-03        -6.09504e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.40913e-05 
 9.10        -2.63725e-03        -6.16246e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.35445e-05 
 9.80        -2.64248e-03        -6.22845e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.30041e-05 
 10.50        -2.64852e-03        -6.29300e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.24699e-05 
 11.20        -2.65535e-03        -6.35613e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.19416e-05 
 11.90        -2.66300e-03        -6.41784e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.14189e-05 
 12.60        -2.67145e-03        -6.47815e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.09017e-05 
 13.30        -2.68071e-03        -6.53705e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.03895e-05 
 14.00        -2.69078e-03        -6.59456e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.98824e-05 
 14.70        -2.70166e-03        -6.65069e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.93799e-05 
 15.40        -2.71335e-03        -6.70543e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.88818e-05 
 16.10        -2.72585e-03        -6.75880e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.83881e-05 
 16.80        -2.73916e-03        -6.81080e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.78983e-05 
 17.50        -2.75327e-03        -6.86144e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.74124e-05 
