#Navio B MarAd
#Manobra de Curva Giro
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        2.87700e+00        6.05489e-05        0.00000e+00        0.00000e+00        0.00000e+00        -6.53242e-07 
 1.40        5.75400e+00        1.81048e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.60627e-06 
 2.10        8.62971e+00        -2.34072e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.67868e-05 
 2.80        1.15041e+01        -7.48335e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.99612e-05 
 3.50        1.43773e+01        -1.51603e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.86614e-04 
 4.20        1.72491e+01        -2.52854e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.36448e-04 
 4.90        2.01197e+01        -3.77726e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.29168e-04 
 5.60        2.29890e+01        -5.25364e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.64484e-04 
 6.30        2.58570e+01        -6.94912e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.04211e-03 
 7.00        2.87237e+01        -8.85519e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.36177e-03 
 7.70        3.15892e+01        -1.09634e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.72318e-03 
 8.40        3.44534e+01        -1.32652e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.12606e-03 
 9.10        3.73163e+01        -1.57522e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.57015e-03 
 9.80        4.01779e+01        -1.84160e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.05517e-03 
 10.50        4.30382e+01        -2.12481e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.58087e-03 
 11.20        4.58973e+01        -2.42403e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.14698e-03 
 11.90        4.87551e+01        -2.73841e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.75324e-03 
 12.60        5.16117e+01        -3.06713e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.39940e-03 
 13.30        5.44669e+01        -3.40934e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.08519e-03 
 14.00        5.73209e+01        -3.76422e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.81038e-03 
 14.70        6.01736e+01        -4.13095e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.57471e-03 
 15.40        6.30251e+01        -4.50870e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.37794e-03 
 16.10        6.58752e+01        -4.89664e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.21982e-03 
