#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.64984e-05        0.00000e+00        0.00000e+00        0.00000e+00        -1.86400e-06 
 1.40        4.11000e+00        1.74827e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.71374e-06 
 2.10        4.10816e+00        -3.59182e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.90494e-05 
 2.80        4.10632e+00        -7.41555e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.21377e-04 
 3.50        4.10448e+00        -1.12953e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.83275e-04 
 4.20        4.10265e+00        -1.52300e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.44750e-04 
 4.90        4.10081e+00        -1.92186e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.05809e-04 
 5.60        4.09897e+00        -2.32601e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.66456e-04 
 6.30        4.09714e+00        -2.73534e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.26698e-04 
 7.00        4.09530e+00        -3.14974e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.86540e-04 
 7.70        4.09346e+00        -3.56912e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.45987e-04 
 8.40        4.09162e+00        -3.99337e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.05045e-04 
 9.10        4.08978e+00        -4.42239e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.63717e-04 
 9.80        4.08793e+00        -4.85608e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.22008e-04 
 10.50        4.08608e+00        -5.29434e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.79924e-04 
 11.20        4.08422e+00        -5.73707e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.37468e-04 
 11.90        4.08236e+00        -6.18416e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.94643e-04 
 12.60        4.08049e+00        -6.63553e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.51455e-04 
 13.30        4.07862e+00        -7.09107e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.00791e-03 
 14.00        4.07674e+00        -7.55069e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.06400e-03 
 14.70        4.07485e+00        -8.01428e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.11974e-03 
 15.40        4.07295e+00        -8.48175e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.17513e-03 
 16.10        4.07105e+00        -8.95301e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.23018e-03 
 16.80        4.06914e+00        -9.42795e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.28488e-03 
 17.50        4.06722e+00        -9.90649e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.33924e-03 
 18.20        4.06528e+00        -1.03885e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.39326e-03 
 18.90        4.06334e+00        -1.08740e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.44694e-03 
 19.60        4.06139e+00        -1.13627e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.50029e-03 
 20.30        4.05942e+00        -1.18547e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.55331e-03 
 21.00        4.05744e+00        -1.23497e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.60599e-03 
 21.70        4.05545e+00        -1.28479e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.65835e-03 
 22.40        4.05344e+00        -1.33489e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.71039e-03 
 23.10        4.05143e+00        -1.38528e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.76210e-03 
 23.80        4.04939e+00        -1.43594e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.81348e-03 
 24.50        4.04734e+00        -1.48687e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.86455e-03 
 25.20        4.04528e+00        -1.53806e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.91530e-03 
 25.90        4.04320e+00        -1.58950e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.96572e-03 
 26.60        4.04110e+00        -1.64117e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.01583e-03 
 27.30        4.03898e+00        -1.69308e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.06563e-03 
 28.00        4.03685e+00        -1.74520e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.11510e-03 
 28.70        4.03470e+00        -1.79754e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.16427e-03 
 29.40        4.03253e+00        -1.85008e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.21312e-03 
 30.10        4.03034e+00        -1.90282e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.26166e-03 
 30.80        4.02813e+00        -1.95574e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.30988e-03 
 31.50        4.02590e+00        -2.00884e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.35780e-03 
 32.20        4.02365e+00        -2.06211e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.40540e-03 
 32.90        4.02138e+00        -2.11554e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.45269e-03 
 33.60        4.01909e+00        -2.16912e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.49967e-03 
 34.30        4.01677e+00        -2.22284e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.54634e-03 
 35.00        4.01443e+00        -2.27670e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.59270e-03 
 35.70        4.01207e+00        -2.33068e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.63876e-03 
 36.40        4.00968e+00        -2.38478e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.68450e-03 
 37.10        4.00727e+00        -2.43900e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.72993e-03 
 37.80        4.00484e+00        -2.49331e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.77506e-03 
 38.50        4.00238e+00        -2.54771e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.81987e-03 
 39.20        3.99990e+00        -2.60220e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.86437e-03 
 39.90        3.99738e+00        -2.65677e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.90857e-03 
 40.60        3.99485e+00        -2.71140e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.95245e-03 
 41.30        3.99228e+00        -2.76610e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.99603e-03 
 42.00        3.98969e+00        -2.82084e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.03929e-03 
 42.70        3.98707e+00        -2.87564e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.08224e-03 
 43.40        3.98443e+00        -2.93046e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.12489e-03 
 44.10        3.98175e+00        -2.98532e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.16722e-03 
 44.80        3.97905e+00        -3.04020e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.20924e-03 
 45.50        3.97632e+00        -3.09509e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.25095e-03 
 46.20        3.97356e+00        -3.14999e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.29234e-03 
 46.90        3.97077e+00        -3.20489e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.33342e-03 
 47.60        3.96795e+00        -3.25978e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.37419e-03 
 48.30        3.96509e+00        -3.31465e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.41465e-03 
