#Navio B MarAd
#Manobra de Curva Giro
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        2.87700e+00        6.05463e-05        0.00000e+00        0.00000e+00        0.00000e+00        -6.52978e-07 
 1.40        5.75400e+00        1.81035e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.60417e-06 
 2.10        8.62971e+00        -1.75308e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.67545e-05 
 2.80        1.15041e+01        -5.72210e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.97481e-05 
 3.50        1.43773e+01        -1.16414e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.85969e-04 
 4.20        1.72491e+01        -1.94270e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.35017e-04 
 4.90        2.01197e+01        -2.89952e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.26499e-04 
 5.60        2.29890e+01        -4.02631e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.60027e-04 
 6.30        2.58570e+01        -5.31480e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.03522e-03 
 7.00        2.87237e+01        -6.75679e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.35170e-03 
 7.70        3.15892e+01        -8.34412e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.70911e-03 
 8.40        3.44534e+01        -1.00687e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.10707e-03 
 9.10        3.73163e+01        -1.19224e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.54524e-03 
 9.80        4.01779e+01        -1.38972e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.02326e-03 
 10.50        4.30383e+01        -1.59851e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.54078e-03 
 11.20        4.58974e+01        -1.81783e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.09747e-03 
 11.90        4.87552e+01        -2.04687e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.69298e-03 
 12.60        5.16117e+01        -2.28486e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.32699e-03 
 13.30        5.44670e+01        -2.53101e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.99918e-03 
 14.00        5.73210e+01        -2.78453e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.70920e-03 
 14.70        6.01737e+01        -3.04467e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.45676e-03 
 15.40        6.30251e+01        -3.31064e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.24154e-03 
 16.10        6.58753e+01        -3.58168e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.06323e-03 
 16.80        6.87242e+01        -3.85702e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.92152e-03 
 17.50        7.15719e+01        -4.13591e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.08161e-02 
 18.20        7.44182e+01        -4.41758e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.17467e-02 
 18.90        7.72633e+01        -4.70129e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.27130e-02 
 19.60        8.01071e+01        -4.98629e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.37148e-02 
 20.30        8.29496e+01        -5.27182e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.47516e-02 
 21.00        8.57908e+01        -5.55714e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.58234e-02 
 21.70        8.86308e+01        -5.84151e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.69297e-02 
 22.40        9.14694e+01        -6.12421e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.80703e-02 
 23.10        9.43068e+01        -6.40448e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.92449e-02 
 23.80        9.71428e+01        -6.68161e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.04533e-02 
 24.50        9.99776e+01        -6.95486e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.16952e-02 
 25.20        1.02811e+02        -7.22350e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.29702e-02 
 25.90        1.05643e+02        -7.48683e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.42783e-02 
 26.60        1.08474e+02        -7.74412e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.56190e-02 
 27.30        1.11304e+02        -7.99465e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.69922e-02 
 28.00        1.14132e+02        -8.23771e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.83976e-02 
 28.70        1.16959e+02        -8.47259e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.98349e-02 
 29.40        1.19784e+02        -8.69859e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.13039e-02 
 30.10        1.22608e+02        -8.91501e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.28043e-02 
 30.80        1.25431e+02        -9.12113e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.43359e-02 
 31.50        1.28253e+02        -9.31627e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.58984e-02 
 32.20        1.31073e+02        -9.49974e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.74917e-02 
 32.90        1.33892e+02        -9.67083e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.91154e-02 
 33.60        1.36709e+02        -9.82887e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.07693e-02 
 34.30        1.39525e+02        -9.97316e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.24532e-02 
 35.00        1.42340e+02        -1.01030e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.41669e-02 
 35.70        1.45153e+02        -1.02178e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.59100e-02 
 36.40        1.47965e+02        -1.03168e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.76825e-02 
 37.10        1.50775e+02        -1.03993e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.94840e-02 
 37.80        1.53584e+02        -1.04647e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.13143e-02 
 38.50        1.56392e+02        -1.05124e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.31732e-02 
 39.20        1.59198e+02        -1.05415e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.50605e-02 
 39.90        1.62003e+02        -1.05516e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.69759e-02 
 40.60        1.64806e+02        -1.05419e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.89192e-02 
 41.30        1.67608e+02        -1.05118e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.08903e-02 
 42.00        1.70408e+02        -1.04606e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.28888e-02 
 42.70        1.73206e+02        -1.03877e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.49145e-02 
 43.40        1.76004e+02        -1.02924e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.69673e-02 
 44.10        1.78799e+02        -1.01741e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.90468e-02 
 44.80        1.81593e+02        -1.00322e+00        0.00000e+00        0.00000e+00        0.00000e+00        7.11530e-02 
 45.50        1.84386e+02        -9.86603e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.32856e-02 
 46.20        1.87177e+02        -9.67495e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.54443e-02 
 46.90        1.89966e+02        -9.45835e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.76289e-02 
 47.60        1.92754e+02        -9.21560e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.98393e-02 
 48.30        1.95540e+02        -8.94608e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.20752e-02 
 49.00        1.98325e+02        -8.64919e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.43363e-02 
 49.70        2.01108e+02        -8.32430e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.66226e-02 
 50.40        2.03889e+02        -7.97081e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.89338e-02 
 51.10        2.06669e+02        -7.58812e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.12696e-02 
 51.80        2.09447e+02        -7.17563e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.36298e-02 
 52.50        2.12223e+02        -6.73275e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.60144e-02 
 53.20        2.14997e+02        -6.25887e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.84229e-02 
 53.90        2.17770e+02        -5.75342e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.00855e-01 
 54.60        2.20541e+02        -5.21581e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.03311e-01 
 55.30        2.23310e+02        -4.64546e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.05791e-01 
