#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        4.11000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.38110e-05        0.00000e+00 
 1.40        4.11000e+00        1.64107e-04        0.00000e+00 
 2.10        4.10816e+00        -2.68350e-03        0.00000e+00 
 2.80        4.10632e+00        -5.41135e-03        0.00000e+00 
 3.50        4.10448e+00        -8.02019e-03        0.00000e+00 
 4.20        4.10265e+00        -1.05107e-02        0.00000e+00 
 4.90        4.10082e+00        -1.28837e-02        0.00000e+00 
 5.60        4.09899e+00        -1.51397e-02        0.00000e+00 
 6.30        4.09716e+00        -1.72795e-02        0.00000e+00 
 7.00        4.09534e+00        -1.93038e-02        0.00000e+00 
 7.70        4.09352e+00        -2.12131e-02        0.00000e+00 
 8.40        4.09170e+00        -2.30081e-02        0.00000e+00 
 9.10        4.08988e+00        -2.46894e-02        0.00000e+00 
 9.80        4.08806e+00        -2.62575e-02        0.00000e+00 
 10.50        4.08624e+00        -2.77132e-02        0.00000e+00 
 11.20        4.08442e+00        -2.90569e-02        0.00000e+00 
 11.90        4.08261e+00        -3.02893e-02        0.00000e+00 
 12.60        4.08079e+00        -3.14108e-02        0.00000e+00 
 13.30        4.07898e+00        -3.24220e-02        0.00000e+00 
 14.00        4.07716e+00        -3.33234e-02        0.00000e+00 
 14.70        4.07535e+00        -3.41156e-02        0.00000e+00 
 15.40        4.07353e+00        -3.47990e-02        0.00000e+00 
 16.10        4.07171e+00        -3.53742e-02        0.00000e+00 
 16.80        4.06989e+00        -3.58417e-02        0.00000e+00 
 17.50        4.06807e+00        -3.62019e-02        0.00000e+00 
 18.20        4.06625e+00        -3.64553e-02        0.00000e+00 
 18.90        4.06443e+00        -3.66023e-02        0.00000e+00 
 19.60        4.06260e+00        -3.66436e-02        0.00000e+00 
 20.30        4.06077e+00        -3.65794e-02        0.00000e+00 
 21.00        4.05894e+00        -3.64103e-02        0.00000e+00 
 21.70        4.05710e+00        -3.61368e-02        0.00000e+00 
 22.40        4.05526e+00        -3.57592e-02        0.00000e+00 
 23.10        4.05341e+00        -3.52779e-02        0.00000e+00 
 23.80        4.05156e+00        -3.46936e-02        0.00000e+00 
 24.50        4.04971e+00        -3.40064e-02        0.00000e+00 
 25.20        4.04785e+00        -3.32170e-02        0.00000e+00 
 25.90        4.04598e+00        -3.23258e-02        0.00000e+00 
 26.60        4.04411e+00        -3.13330e-02        0.00000e+00 
 27.30        4.04222e+00        -3.02393e-02        0.00000e+00 
 28.00        4.04034e+00        -2.90449e-02        0.00000e+00 
 28.70        4.03844e+00        -2.77504e-02        0.00000e+00 
 29.40        4.03654e+00        -2.63562e-02        0.00000e+00 
 30.10        4.03462e+00        -2.48626e-02        0.00000e+00 
 30.80        4.03270e+00        -2.32701e-02        0.00000e+00 
 31.50        4.03077e+00        -2.15792e-02        0.00000e+00 
 32.20        4.02882e+00        -1.97902e-02        0.00000e+00 
 32.90        4.02687e+00        -1.79036e-02        0.00000e+00 
 33.60        4.02491e+00        -1.59197e-02        0.00000e+00 
 34.30        4.02293e+00        -1.38391e-02        0.00000e+00 
 35.00        4.02094e+00        -1.16622e-02        0.00000e+00 
 35.70        4.01894e+00        -9.38940e-03        0.00000e+00 
 36.40        4.01693e+00        -7.02112e-03        0.00000e+00 
 37.10        4.01490e+00        -4.55782e-03        0.00000e+00 
 37.80        4.01286e+00        -1.99995e-03        0.00000e+00 
 38.50        4.01080e+00        6.52049e-04        0.00000e+00 
 39.20        4.00873e+00        3.39772e-03        0.00000e+00 
 39.90        4.00664e+00        6.23662e-03        0.00000e+00 
 40.60        4.00454e+00        9.16827e-03        0.00000e+00 
 41.30        4.00242e+00        1.21922e-02        0.00000e+00 
 42.00        4.00028e+00        1.53080e-02        0.00000e+00 
 42.70        3.99812e+00        1.85151e-02        0.00000e+00 
 43.40        3.99595e+00        2.18131e-02        0.00000e+00 
 44.10        3.99376e+00        2.52014e-02        0.00000e+00 
 44.80        3.99155e+00        2.86797e-02        0.00000e+00 
 45.50        3.98931e+00        3.22473e-02        0.00000e+00 
 46.20        3.98706e+00        3.59038e-02        0.00000e+00 
 46.90        3.98479e+00        3.96487e-02        0.00000e+00 
 47.60        3.98249e+00        4.34815e-02        0.00000e+00 
 48.30        3.98018e+00        4.74016e-02        0.00000e+00 
 49.00        3.97784e+00        5.14085e-02        0.00000e+00 
 49.70        3.97548e+00        5.55017e-02        0.00000e+00 
