#Navio B MarAd
#Manobra de Curva Giro
#
#Eta 
#
#temp      rot 
 0.00  1.00
 0.70  1.00
 1.40  1.00
 2.10  1.00
 2.80  1.00
 3.50  1.00
 4.20  1.00
 4.90  1.00
 5.60  1.00
 6.30  1.00
 7.00  1.00
 7.70  1.00
 8.40  1.00
 9.10  1.00
 9.80  1.01
 10.50  1.01
 11.20  1.01
 11.90  1.01
 12.60  1.01
 13.30  1.01
 14.00  1.01
 14.70  1.01
 15.40  1.01
 16.10  1.01
 16.80  1.01
 17.50  1.01
 18.20  1.01
 18.90  1.01
 19.60  1.01
 20.30  1.01
 21.00  1.01
 21.70  1.01
 22.40  1.01
 23.10  1.01
 23.80  1.01
 24.50  1.02
 25.20  1.02
 25.90  1.02
 26.60  1.02
 27.30  1.02
 28.00  1.02
 28.70  1.02
 29.40  1.02
 30.10  1.02
 30.80  1.02
 31.50  1.02
 32.20  1.02
 32.90  1.02
 33.60  1.02
 34.30  1.02
 35.00  1.02
 35.70  1.02
 36.40  1.02
 37.10  1.02
 37.80  1.03
 38.50  1.03
 39.20  1.03
 39.90  1.03
 40.60  1.03
 41.30  1.03
 42.00  1.03
 42.70  1.03
 43.40  1.03
 44.10  1.03
 44.80  1.03
 45.50  1.03
 46.20  1.03
 46.90  1.03
 47.60  1.03
 48.30  1.03
 49.00  1.04
 49.70  1.04
 50.40  1.04
 51.10  1.04
 51.80  1.04
 52.50  1.04
 53.20  1.04
 53.90  1.04
 54.60  1.04
 55.30  1.04
 56.00  1.04
 56.70  1.04
 57.40  1.04
 58.10  1.05
 58.80  1.05
 59.50  1.05
 60.20  1.05
 60.90  1.05
 61.60  1.05
 62.30  1.05
 63.00  1.05
 63.70  1.05
 64.40  1.05
 65.10  1.05
 65.80  1.05
 66.50  1.05
 67.20  1.06
 67.90  1.06
 68.60  1.06
 69.30  1.06
 70.00  1.06
 70.70  1.06
 71.40  1.06
 72.10  1.06
 72.80  1.06
 73.50  1.06
 74.20  1.06
 74.90  1.07
 75.60  1.07
 76.30  1.07
 77.00  1.07
 77.70  1.07
 78.40  1.07
 79.10  1.07
 79.80  1.07
 80.50  1.07
 81.20  1.08
 81.90  1.08
 82.60  1.08
 83.30  1.08
 84.00  1.08
 84.70  1.08
 85.40  1.08
 86.10  1.08
 86.80  1.08
 87.50  1.08
 88.20  1.09
 88.90  1.09
 89.60  1.09
 90.30  1.09
 91.00  1.09
 91.70  1.09
 92.40  1.09
 93.10  1.09
 93.80  1.10
 94.50  1.10
 95.20  1.10
 95.90  1.10
 96.60  1.10
 97.30  1.10
 98.00  1.10
 98.70  1.10
 99.40  1.11
 100.10  1.11
 100.80  1.11
 101.50  1.11
 102.20  1.11
 102.90  1.11
 103.60  1.11
 104.30  1.12
 105.00  1.12
 105.70  1.12
 106.40  1.12
 107.10  1.12
 107.80  1.12
 108.50  1.12
 109.20  1.12
 109.90  1.13
 110.60  1.13
 111.30  1.13
 112.00  1.13
 112.70  1.13
 113.40  1.13
 114.10  1.14
 114.80  1.14
 115.50  1.14
 116.20  1.14
 116.90  1.14
 117.60  1.14
 118.30  1.14
 119.00  1.15
 119.70  1.15
 120.40  1.15
 121.10  1.15
 121.80  1.15
 122.50  1.15
 123.20  1.16
 123.90  1.16
 124.60  1.16
 125.30  1.16
 126.00  1.16
 126.70  1.16
 127.40  1.17
 128.10  1.17
 128.80  1.17
 129.50  1.17
 130.20  1.17
 130.90  1.17
 131.60  1.18
 132.30  1.18
 133.00  1.18
 133.70  1.18
 134.40  1.18
 135.10  1.18
 135.80  1.19
 136.50  1.19
 137.20  1.19
 137.90  1.19
 138.60  1.19
 139.30  1.19
 140.00  1.20
 140.70  1.20
 141.40  1.20
 142.10  1.20
 142.80  1.20
 143.50  1.21
 144.20  1.21
 144.90  1.21
 145.60  1.21
 146.30  1.21
 147.00  1.22
 147.70  1.22
 148.40  1.22
 149.10  1.22
 149.80  1.22
 150.50  1.22
 151.20  1.23
 151.90  1.23
 152.60  1.23
 153.30  1.23
 154.00  1.23
 154.70  1.24
 155.40  1.24
 156.10  1.24
 156.80  1.24
 157.50  1.24
 158.20  1.25
 158.90  1.25
 159.60  1.25
 160.30  1.25
 161.00  1.25
 161.70  1.26
 162.40  1.26
 163.10  1.26
 163.80  1.26
 164.50  1.26
 165.20  1.27
 165.90  1.27
 166.60  1.27
 167.30  1.27
