#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.64911e-05        0.00000e+00        0.00000e+00        0.00000e+00        -1.86174e-06 
 1.40        4.11000e+00        1.74794e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.70475e-06 
 2.10        4.10816e+00        -2.75224e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.88917e-05 
 2.80        4.10632e+00        -5.73834e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.20826e-04 
 3.50        4.10448e+00        -8.78224e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.82110e-04 
 4.20        4.10265e+00        -1.18827e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.42755e-04 
 4.90        4.10081e+00        -1.50386e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.02773e-04 
 5.60        4.09898e+00        -1.82485e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.62174e-04 
 6.30        4.09714e+00        -2.15115e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.20968e-04 
 7.00        4.09531e+00        -2.48262e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.79166e-04 
 7.70        4.09348e+00        -2.81916e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.36779e-04 
 8.40        4.09164e+00        -3.16065e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.93815e-04 
 9.10        4.08980e+00        -3.50698e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.50284e-04 
 9.80        4.08796e+00        -3.85803e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.06196e-04 
 10.50        4.08612e+00        -4.21370e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.61559e-04 
 11.20        4.08427e+00        -4.57387e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.16383e-04 
 11.90        4.08242e+00        -4.93845e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.70674e-04 
