#Navio B MarAd
#Manobra de Curva Giro
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        1.22252e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.67321e-06 
 0.70        -2.52449e-10        1.24848e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.64293e-06 
 1.40        -2.63165e-03        -4.13872e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.99086e-05 
 2.10        -2.62824e-03        -4.22363e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.88458e-05 
 2.80        -2.62541e-03        -4.30662e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.78029e-05 
 3.50        -2.62318e-03        -4.38774e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.67793e-05 
 4.20        -2.62154e-03        -4.46700e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.57745e-05 
 4.90        -2.62050e-03        -4.54443e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.47880e-05 
 5.60        -2.62006e-03        -4.62006e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.38193e-05 
 6.30        -2.62022e-03        -4.69392e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.28679e-05 
 7.00        -2.62099e-03        -4.76603e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.19335e-05 
 7.70        -2.62238e-03        -4.83641e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.10155e-05 
 8.40        -2.62437e-03        -4.90510e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.01135e-05 
 9.10        -2.62697e-03        -4.97210e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.92271e-05 
 9.80        -2.63019e-03        -5.03745e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.83559e-05 
 10.50        -2.63401e-03        -5.10117e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.74995e-05 
 11.20        -2.63845e-03        -5.16328e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.66575e-05 
 11.90        -2.64350e-03        -5.22380e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.58295e-05 
 12.60        -2.64915e-03        -5.28276e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.50151e-05 
 13.30        -2.65542e-03        -5.34017e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.42140e-05 
 14.00        -2.66229e-03        -5.39605e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.34258e-05 
