#Navio B MarAd
#Manobra de Curva Giro
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        1.22252e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.67321e-06 
 0.70        -2.53566e-10        1.25490e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.65266e-06 
 1.40        -2.63165e-03        -4.13743e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.98893e-05 
 2.10        -2.62824e-03        -4.24389e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.91540e-05 
 2.80        -2.62542e-03        -4.34850e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.84330e-05 
 3.50        -2.62321e-03        -4.45129e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.77257e-05 
 4.20        -2.62161e-03        -4.55227e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.70317e-05 
 4.90        -2.62065e-03        -4.65147e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.63505e-05 
 5.60        -2.62032e-03        -4.74891e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.56819e-05 
 6.30        -2.62064e-03        -4.84459e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.50253e-05 
 7.00        -2.62162e-03        -4.93854e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.43804e-05 
 7.70        -2.62327e-03        -5.03078e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.37468e-05 
 8.40        -2.62560e-03        -5.12133e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.31241e-05 
 9.10        -2.62861e-03        -5.21019e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.25119e-05 
 9.80        -2.63231e-03        -5.29738e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.19099e-05 
 10.50        -2.63672e-03        -5.38292e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.13177e-05 
 11.20        -2.64183e-03        -5.46682e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.07350e-05 
 11.90        -2.64765e-03        -5.54910e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.01614e-05 
 12.60        -2.65418e-03        -5.62977e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.95966e-05 
 13.30        -2.66144e-03        -5.70884e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.90402e-05 
 14.00        -2.66943e-03        -5.78632e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.84920e-05 
 14.70        -2.67815e-03        -5.86222e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.79517e-05 
 15.40        -2.68760e-03        -5.93657e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.74189e-05 
 16.10        -2.69779e-03        -6.00936e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.68933e-05 
 16.80        -2.70872e-03        -6.08061e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.63747e-05 
 17.50        -2.72039e-03        -6.15033e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.58627e-05 
 18.20        -2.73280e-03        -6.21853e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.53572e-05 
 18.90        -2.74597e-03        -6.28522e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.48577e-05 
 19.60        -2.75988e-03        -6.35041e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.43642e-05 
 20.30        -2.77454e-03        -6.41411e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.38762e-05 
 21.00        -2.78994e-03        -6.47632e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.33936e-05 
 21.70        -2.80610e-03        -6.53707e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.29160e-05 
 22.40        -2.82300e-03        -6.59634e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.24434e-05 
 23.10        -2.84065e-03        -6.65416e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.19753e-05 
 23.80        -2.85905e-03        -6.71053e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.15117e-05 
 24.50        -2.87819e-03        -6.76546e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.10523e-05 
 25.20        -2.89807e-03        -6.81896e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.05968e-05 
 25.90        -2.91870e-03        -6.87103e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.01452e-05 
 26.60        -2.94006e-03        -6.92169e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.96970e-05 
 27.30        -2.96216e-03        -6.97093e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.92522e-05 
 28.00        -2.98499e-03        -7.01877e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.88106e-05 
 28.70        -3.00855e-03        -7.06522e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.83720e-05 
 29.40        -3.03283e-03        -7.11028e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.79362e-05 
 30.10        -3.05784e-03        -7.15396e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.75030e-05 
 30.80        -3.08356e-03        -7.19626e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.70722e-05 
 31.50        -3.10999e-03        -7.23719e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.66437e-05 
 32.20        -3.13713e-03        -7.27677e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.62174e-05 
 32.90        -3.16497e-03        -7.31498e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.57930e-05 
 33.60        -3.19350e-03        -7.35186e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.53704e-05 
 34.30        -3.22273e-03        -7.38739e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.49495e-05 
 35.00        -3.25264e-03        -7.42159e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.45301e-05 
 35.70        -3.28322e-03        -7.45446e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.41121e-05 
 36.40        -3.31447e-03        -7.48601e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.36954e-05 
 37.10        -3.34639e-03        -7.51624e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.32798e-05 
 37.80        -3.37896e-03        -7.54517e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.28652e-05 
 38.50        -3.41217e-03        -7.57280e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.24515e-05 
 39.20        -3.44603e-03        -7.59914e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.20385e-05 
 39.90        -3.48052e-03        -7.62419e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.16263e-05 
 40.60        -3.51563e-03        -7.64796e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.12145e-05 
 41.30        -3.55135e-03        -7.67046e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.08033e-05 
 42.00        -3.58768e-03        -7.69169e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.03924e-05 
 42.70        -3.62460e-03        -7.71167e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.99818e-05 
 43.40        -3.66211e-03        -7.73039e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.95714e-05 
 44.10        -3.70020e-03        -7.74787e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.91610e-05 
 44.80        -3.73885e-03        -7.76412e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.87507e-05 
 45.50        -3.77806e-03        -7.77913e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.83403e-05 
 46.20        -3.81782e-03        -7.79293e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.79298e-05 
 46.90        -3.85810e-03        -7.80551e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.75191e-05 
 47.60        -3.89892e-03        -7.81689e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.71082e-05 
 48.30        -3.94025e-03        -7.82706e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.66969e-05 
 49.00        -3.98207e-03        -7.83605e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.62852e-05 
 49.70        -4.02439e-03        -7.84386e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.58731e-05 
 50.40        -4.06719e-03        -7.85050e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.54606e-05 
 51.10        -4.11046e-03        -7.85597e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.50475e-05 
 51.80        -4.15418e-03        -7.86028e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.46338e-05 
 52.50        -4.19834e-03        -7.86345e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.42195e-05 
 53.20        -4.24294e-03        -7.86547e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.38046e-05 
 53.90        -4.28795e-03        -7.86637e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.33889e-05 
 54.60        -4.33337e-03        -7.86615e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.29726e-05 
 55.30        -4.37918e-03        -7.86481e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.25556e-05 
 56.00        -4.42537e-03        -7.86238e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.21377e-05 
 56.70        -4.47193e-03        -7.85885e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.17191e-05 
 57.40        -4.51884e-03        -7.85424e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.12998e-05 
 58.10        -4.56610e-03        -7.84855e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.08795e-05 
 58.80        -4.61368e-03        -7.84180e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.04585e-05 
 59.50        -4.66157e-03        -7.83400e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.00367e-05 
 60.20        -4.70976e-03        -7.82516e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.96140e-05 
 60.90        -4.75824e-03        -7.81528e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.91904e-05 
 61.60        -4.80699e-03        -7.80438e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.87660e-05 
 62.30        -4.85601e-03        -7.79247e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.83408e-05 
 63.00        -4.90526e-03        -7.77956e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.79148e-05 
