#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.67120e-05        0.00000e+00        0.00000e+00        0.00000e+00        -1.86402e-06 
 1.40        4.11000e+00        1.75678e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.71385e-06 
 2.10        4.10816e+00        -2.75789e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.89505e-05 
 2.80        4.10632e+00        -5.76534e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.21105e-04 
 3.50        4.10448e+00        -8.84537e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.82760e-04 
 4.20        4.10265e+00        -1.19967e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.43924e-04 
 4.90        4.10081e+00        -1.52181e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.04607e-04 
 5.60        4.09898e+00        -1.85084e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.64818e-04 
 6.30        4.09714e+00        -2.18662e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.24565e-04 
 7.00        4.09531e+00        -2.52904e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.83856e-04 
 7.70        4.09347e+00        -2.87798e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.42700e-04 
 8.40        4.09164e+00        -3.23331e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.01104e-04 
 9.10        4.08980e+00        -3.59492e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.59076e-04 
 9.80        4.08796e+00        -3.96270e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.16623e-04 
 10.50        4.08611e+00        -4.33652e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.73752e-04 
 11.20        4.08427e+00        -4.71627e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.30470e-04 
 11.90        4.08241e+00        -5.10183e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.86783e-04 
 12.60        4.08056e+00        -5.49310e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.42698e-04 
 13.30        4.07870e+00        -5.88996e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.98221e-04 
 14.00        4.07683e+00        -6.29230e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.05336e-03 
 14.70        4.07496e+00        -6.70001e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.10811e-03 
 15.40        4.07308e+00        -7.11298e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.16249e-03 
 16.10        4.07120e+00        -7.53110e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.21650e-03 
 16.80        4.06931e+00        -7.95425e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.27014e-03 
 17.50        4.06741e+00        -8.38235e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.32343e-03 
 18.20        4.06550e+00        -8.81526e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.37635e-03 
 18.90        4.06358e+00        -9.25290e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.42893e-03 
 19.60        4.06165e+00        -9.69516e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.48115e-03 
 20.30        4.05972e+00        -1.01419e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.53304e-03 
 21.00        4.05777e+00        -1.05931e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.58458e-03 
 21.70        4.05581e+00        -1.10486e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.63579e-03 
 22.40        4.05384e+00        -1.15083e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.68667e-03 
 23.10        4.05186e+00        -1.19720e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.73721e-03 
 23.80        4.04986e+00        -1.24398e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.78743e-03 
 24.50        4.04785e+00        -1.29115e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.83733e-03 
 25.20        4.04583e+00        -1.33869e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.88691e-03 
 25.90        4.04380e+00        -1.38661e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.93617e-03 
 26.60        4.04175e+00        -1.43488e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.98511e-03 
 27.30        4.03968e+00        -1.48351e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.03374e-03 
 28.00        4.03760e+00        -1.53247e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.08206e-03 
 28.70        4.03550e+00        -1.58177e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.13008e-03 
 29.40        4.03339e+00        -1.63138e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.17779e-03 
 30.10        4.03125e+00        -1.68131e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.22519e-03 
 30.80        4.02911e+00        -1.73154e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.27229e-03 
 31.50        4.02694e+00        -1.78205e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.31909e-03 
