#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        4.11000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.40272e-05        0.00000e+00 
 1.40        4.11000e+00        1.64966e-04        0.00000e+00 
 2.10        4.10816e+00        -2.68905e-03        0.00000e+00 
 2.80        4.10632e+00        -5.43763e-03        0.00000e+00 
 3.50        4.10448e+00        -8.08117e-03        0.00000e+00 
 4.20        4.10265e+00        -1.06201e-02        0.00000e+00 
 4.90        4.10082e+00        -1.30547e-02        0.00000e+00 
 5.60        4.09899e+00        -1.53854e-02        0.00000e+00 
 6.30        4.09716e+00        -1.76125e-02        0.00000e+00 
 7.00        4.09534e+00        -1.97364e-02        0.00000e+00 
 7.70        4.09352e+00        -2.17574e-02        0.00000e+00 
 8.40        4.09170e+00        -2.36757e-02        0.00000e+00 
 9.10        4.08988e+00        -2.54917e-02        0.00000e+00 
 9.80        4.08806e+00        -2.72057e-02        0.00000e+00 
 10.50        4.08624e+00        -2.88179e-02        0.00000e+00 
 11.20        4.08442e+00        -3.03285e-02        0.00000e+00 
 11.90        4.08261e+00        -3.17379e-02        0.00000e+00 
 12.60        4.08079e+00        -3.30462e-02        0.00000e+00 
 13.30        4.07898e+00        -3.42537e-02        0.00000e+00 
 14.00        4.07716e+00        -3.53606e-02        0.00000e+00 
 14.70        4.07535e+00        -3.63671e-02        0.00000e+00 
 15.40        4.07353e+00        -3.72734e-02        0.00000e+00 
 16.10        4.07172e+00        -3.80797e-02        0.00000e+00 
 16.80        4.06990e+00        -3.87863e-02        0.00000e+00 
 17.50        4.06808e+00        -3.93931e-02        0.00000e+00 
 18.20        4.06626e+00        -3.99005e-02        0.00000e+00 
 18.90        4.06443e+00        -4.03087e-02        0.00000e+00 
 19.60        4.06261e+00        -4.06177e-02        0.00000e+00 
 20.30        4.06078e+00        -4.08277e-02        0.00000e+00 
 21.00        4.05894e+00        -4.09390e-02        0.00000e+00 
 21.70        4.05711e+00        -4.09516e-02        0.00000e+00 
 22.40        4.05527e+00        -4.08657e-02        0.00000e+00 
 23.10        4.05342e+00        -4.06815e-02        0.00000e+00 
 23.80        4.05157e+00        -4.03991e-02        0.00000e+00 
 24.50        4.04971e+00        -4.00186e-02        0.00000e+00 
 25.20        4.04785e+00        -3.95402e-02        0.00000e+00 
 25.90        4.04599e+00        -3.89641e-02        0.00000e+00 
 26.60        4.04411e+00        -3.82903e-02        0.00000e+00 
 27.30        4.04223e+00        -3.75191e-02        0.00000e+00 
 28.00        4.04034e+00        -3.66505e-02        0.00000e+00 
 28.70        4.03844e+00        -3.56848e-02        0.00000e+00 
 29.40        4.03654e+00        -3.46220e-02        0.00000e+00 
 30.10        4.03462e+00        -3.34624e-02        0.00000e+00 
 30.80        4.03270e+00        -3.22060e-02        0.00000e+00 
 31.50        4.03076e+00        -3.08531e-02        0.00000e+00 
 32.20        4.02882e+00        -2.94038e-02        0.00000e+00 
 32.90        4.02686e+00        -2.78582e-02        0.00000e+00 
 33.60        4.02489e+00        -2.62166e-02        0.00000e+00 
 34.30        4.02291e+00        -2.44791e-02        0.00000e+00 
 35.00        4.02092e+00        -2.26459e-02        0.00000e+00 
 35.70        4.01891e+00        -2.07171e-02        0.00000e+00 
 36.40        4.01689e+00        -1.86930e-02        0.00000e+00 
 37.10        4.01485e+00        -1.65738e-02        0.00000e+00 
 37.80        4.01280e+00        -1.43596e-02        0.00000e+00 
 38.50        4.01074e+00        -1.20507e-02        0.00000e+00 
 39.20        4.00866e+00        -9.64729e-03        0.00000e+00 
 39.90        4.00656e+00        -7.14960e-03        0.00000e+00 
 40.60        4.00444e+00        -4.55786e-03        0.00000e+00 
 41.30        4.00231e+00        -1.87231e-03        0.00000e+00 
 42.00        4.00016e+00        9.06796e-04        0.00000e+00 
 42.70        3.99799e+00        3.77920e-03        0.00000e+00 
 43.40        3.99580e+00        6.74464e-03        0.00000e+00 
 44.10        3.99359e+00        9.80283e-03        0.00000e+00 
 44.80        3.99136e+00        1.29535e-02        0.00000e+00 
