#Navio B MarAd
#Manobra de Curva Giro
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        2.87700e+00        6.07732e-05        0.00000e+00        0.00000e+00        0.00000e+00        -6.53249e-07 
 1.40        5.75400e+00        1.82166e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.60634e-06 
 2.10        8.62971e+00        -1.75777e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.67565e-05 
 2.80        1.15041e+01        -5.75445e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.98060e-05 
 3.50        1.43773e+01        -1.17381e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.86190e-04 
 4.20        1.72491e+01        -1.96393e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.35563e-04 
 4.90        2.01197e+01        -2.93887e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.27586e-04 
 5.60        2.29890e+01        -4.09171e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.61930e-04 
 6.30        2.58570e+01        -5.41557e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.03827e-03 
 7.00        2.87237e+01        -6.90358e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.35628e-03 
 7.70        3.15892e+01        -8.54887e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.71566e-03 
 8.40        3.44534e+01        -1.03446e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.11609e-03 
 9.10        3.73163e+01        -1.22840e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.55727e-03 
 9.80        4.01779e+01        -1.43602e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.03892e-03 
 10.50        4.30383e+01        -1.65664e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.56074e-03 
 11.20        4.58974e+01        -1.88958e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.12243e-03 
 11.90        4.87552e+01        -2.13417e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.72373e-03 
 12.60        5.16117e+01        -2.38974e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.36436e-03 
 13.30        5.44670e+01        -2.65559e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.04404e-03 
 14.00        5.73210e+01        -2.93107e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.76251e-03 
 14.70        6.01737e+01        -3.21550e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.51951e-03 
 15.40        6.30252e+01        -3.50820e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.31478e-03 
 16.10        6.58753e+01        -3.80850e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.14805e-03 
 16.80        6.87242e+01        -4.11574e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.00191e-02 
 17.50        7.15719e+01        -4.42924e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.09276e-02 
 18.20        7.44182e+01        -4.74833e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.18735e-02 
 18.90        7.72633e+01        -5.07235e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.28563e-02 
 19.60        8.01071e+01        -5.40062e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.38759e-02 
 20.30        8.29496e+01        -5.73249e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.49321e-02 
 21.00        8.57908e+01        -6.06727e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.60246e-02 
 21.70        8.86308e+01        -6.40430e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.71533e-02 
 22.40        9.14694e+01        -6.74293e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.83177e-02 
 23.10        9.43068e+01        -7.08247e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.95178e-02 
 23.80        9.71429e+01        -7.42227e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.07534e-02 
 24.50        9.99776e+01        -7.76166e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.20241e-02 
 25.20        1.02811e+02        -8.09997e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.33298e-02 
 25.90        1.05643e+02        -8.43654e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.46703e-02 
 26.60        1.08474e+02        -8.77071e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.60453e-02 
 27.30        1.11304e+02        -9.10181e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.74547e-02 
 28.00        1.14132e+02        -9.42918e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.88982e-02 
 28.70        1.16959e+02        -9.75216e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.03756e-02 
 29.40        1.19784e+02        -1.00701e+00        0.00000e+00        0.00000e+00        0.00000e+00        3.18867e-02 
 30.10        1.22609e+02        -1.03823e+00        0.00000e+00        0.00000e+00        0.00000e+00        3.34314e-02 
 30.80        1.25431e+02        -1.06881e+00        0.00000e+00        0.00000e+00        0.00000e+00        3.50093e-02 
 31.50        1.28253e+02        -1.09869e+00        0.00000e+00        0.00000e+00        0.00000e+00        3.66203e-02 
 32.20        1.31073e+02        -1.12779e+00        0.00000e+00        0.00000e+00        0.00000e+00        3.82642e-02 
 32.90        1.33892e+02        -1.15606e+00        0.00000e+00        0.00000e+00        0.00000e+00        3.99408e-02 
 33.60        1.36709e+02        -1.18343e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.16499e-02 
 34.30        1.39525e+02        -1.20983e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.33913e-02 
 35.00        1.42340e+02        -1.23520e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.51647e-02 
 35.70        1.45153e+02        -1.25946e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.69701e-02 
 36.40        1.47965e+02        -1.28256e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.88071e-02 
 37.10        1.50775e+02        -1.30443e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.06756e-02 
 37.80        1.53584e+02        -1.32500e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.25754e-02 
 38.50        1.56392e+02        -1.34421e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.45063e-02 
 39.20        1.59198e+02        -1.36199e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.64681e-02 
 39.90        1.62003e+02        -1.37828e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.84606e-02 
 40.60        1.64806e+02        -1.39301e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.04836e-02 
 41.30        1.67607e+02        -1.40611e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.25369e-02 
 42.00        1.70408e+02        -1.41753e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.46203e-02 
 42.70        1.73206e+02        -1.42719e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.67337e-02 
 43.40        1.76003e+02        -1.43504e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.88767e-02 
 44.10        1.78799e+02        -1.44100e+00        0.00000e+00        0.00000e+00        0.00000e+00        7.10492e-02 
 44.80        1.81593e+02        -1.44501e+00        0.00000e+00        0.00000e+00        0.00000e+00        7.32511e-02 
 45.50        1.84385e+02        -1.44701e+00        0.00000e+00        0.00000e+00        0.00000e+00        7.54821e-02 
 46.20        1.87176e+02        -1.44694e+00        0.00000e+00        0.00000e+00        0.00000e+00        7.77420e-02 
 46.90        1.89966e+02        -1.44472e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.00307e-02 
 47.60        1.92753e+02        -1.44030e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.23478e-02 
 48.30        1.95539e+02        -1.43361e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.46933e-02 
 49.00        1.98324e+02        -1.42460e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.70670e-02 
 49.70        2.01106e+02        -1.41318e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.94685e-02 
 50.40        2.03887e+02        -1.39931e+00        0.00000e+00        0.00000e+00        0.00000e+00        9.18978e-02 
 51.10        2.06667e+02        -1.38292e+00        0.00000e+00        0.00000e+00        0.00000e+00        9.43546e-02 
 51.80        2.09444e+02        -1.36394e+00        0.00000e+00        0.00000e+00        0.00000e+00        9.68388e-02 
 52.50        2.12220e+02        -1.34232e+00        0.00000e+00        0.00000e+00        0.00000e+00        9.93501e-02 
 53.20        2.14994e+02        -1.31799e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.01888e-01 
 53.90        2.17767e+02        -1.29089e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.04453e-01 
 54.60        2.20537e+02        -1.26096e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.07045e-01 
 55.30        2.23306e+02        -1.22813e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.09662e-01 
 56.00        2.26073e+02        -1.19235e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.12306e-01 
 56.70        2.28838e+02        -1.15356e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.14976e-01 
 57.40        2.31601e+02        -1.11169e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.17672e-01 
 58.10        2.34362e+02        -1.06668e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.20393e-01 
 58.80        2.37122e+02        -1.01848e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.23139e-01 
 59.50        2.39879e+02        -9.67018e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.25910e-01 
 60.20        2.42634e+02        -9.12244e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.28707e-01 
 60.90        2.45388e+02        -8.54095e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.31527e-01 
 61.60        2.48139e+02        -7.92514e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.34373e-01 
 62.30        2.50888e+02        -7.27443e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.37243e-01 
 63.00        2.53636e+02        -6.58823e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.40136e-01 
 63.70        2.56381e+02        -5.86596e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.43054e-01 
 64.40        2.59124e+02        -5.10707e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.45995e-01 
 65.10        2.61865e+02        -4.31098e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.48959e-01 
 65.80        2.64603e+02        -3.47713e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.51947e-01 
 66.50        2.67340e+02        -2.60497e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.54958e-01 
 67.20        2.70074e+02        -1.69393e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.57991e-01 
 67.90        2.72806e+02        -7.43477e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.61047e-01 
 68.60        2.75535e+02        2.46939e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.64125e-01 
 69.30        2.78263e+02        1.27786e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.67226e-01 
 70.00        2.80988e+02        2.34981e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.70348e-01 
 70.70        2.83710e+02        3.46333e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.73492e-01 
 71.40        2.86430e+02        4.61894e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.76658e-01 
 72.10        2.89148e+02        5.81716e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.79844e-01 
 72.80        2.91863e+02        7.05850e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.83052e-01 
 73.50        2.94576e+02        8.34347e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.86281e-01 
 74.20        2.97286e+02        9.67258e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.89530e-01 
 74.90        2.99994e+02        1.10463e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.92799e-01 
 75.60        3.02699e+02        1.24652e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.96089e-01 
 76.30        3.05401e+02        1.39297e+00        0.00000e+00        0.00000e+00        0.00000e+00        1.99398e-01 
 77.00        3.08101e+02        1.54402e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.02728e-01 
 77.70        3.10798e+02        1.69974e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.06077e-01 
 78.40        3.13492e+02        1.86016e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.09445e-01 
 79.10        3.16184e+02        2.02532e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.12832e-01 
 79.80        3.18873e+02        2.19529e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.16238e-01 
 80.50        3.21559e+02        2.37009e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.19662e-01 
 81.20        3.24242e+02        2.54978e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.23105e-01 
 81.90        3.26922e+02        2.73439e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.26566e-01 
 82.60        3.29599e+02        2.92398e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.30045e-01 
 83.30        3.32273e+02        3.11858e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.33541e-01 
 84.00        3.34944e+02        3.31824e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.37055e-01 
 84.70        3.37612e+02        3.52300e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.40587e-01 
 85.40        3.40277e+02        3.73289e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.44135e-01 
 86.10        3.42939e+02        3.94796e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.47700e-01 
 86.80        3.45598e+02        4.16825e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.51282e-01 
 87.50        3.48253e+02        4.39379e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.54880e-01 
 88.20        3.50906e+02        4.62462e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.58495e-01 
 88.90        3.53555e+02        4.86078e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.62125e-01 
 89.60        3.56200e+02        5.10231e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.65771e-01 
 90.30        3.58843e+02        5.34924e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.69432e-01 
 91.00        3.61481e+02        5.60161e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.73109e-01 
 91.70        3.64117e+02        5.85944e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.76800e-01 
 92.40        3.66749e+02        6.12278e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.80507e-01 
 93.10        3.69378e+02        6.39165e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.84228e-01 
 93.80        3.72003e+02        6.66609e+00        0.00000e+00        0.00000e+00        0.00000e+00        2.87963e-01 
