#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        9.51482e-05        0.00000e+00        0.00000e+00        0.00000e+00        -2.05040e-06 
 1.40        4.11000e+00        1.92309e-04        0.00000e+00        0.00000e+00        0.00000e+00        -4.08511e-06 
 2.10        4.10816e+00        -2.72592e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.83951e-05 
 2.80        4.10632e+00        -5.70361e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.20365e-04 
 3.50        4.10448e+00        -8.73966e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.81832e-04 
 4.20        4.10265e+00        -1.18330e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.42805e-04 
 4.90        4.10081e+00        -1.49825e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.03291e-04 
 5.60        4.09898e+00        -1.81871e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.63298e-04 
 6.30        4.09715e+00        -2.14457e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.22834e-04 
 7.00        4.09531e+00        -2.47573e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.81905e-04 
 7.70        4.09348e+00        -2.81209e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.40518e-04 
 8.40        4.09164e+00        -3.15354e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.98681e-04 
 9.10        4.08980e+00        -3.49997e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.56399e-04 
 9.80        4.08796e+00        -3.85129e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.13678e-04 
 10.50        4.08612e+00        -4.20740e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.70525e-04 
 11.20        4.08427e+00        -4.56819e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.26945e-04 
