#Navio B MarAd
#Manobra de Curva Giro
#
#Valor do leme em rad
#temp     leme 
 0.00  0.00
 0.70  0.00
 1.40  -0.61
 2.10  -0.61
 2.80  -0.61
 3.50  -0.61
 4.20  -0.61
 4.90  -0.61
 5.60  -0.61
 6.30  -0.61
 7.00  -0.61
 7.70  -0.61
 8.40  -0.61
 9.10  -0.61
 9.80  -0.61
 10.50  -0.61
 11.20  -0.61
 11.90  -0.61
 12.60  -0.61
 13.30  -0.61
 14.00  -0.61
 14.70  -0.61
 15.40  -0.61
 16.10  -0.61
 16.80  -0.61
 17.50  -0.61
 18.20  -0.61
 18.90  -0.61
 19.60  -0.61
 20.30  -0.61
 21.00  -0.61
 21.70  -0.61
 22.40  -0.61
 23.10  -0.61
 23.80  -0.61
 24.50  -0.61
 25.20  -0.61
 25.90  -0.61
 26.60  -0.61
 27.30  -0.61
 28.00  -0.61
 28.70  -0.61
 29.40  -0.61
 30.10  -0.61
 30.80  -0.61
 31.50  -0.61
 32.20  -0.61
 32.90  -0.61
 33.60  -0.61
 34.30  -0.61
 35.00  -0.61
 35.70  -0.61
 36.40  -0.61
 37.10  -0.61
 37.80  -0.61
 38.50  -0.61
 39.20  -0.61
 39.90  -0.61
 40.60  -0.61
 41.30  -0.61
 42.00  -0.61
 42.70  -0.61
 43.40  -0.61
 44.10  -0.61
 44.80  -0.61
 45.50  -0.61
 46.20  -0.61
 46.90  -0.61
 47.60  -0.61
 48.30  -0.61
 49.00  -0.61
 49.70  -0.61
 50.40  -0.61
 51.10  -0.61
 51.80  -0.61
 52.50  -0.61
 53.20  -0.61
 53.90  -0.61
 54.60  -0.61
 55.30  -0.61
 56.00  -0.61
 56.70  -0.61
 57.40  -0.61
 58.10  -0.61
 58.80  -0.61
 59.50  -0.61
 60.20  -0.61
 60.90  -0.61
 61.60  -0.61
 62.30  -0.61
 63.00  -0.61
 63.70  -0.61
 64.40  -0.61
 65.10  -0.61
 65.80  -0.61
 66.50  -0.61
 67.20  -0.61
 67.90  -0.61
 68.60  -0.61
 69.30  -0.61
 70.00  -0.61
 70.70  -0.61
 71.40  -0.61
 72.10  -0.61
 72.80  -0.61
 73.50  -0.61
 74.20  -0.61
 74.90  -0.61
 75.60  -0.61
 76.30  -0.61
