#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        4.11000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        1.00576e-04        0.00000e+00 
 1.40        4.11000e+00        1.96938e-04        0.00000e+00 
 2.10        4.10816e+00        -2.63539e-03        0.00000e+00 
 2.80        4.10632e+00        -5.34873e-03        0.00000e+00 
 3.50        4.10449e+00        -7.94366e-03        0.00000e+00 
 4.20        4.10265e+00        -1.04207e-02        0.00000e+00 
 4.90        4.10082e+00        -1.27805e-02        0.00000e+00 
 5.60        4.09899e+00        -1.50235e-02        0.00000e+00 
 6.30        4.09717e+00        -1.71503e-02        0.00000e+00 
 7.00        4.09534e+00        -1.91612e-02        0.00000e+00 
 7.70        4.09352e+00        -2.10570e-02        0.00000e+00 
 8.40        4.09170e+00        -2.28379e-02        0.00000e+00 
 9.10        4.08988e+00        -2.45045e-02        0.00000e+00 
 9.80        4.08806e+00        -2.60573e-02        0.00000e+00 
 10.50        4.08624e+00        -2.74966e-02        0.00000e+00 
 11.20        4.08442e+00        -2.88230e-02        0.00000e+00 
 11.90        4.08260e+00        -3.00368e-02        0.00000e+00 
 12.60        4.08078e+00        -3.11385e-02        0.00000e+00 
 13.30        4.07896e+00        -3.21284e-02        0.00000e+00 
 14.00        4.07713e+00        -3.30071e-02        0.00000e+00 
 14.70        4.07531e+00        -3.37748e-02        0.00000e+00 
 15.40        4.07348e+00        -3.44320e-02        0.00000e+00 
 16.10        4.07165e+00        -3.49791e-02        0.00000e+00 
 16.80        4.06982e+00        -3.54164e-02        0.00000e+00 
 17.50        4.06799e+00        -3.57443e-02        0.00000e+00 
 18.20        4.06615e+00        -3.59631e-02        0.00000e+00 
 18.90        4.06430e+00        -3.60734e-02        0.00000e+00 
 19.60        4.06246e+00        -3.60753e-02        0.00000e+00 
 20.30        4.06060e+00        -3.59693e-02        0.00000e+00 
 21.00        4.05874e+00        -3.57558e-02        0.00000e+00 
 21.70        4.05688e+00        -3.54350e-02        0.00000e+00 
 22.40        4.05501e+00        -3.50074e-02        0.00000e+00 
 23.10        4.05313e+00        -3.44733e-02        0.00000e+00 
 23.80        4.05124e+00        -3.38331e-02        0.00000e+00 
 24.50        4.04935e+00        -3.30871e-02        0.00000e+00 
 25.20        4.04745e+00        -3.22356e-02        0.00000e+00 
 25.90        4.04554e+00        -3.12791e-02        0.00000e+00 
 26.60        4.04362e+00        -3.02179e-02        0.00000e+00 
 27.30        4.04168e+00        -2.90523e-02        0.00000e+00 
 28.00        4.03974e+00        -2.77828e-02        0.00000e+00 
 28.70        4.03779e+00        -2.64096e-02        0.00000e+00 
 29.40        4.03582e+00        -2.49332e-02        0.00000e+00 
 30.10        4.03384e+00        -2.33539e-02        0.00000e+00 
 30.80        4.03185e+00        -2.16722e-02        0.00000e+00 
 31.50        4.02985e+00        -1.98883e-02        0.00000e+00 
 32.20        4.02783e+00        -1.80027e-02        0.00000e+00 
 32.90        4.02580e+00        -1.60158e-02        0.00000e+00 
 33.60        4.02375e+00        -1.39279e-02        0.00000e+00 
 34.30        4.02168e+00        -1.17395e-02        0.00000e+00 
 35.00        4.01960e+00        -9.45098e-03        0.00000e+00 
 35.70        4.01750e+00        -7.06275e-03        0.00000e+00 
 36.40        4.01539e+00        -4.57524e-03        0.00000e+00 
 37.10        4.01325e+00        -1.98887e-03        0.00000e+00 
 37.80        4.01110e+00        6.95917e-04        0.00000e+00 
 38.50        4.00892e+00        3.47868e-03        0.00000e+00 
 39.20        4.00673e+00        6.35896e-03        0.00000e+00 
 39.90        4.00451e+00        9.33631e-03        0.00000e+00 
 40.60        4.00228e+00        1.24102e-02        0.00000e+00 
 41.30        4.00002e+00        1.55803e-02        0.00000e+00 
 42.00        3.99774e+00        1.88460e-02        0.00000e+00 
 42.70        3.99543e+00        2.22068e-02        0.00000e+00 
 43.40        3.99310e+00        2.56623e-02        0.00000e+00 
 44.10        3.99075e+00        2.92119e-02        0.00000e+00 
 44.80        3.98837e+00        3.28551e-02        0.00000e+00 
 45.50        3.98597e+00        3.65913e-02        0.00000e+00 
 46.20        3.98354e+00        4.04201e-02        0.00000e+00 
 46.90        3.98108e+00        4.43409e-02        0.00000e+00 
 47.60        3.97859e+00        4.83530e-02        0.00000e+00 
 48.30        3.97608e+00        5.24560e-02        0.00000e+00 
 49.00        3.97353e+00        5.66493e-02        0.00000e+00 
 49.70        3.97096e+00        6.09322e-02        0.00000e+00 
 50.40        3.96836e+00        6.53042e-02        0.00000e+00 
 51.10        3.96573e+00        6.97646e-02        0.00000e+00 
 51.80        3.96306e+00        7.43129e-02        0.00000e+00 
 52.50        3.96036e+00        7.89483e-02        0.00000e+00 
 53.20        3.95763e+00        8.36703e-02        0.00000e+00 
 53.90        3.95487e+00        8.84781e-02        0.00000e+00 
 54.60        3.95207e+00        9.33712e-02        0.00000e+00 
 55.30        3.94924e+00        9.83488e-02        0.00000e+00 
 56.00        3.94637e+00        1.03410e-01        0.00000e+00 
 56.70        3.94347e+00        1.08555e-01        0.00000e+00 
 57.40        3.94053e+00        1.13782e-01        0.00000e+00 
 58.10        3.93756e+00        1.19090e-01        0.00000e+00 
 58.80        3.93455e+00        1.24480e-01        0.00000e+00 
 59.50        3.93150e+00        1.29950e-01        0.00000e+00 
 60.20        3.92841e+00        1.35499e-01        0.00000e+00 
 60.90        3.92528e+00        1.41128e-01        0.00000e+00 
 61.60        3.92211e+00        1.46834e-01        0.00000e+00 
 62.30        3.91890e+00        1.52617e-01        0.00000e+00 
 63.00        3.91566e+00        1.58476e-01        0.00000e+00 
 63.70        3.91237e+00        1.64411e-01        0.00000e+00 
 64.40        3.90904e+00        1.70421e-01        0.00000e+00 
 65.10        3.90567e+00        1.76504e-01        0.00000e+00 
 65.80        3.90225e+00        1.82661e-01        0.00000e+00 
 66.50        3.89879e+00        1.88890e-01        0.00000e+00 
 67.20        3.89529e+00        1.95190e-01        0.00000e+00 
 67.90        3.89174e+00        2.01561e-01        0.00000e+00 
 68.60        3.88815e+00        2.08001e-01        0.00000e+00 
 69.30        3.88452e+00        2.14510e-01        0.00000e+00 
 70.00        3.88084e+00        2.21087e-01        0.00000e+00 
 70.70        3.87711e+00        2.27731e-01        0.00000e+00 
 71.40        3.87334e+00        2.34440e-01        0.00000e+00 
 72.10        3.86952e+00        2.41215e-01        0.00000e+00 
 72.80        3.86565e+00        2.48054e-01        0.00000e+00 
 73.50        3.86174e+00        2.54956e-01        0.00000e+00 
 74.20        3.85778e+00        2.61920e-01        0.00000e+00 
 74.90        3.85377e+00        2.68946e-01        0.00000e+00 
 75.60        3.84971e+00        2.76032e-01        0.00000e+00 
 76.30        3.84560e+00        2.83177e-01        0.00000e+00 
 77.00        3.84144e+00        2.90381e-01        0.00000e+00 
