#Navio B MarAd
#Manobra de Curva Giro
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        1.58928e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.47517e-06 
 0.70        -5.57493e-10        1.62345e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.44836e-06 
 1.40        -2.63165e-03        -4.10040e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.90998e-05 
 2.10        -2.62759e-03        -4.18562e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.83681e-05 
 2.80        -2.62428e-03        -4.26923e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.76478e-05 
 3.50        -2.62174e-03        -4.35124e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.69387e-05 
 4.20        -2.61998e-03        -4.43167e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.62402e-05 
 4.90        -2.61900e-03        -4.51052e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.55521e-05 
 5.60        -2.61881e-03        -4.58781e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.48740e-05 
 6.30        -2.61943e-03        -4.66356e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.42055e-05 
 7.00        -2.62085e-03        -4.73777e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.35464e-05 
 7.70        -2.62309e-03        -4.81045e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.28963e-05 
 8.40        -2.62616e-03        -4.88163e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.22549e-05 
 9.10        -2.63005e-03        -4.95130e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.16218e-05 
 9.80        -2.63478e-03        -5.01948e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.09969e-05 
 10.50        -2.64034e-03        -5.08619e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.03797e-05 
 11.20        -2.64675e-03        -5.15143e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.97701e-05 
 11.90        -2.65400e-03        -5.21521e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.91677e-05 
 12.60        -2.66210e-03        -5.27754e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.85722e-05 
 13.30        -2.67106e-03        -5.33844e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.79835e-05 
 14.00        -2.68086e-03        -5.39790e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.74011e-05 
 14.70        -2.69152e-03        -5.45595e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.68250e-05 
 15.40        -2.70303e-03        -5.51259e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.62548e-05 
 16.10        -2.71540e-03        -5.56782e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.56903e-05 
 16.80        -2.72862e-03        -5.62167e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.51313e-05 
 17.50        -2.74270e-03        -5.67413e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.45775e-05 
 18.20        -2.75762e-03        -5.72522e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.40288e-05 
 18.90        -2.77340e-03        -5.77494e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.34848e-05 
 19.60        -2.79003e-03        -5.82331e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.29455e-05 
 20.30        -2.80750e-03        -5.87033e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.24106e-05 
 21.00        -2.82581e-03        -5.91600e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.18799e-05 
 21.70        -2.84496e-03        -5.96034e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.13532e-05 
 22.40        -2.86495e-03        -6.00336e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.08303e-05 
 23.10        -2.88577e-03        -6.04506e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.03111e-05 
 23.80        -2.90741e-03        -6.08546e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.97954e-05 
 24.50        -2.92987e-03        -6.12455e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.92830e-05 
 25.20        -2.95315e-03        -6.16235e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.87738e-05 
 25.90        -2.97724e-03        -6.19886e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.82675e-05 
 26.60        -3.00213e-03        -6.23410e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.77641e-05 
 27.30        -3.02781e-03        -6.26806e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.72634e-05 
 28.00        -3.05428e-03        -6.30077e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.67653e-05 
 28.70        -3.08154e-03        -6.33222e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.62696e-05 
 29.40        -3.10957e-03        -6.36243e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.57761e-05 
 30.10        -3.13836e-03        -6.39139e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.52848e-05 
 30.80        -3.16791e-03        -6.41913e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.47956e-05 
 31.50        -3.19821e-03        -6.44565e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.43082e-05 
 32.20        -3.22924e-03        -6.47095e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.38227e-05 
 32.90        -3.26101e-03        -6.49504e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.33389e-05 
 33.60        -3.29349e-03        -6.51793e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.28566e-05 
 34.30        -3.32669e-03        -6.53964e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.23758e-05 
 35.00        -3.36058e-03        -6.56016e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.18965e-05 
 35.70        -3.39516e-03        -6.57951e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.14184e-05 
 36.40        -3.43042e-03        -6.59769e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.09415e-05 
 37.10        -3.46634e-03        -6.61471e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.04658e-05 
 37.80        -3.50292e-03        -6.63059e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.99911e-05 
 38.50        -3.54015e-03        -6.64532e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.95174e-05 
 39.20        -3.57800e-03        -6.65893e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.90446e-05 
 39.90        -3.61647e-03        -6.67141e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.85726e-05 
 40.60        -3.65555e-03        -6.68277e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.81013e-05 
 41.30        -3.69522e-03        -6.69303e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.76308e-05 
 42.00        -3.73547e-03        -6.70219e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.71609e-05 
 42.70        -3.77629e-03        -6.71026e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.66917e-05 
 43.40        -3.81767e-03        -6.71726e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.62229e-05 
 44.10        -3.85958e-03        -6.72318e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.57547e-05 
 44.80        -3.90202e-03        -6.72804e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.52869e-05 
 45.50        -3.94497e-03        -6.73186e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.48195e-05 
 46.20        -3.98843e-03        -6.73463e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.43525e-05 
 46.90        -4.03236e-03        -6.73637e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.38858e-05 
 47.60        -4.07677e-03        -6.73708e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.34195e-05 
 48.30        -4.12164e-03        -6.73679e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.29534e-05 
 49.00        -4.16694e-03        -6.73549e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.24876e-05 
 49.70        -4.21267e-03        -6.73320e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.20220e-05 
 50.40        -4.25881e-03        -6.72993e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.15566e-05 
 51.10        -4.30535e-03        -6.72568e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.10915e-05 
 51.80        -4.35227e-03        -6.72048e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.06265e-05 
 52.50        -4.39955e-03        -6.71432e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.01617e-05 
 53.20        -4.44719e-03        -6.70722e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.96970e-05 
 53.90        -4.49516e-03        -6.69919e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.92325e-05 
 54.60        -4.54345e-03        -6.69025e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.87682e-05 
 55.30        -4.59205e-03        -6.68039e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.83040e-05 
 56.00        -4.64093e-03        -6.66964e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.78399e-05 
 56.70        -4.69008e-03        -6.65800e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.73760e-05 
 57.40        -4.73950e-03        -6.64548e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.69123e-05 
 58.10        -4.78915e-03        -6.63210e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.64487e-05 
 58.80        -4.83903e-03        -6.61787e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.59853e-05 
 59.50        -4.88912e-03        -6.60280e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.55221e-05 
 60.20        -4.93940e-03        -6.58689e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.50591e-05 
 60.90        -4.98986e-03        -6.57017e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.45963e-05 
 61.60        -5.04048e-03        -6.55264e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.41337e-05 
 62.30        -5.09125e-03        -6.53432e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.36713e-05 
 63.00        -5.14216e-03        -6.51521e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.32093e-05 
 63.70        -5.19317e-03        -6.49533e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.27475e-05 
 64.40        -5.24429e-03        -6.47469e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.22860e-05 
 65.10        -5.29549e-03        -6.45331e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.18248e-05 
 65.80        -5.34676e-03        -6.43119e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.13640e-05 
 66.50        -5.39808e-03        -6.40834e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.09036e-05 
 67.20        -5.44944e-03        -6.38479e-03        0.00000e+00        0.00000e+00        0.00000e+00        4.04436e-05 
 67.90        -5.50082e-03        -6.36053e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.99841e-05 
 68.60        -5.55220e-03        -6.33559e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.95250e-05 
 69.30        -5.60358e-03        -6.30998e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.90664e-05 
 70.00        -5.65494e-03        -6.28370e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.86084e-05 
 70.70        -5.70626e-03        -6.25677e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.81509e-05 
 71.40        -5.75752e-03        -6.22921e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.76940e-05 
 72.10        -5.80872e-03        -6.20102e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.72378e-05 
 72.80        -5.85983e-03        -6.17222e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.67822e-05 
 73.50        -5.91085e-03        -6.14282e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.63274e-05 
 74.20        -5.96176e-03        -6.11283e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.58732e-05 
 74.90        -6.01254e-03        -6.08226e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.54199e-05 
 75.60        -6.06318e-03        -6.05114e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.49674e-05 
 76.30        -6.11367e-03        -6.01946e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.45158e-05 
 77.00        -6.16399e-03        -5.98725e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.40650e-05 
 77.70        -6.21413e-03        -5.95451e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.36153e-05 
 78.40        -6.26407e-03        -5.92126e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.31664e-05 
 79.10        -6.31381e-03        -5.88751e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.27187e-05 
 79.80        -6.36333e-03        -5.85328e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.22719e-05 
 80.50        -6.41262e-03        -5.81856e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.18263e-05 
 81.20        -6.46166e-03        -5.78339e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.13818e-05 
 81.90        -6.51044e-03        -5.74777e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.09386e-05 
 82.60        -6.55895e-03        -5.71170e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.04965e-05 
 83.30        -6.60718e-03        -5.67522e-03        0.00000e+00        0.00000e+00        0.00000e+00        3.00557e-05 
 84.00        -6.65511e-03        -5.63832e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.96163e-05 
 84.70        -6.70274e-03        -5.60102e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.91782e-05 
 85.40        -6.75005e-03        -5.56333e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.87415e-05 
 86.10        -6.79703e-03        -5.52526e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.83062e-05 
 86.80        -6.84367e-03        -5.48683e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.78724e-05 
 87.50        -6.88996e-03        -5.44805e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.74401e-05 
 88.20        -6.93589e-03        -5.40892e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.70094e-05 
 88.90        -6.98145e-03        -5.36947e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.65803e-05 
 89.60        -7.02663e-03        -5.32971e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.61529e-05 
 90.30        -7.07141e-03        -5.28963e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.57271e-05 
 91.00        -7.11580e-03        -5.24927e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.53031e-05 
 91.70        -7.15977e-03        -5.20862e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.48808e-05 
 92.40        -7.20333e-03        -5.16770e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.44603e-05 
 93.10        -7.24645e-03        -5.12653e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.40417e-05 
 93.80        -7.28914e-03        -5.08510e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.36250e-05 
 94.50        -7.33139e-03        -5.04344e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.32101e-05 
 95.20        -7.37318e-03        -5.00156e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.27973e-05 
 95.90        -7.41451e-03        -4.95946e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.23864e-05 
 96.60        -7.45536e-03        -4.91716e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.19776e-05 
 97.30        -7.49575e-03        -4.87467e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.15708e-05 
 98.00        -7.53564e-03        -4.83200e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.11662e-05 
 98.70        -7.57505e-03        -4.78916e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.07637e-05 
 99.40        -7.61396e-03        -4.74616e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.03633e-05 
 100.10        -7.65236e-03        -4.70300e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.99652e-05 
 100.80        -7.69026e-03        -4.65971e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.95693e-05 
 101.50        -7.72763e-03        -4.61629e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.91757e-05 
 102.20        -7.76449e-03        -4.57276e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.87844e-05 
 102.90        -7.80082e-03        -4.52911e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.83954e-05 
 103.60        -7.83661e-03        -4.48536e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.80088e-05 
 104.30        -7.87187e-03        -4.44153e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.76246e-05 
 105.00        -7.90658e-03        -4.39761e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.72428e-05 
 105.70        -7.94074e-03        -4.35363e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.68635e-05 
 106.40        -7.97436e-03        -4.30958e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.64866e-05 
 107.10        -8.00741e-03        -4.26549e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.61123e-05 
 107.80        -8.03991e-03        -4.22135e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.57405e-05 
