#Navio B MarAd
#Manobra de Curva Giro
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        2.87700e+00        7.87135e-05        0.00000e+00        0.00000e+00        0.00000e+00        -8.49215e-07 
 1.40        5.75400e+00        2.35362e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.38815e-06 
 2.10        8.62971e+00        -1.64543e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.50018e-05 
 2.80        1.15041e+01        -5.54487e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.66926e-05 
 3.50        1.43773e+01        -1.13792e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.81331e-04 
 4.20        1.72491e+01        -1.90649e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.28570e-04 
 4.90        2.01197e+01        -2.85191e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.18067e-04 
 5.60        2.29890e+01        -3.96592e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.49485e-04 
 6.30        2.58570e+01        -5.24029e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.02249e-03 
 7.00        2.87238e+01        -6.66683e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.33676e-03 
 7.70        3.15892e+01        -8.23739e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.69197e-03 
 8.40        3.44534e+01        -9.94384e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.08779e-03 
 9.10        3.73163e+01        -1.17781e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.52392e-03 
 9.80        4.01779e+01        -1.37321e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.00005e-03 
 10.50        4.30383e+01        -1.57979e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.51586e-03 
 11.20        4.58974e+01        -1.79674e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.07106e-03 
 11.90        4.87552e+01        -2.02326e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.66535e-03 
 12.60        5.16117e+01        -2.25857e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.29843e-03 
 13.30        5.44669e+01        -2.50188e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.97001e-03 
 14.00        5.73209e+01        -2.75239e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.67981e-03 
 14.70        6.01736e+01        -3.00933e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.42753e-03 
 15.40        6.30250e+01        -3.27190e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.21289e-03 
 16.10        6.58751e+01        -3.53934e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.03562e-03 
 16.80        6.87240e+01        -3.81086e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.89544e-03 
 17.50        7.15715e+01        -4.08570e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.07921e-02 
 18.20        7.44177e+01        -4.36307e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.17253e-02 
 18.90        7.72627e+01        -4.64222e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.26947e-02 
 19.60        8.01063e+01        -4.92238e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.37002e-02 
 20.30        8.29487e+01        -5.20277e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.47414e-02 
 21.00        8.57897e+01        -5.48265e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.58180e-02 
 21.70        8.86294e+01        -5.76126e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.69300e-02 
 22.40        9.14678e+01        -6.03783e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.80768e-02 
 23.10        9.43049e+01        -6.31162e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.92584e-02 
 23.80        9.71406e+01        -6.58188e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.04744e-02 
 24.50        9.99750e+01        -6.84785e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.17247e-02 
 25.20        1.02808e+02        -7.10880e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.30088e-02 
 25.90        1.05640e+02        -7.36398e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.43267e-02 
 26.60        1.08470e+02        -7.61264e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.56780e-02 
 27.30        1.11299e+02        -7.85406e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.70626e-02 
 28.00        1.14127e+02        -8.08750e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.84801e-02 
 28.70        1.16953e+02        -8.31222e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.99303e-02 
 29.40        1.19778e+02        -8.52750e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.14129e-02 
 30.10        1.22601e+02        -8.73261e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.29278e-02 
 30.80        1.25423e+02        -8.92683e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.44747e-02 
 31.50        1.28244e+02        -9.10942e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.60534e-02 
 32.20        1.31063e+02        -9.27969e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.76635e-02 
