#Navio B MarAd
#Manobra de Curva Giro
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        1.22252e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.67321e-06 
 0.70        -2.52947e-10        1.24881e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.65259e-06 
 1.40        -3.15797e-03        -4.99187e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.08394e-04 
 2.10        -3.15364e-03        -5.09500e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.07493e-04 
 2.80        -3.15017e-03        -5.19610e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.06607e-04 
 3.50        -3.14756e-03        -5.29517e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.05733e-04 
 4.20        -3.14583e-03        -5.39225e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.04873e-04 
 4.90        -3.14499e-03        -5.48734e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.04025e-04 
 5.60        -3.14505e-03        -5.58046e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.03190e-04 
 6.30        -3.14601e-03        -5.67164e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.02366e-04 
 7.00        -3.14789e-03        -5.76087e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.01553e-04 
 7.70        -3.15070e-03        -5.84819e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.00751e-04 
 8.40        -3.15443e-03        -5.93361e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.99600e-05 
 9.10        -3.15910e-03        -6.01713e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.91788e-05 
 9.80        -3.16472e-03        -6.09878e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.84073e-05 
 10.50        -3.17128e-03        -6.17856e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.76452e-05 
 11.20        -3.17879e-03        -6.25650e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.68922e-05 
 11.90        -3.18725e-03        -6.33259e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.61478e-05 
 12.60        -3.19667e-03        -6.40687e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.54118e-05 
 13.30        -3.20705e-03        -6.47934e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.46838e-05 
 14.00        -3.21839e-03        -6.55000e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.39635e-05 
 14.70        -3.23069e-03        -6.61889e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.32507e-05 
 15.40        -3.24395e-03        -6.68599e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.25449e-05 
 16.10        -3.25817e-03        -6.75134e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.18460e-05 
 16.80        -3.27335e-03        -6.81493e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.11536e-05 
 17.50        -3.28949e-03        -6.87678e-03        0.00000e+00        0.00000e+00        0.00000e+00        9.04674e-05 
