#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.64984e-05        0.00000e+00        0.00000e+00        0.00000e+00        -1.86400e-06 
 1.40        4.11000e+00        1.74827e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.71374e-06 
 2.10        4.10779e+00        -3.35570e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.18460e-05 
 2.80        4.10558e+00        -6.95770e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.46780e-04 
 3.50        4.10338e+00        -1.06298e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.21098e-04 
 4.20        4.10118e+00        -1.43705e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.94810e-04 
 4.90        4.09898e+00        -1.81784e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.67924e-04 
 5.60        4.09677e+00        -2.20523e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.40449e-04 
 6.30        4.09457e+00        -2.59906e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.12392e-04 
 7.00        4.09237e+00        -2.99921e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.83763e-04 
 7.70        4.09017e+00        -3.40554e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.54569e-04 
 8.40        4.08796e+00        -3.81791e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.24818e-04 
 9.10        4.08575e+00        -4.23620e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.94516e-04 
 9.80        4.08354e+00        -4.66027e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.63670e-04 
 10.50        4.08132e+00        -5.08999e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.32288e-04 
 11.20        4.07910e+00        -5.52522e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.00038e-03 
 11.90        4.07687e+00        -5.96585e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.06794e-03 
 12.60        4.07463e+00        -6.41174e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.13498e-03 
 13.30        4.07239e+00        -6.86277e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.20152e-03 
 14.00        4.07014e+00        -7.31881e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.26754e-03 
 14.70        4.06789e+00        -7.77973e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.33307e-03 
 15.40        4.06562e+00        -8.24541e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.39810e-03 
 16.10        4.06334e+00        -8.71573e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.46263e-03 
 16.80        4.06106e+00        -9.19056e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.52668e-03 
 17.50        4.05876e+00        -9.66978e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.59025e-03 
 18.20        4.05645e+00        -1.01533e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.65334e-03 
 18.90        4.05413e+00        -1.06409e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.71595e-03 
 19.60        4.05180e+00        -1.11326e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.77810e-03 
 20.30        4.04945e+00        -1.16281e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.83978e-03 
 21.00        4.04709e+00        -1.21275e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.90099e-03 
 21.70        4.04471e+00        -1.26306e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.96175e-03 
 22.40        4.04232e+00        -1.31372e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.02205e-03 
 23.10        4.03991e+00        -1.36472e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.08189e-03 
 23.80        4.03749e+00        -1.41606e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.14129e-03 
 24.50        4.03504e+00        -1.46771e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.20024e-03 
 25.20        4.03258e+00        -1.51968e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.25874e-03 
 25.90        4.03010e+00        -1.57194e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.31680e-03 
 26.60        4.02760e+00        -1.62450e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.37443e-03 
 27.30        4.02508e+00        -1.67732e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.43161e-03 
 28.00        4.02254e+00        -1.73042e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.48836e-03 
 28.70        4.01998e+00        -1.78376e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.54468e-03 
 29.40        4.01740e+00        -1.83735e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.60056e-03 
 30.10        4.01479e+00        -1.89117e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.65602e-03 
 30.80        4.01216e+00        -1.94522e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.71104e-03 
 31.50        4.00951e+00        -1.99947e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.76565e-03 
 32.20        4.00683e+00        -2.05392e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.81982e-03 
 32.90        4.00413e+00        -2.10856e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.87357e-03 
 33.60        4.00141e+00        -2.16338e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.92691e-03 
 34.30        3.99865e+00        -2.21837e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.97982e-03 
 35.00        3.99587e+00        -2.27351e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.03231e-03 
 35.70        3.99307e+00        -2.32880e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.08438e-03 
 36.40        3.99023e+00        -2.38423e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.13603e-03 
 37.10        3.98737e+00        -2.43979e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.18727e-03 
 37.80        3.98448e+00        -2.49546e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.23809e-03 
 38.50        3.98156e+00        -2.55124e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.28850e-03 
 39.20        3.97862e+00        -2.60712e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.33849e-03 
 39.90        3.97564e+00        -2.66308e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.38807e-03 
 40.60        3.97263e+00        -2.71912e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.43724e-03 
 41.30        3.96959e+00        -2.77523e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.48599e-03 
 42.00        3.96652e+00        -2.83139e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.53433e-03 
 42.70        3.96342e+00        -2.88761e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.58227e-03 
 43.40        3.96028e+00        -2.94386e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.62979e-03 
 44.10        3.95711e+00        -3.00015e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.67690e-03 
 44.80        3.95391e+00        -3.05645e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.72360e-03 
 45.50        3.95068e+00        -3.11277e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.76989e-03 
 46.20        3.94741e+00        -3.16908e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.81577e-03 
 46.90        3.94411e+00        -3.22540e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.86124e-03 
 47.60        3.94077e+00        -3.28169e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.90631e-03 
 48.30        3.93740e+00        -3.33796e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.95096e-03 
