#Navio B MarAd
#Manobra de Curva Giro
#
#Beta 
#
#temp      rot 
 0.00  -0.00
 0.70  -0.00
 1.40  -0.00
 2.10  0.00
 2.80  0.00
 3.50  0.00
 4.20  0.00
 4.90  0.00
 5.60  0.01
 6.30  0.01
 7.00  0.01
 7.70  0.01
 8.40  0.01
 9.10  0.01
 9.80  0.01
 10.50  0.01
 11.20  0.01
 11.90  0.02
 12.60  0.02
 13.30  0.02
 14.00  0.02
 14.70  0.02
 15.40  0.02
 16.10  0.02
 16.80  0.02
 17.50  0.03
 18.20  0.03
 18.90  0.03
 19.60  0.03
 20.30  0.03
 21.00  0.03
 21.70  0.03
 22.40  0.04
 23.10  0.04
 23.80  0.04
 24.50  0.04
 25.20  0.04
 25.90  0.04
 26.60  0.04
 27.30  0.05
 28.00  0.05
 28.70  0.05
 29.40  0.05
 30.10  0.05
 30.80  0.05
 31.50  0.05
 32.20  0.06
 32.90  0.06
 33.60  0.06
 34.30  0.06
 35.00  0.06
 35.70  0.06
 36.40  0.06
 37.10  0.07
 37.80  0.07
 38.50  0.07
 39.20  0.07
 39.90  0.07
 40.60  0.07
 41.30  0.08
 42.00  0.08
 42.70  0.08
 43.40  0.08
 44.10  0.08
 44.80  0.08
 45.50  0.08
 46.20  0.09
 46.90  0.09
 47.60  0.09
 48.30  0.09
 49.00  0.09
 49.70  0.09
 50.40  0.10
 51.10  0.10
 51.80  0.10
 52.50  0.10
 53.20  0.10
 53.90  0.10
 54.60  0.11
 55.30  0.11
 56.00  0.11
 56.70  0.11
 57.40  0.11
 58.10  0.11
 58.80  0.12
 59.50  0.12
 60.20  0.12
 60.90  0.12
 61.60  0.12
 62.30  0.12
 63.00  0.12
 63.70  0.13
 64.40  0.13
 65.10  0.13
 65.80  0.13
 66.50  0.13
 67.20  0.13
 67.90  0.14
 68.60  0.14
 69.30  0.14
 70.00  0.14
 70.70  0.14
 71.40  0.14
 72.10  0.15
 72.80  0.15
 73.50  0.15
 74.20  0.15
 74.90  0.15
 75.60  0.15
 76.30  0.15
 77.00  0.16
 77.70  0.16
 78.40  0.16
 79.10  0.16
 79.80  0.16
 80.50  0.16
 81.20  0.17
 81.90  0.17
 82.60  0.17
 83.30  0.17
 84.00  0.17
 84.70  0.17
