#Navio B MarAd
#Manobra de Curva Giro
#
#Posição e Orientação
#
#temp           x           y           z        roll       pitch         yaw 
 0.00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        2.87700e+00        6.05489e-05        0.00000e+00        0.00000e+00        0.00000e+00        -6.53242e-07 
 1.40        5.75400e+00        1.81048e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.60627e-06 
 2.10        8.62932e+00        -2.38657e-03        0.00000e+00        0.00000e+00        0.00000e+00        2.35368e-05 
 2.80        1.15030e+01        -7.61568e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.06845e-04 
 3.50        1.43750e+01        -1.53952e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.46844e-04 
 4.20        1.72453e+01        -2.56147e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.43065e-04 
 4.90        2.01139e+01        -3.81640e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.95048e-04 
 5.60        2.29809e+01        -5.29338e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.00234e-03 
 6.30        2.58462e+01        -6.98150e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.36448e-03 
 7.00        2.87099e+01        -8.86991e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.78104e-03 
 7.70        3.15719e+01        -1.09478e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.25158e-03 
 8.40        3.44322e+01        -1.32045e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.77566e-03 
 9.10        3.72909e+01        -1.56291e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.35287e-03 
 9.80        4.01479e+01        -1.82111e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.98277e-03 
 10.50        4.30033e+01        -2.09399e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.66495e-03 
 11.20        4.58570e+01        -2.38048e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.39900e-03 
 11.90        4.87091e+01        -2.67954e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.18451e-03 
 12.60        5.15595e+01        -2.99011e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.02109e-03 
 13.30        5.44083e+01        -3.31114e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.90832e-03 
 14.00        5.72554e+01        -3.64160e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.84582e-03 
 14.70        6.01008e+01        -3.98045e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.83319e-03 
 15.40        6.29446e+01        -4.32666e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.08700e-02 
 16.10        6.57867e+01        -4.67919e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.19560e-02 
