#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Inercial
#
#temp           u           v           r
 0.00        4.11000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.38136e-05        0.00000e+00 
 1.40        4.11000e+00        1.64115e-04        0.00000e+00 
 2.10        4.10761e+00        -3.56063e-03        0.00000e+00 
 2.80        4.10522e+00        -7.12817e-03        0.00000e+00 
 3.50        4.10283e+00        -1.05393e-02        0.00000e+00 
 4.20        4.10045e+00        -1.37946e-02        0.00000e+00 
 4.90        4.09807e+00        -1.68950e-02        0.00000e+00 
 5.60        4.09569e+00        -1.98411e-02        0.00000e+00 
 6.30        4.09332e+00        -2.26336e-02        0.00000e+00 
 7.00        4.09095e+00        -2.52732e-02        0.00000e+00 
 7.70        4.08858e+00        -2.77605e-02        0.00000e+00 
 8.40        4.08622e+00        -3.00962e-02        0.00000e+00 
 9.10        4.08385e+00        -3.22809e-02        0.00000e+00 
 9.80        4.08149e+00        -3.43152e-02        0.00000e+00 
 10.50        4.07913e+00        -3.61997e-02        0.00000e+00 
 11.20        4.07677e+00        -3.79350e-02        0.00000e+00 
 11.90        4.07441e+00        -3.95217e-02        0.00000e+00 
 12.60        4.07205e+00        -4.09603e-02        0.00000e+00 
 13.30        4.06969e+00        -4.22515e-02        0.00000e+00 
 14.00        4.06733e+00        -4.33957e-02        0.00000e+00 
 14.70        4.06497e+00        -4.43935e-02        0.00000e+00 
 15.40        4.06260e+00        -4.52456e-02        0.00000e+00 
 16.10        4.06023e+00        -4.59523e-02        0.00000e+00 
 16.80        4.05786e+00        -4.65142e-02        0.00000e+00 
 17.50        4.05549e+00        -4.69319e-02        0.00000e+00 
 18.20        4.05311e+00        -4.72059e-02        0.00000e+00 
 18.90        4.05073e+00        -4.73368e-02        0.00000e+00 
 19.60        4.04834e+00        -4.73249e-02        0.00000e+00 
 20.30        4.04594e+00        -4.71709e-02        0.00000e+00 
 21.00        4.04354e+00        -4.68754e-02        0.00000e+00 
 21.70        4.04114e+00        -4.64387e-02        0.00000e+00 
 22.40        4.03872e+00        -4.58614e-02        0.00000e+00 
 23.10        4.03629e+00        -4.51442e-02        0.00000e+00 
 23.80        4.03386e+00        -4.42874e-02        0.00000e+00 
 24.50        4.03142e+00        -4.32917e-02        0.00000e+00 
 25.20        4.02896e+00        -4.21575e-02        0.00000e+00 
 25.90        4.02649e+00        -4.08855e-02        0.00000e+00 
 26.60        4.02401e+00        -3.94762e-02        0.00000e+00 
 27.30        4.02152e+00        -3.79301e-02        0.00000e+00 
 28.00        4.01901e+00        -3.62479e-02        0.00000e+00 
 28.70        4.01649e+00        -3.44300e-02        0.00000e+00 
 29.40        4.01396e+00        -3.24771e-02        0.00000e+00 
 30.10        4.01140e+00        -3.03897e-02        0.00000e+00 
 30.80        4.00883e+00        -2.81686e-02        0.00000e+00 
 31.50        4.00624e+00        -2.58142e-02        0.00000e+00 
 32.20        4.00364e+00        -2.33272e-02        0.00000e+00 
 32.90        4.00101e+00        -2.07083e-02        0.00000e+00 
 33.60        3.99836e+00        -1.79580e-02        0.00000e+00 
 34.30        3.99569e+00        -1.50771e-02        0.00000e+00 
 35.00        3.99300e+00        -1.20662e-02        0.00000e+00 
 35.70        3.99029e+00        -8.92603e-03        0.00000e+00 
 36.40        3.98755e+00        -5.65724e-03        0.00000e+00 
 37.10        3.98479e+00        -2.26056e-03        0.00000e+00 
 37.80        3.98200e+00        1.26327e-03        0.00000e+00 
 38.50        3.97919e+00        4.91353e-03        0.00000e+00 
 39.20        3.97634e+00        8.68946e-03        0.00000e+00 
 39.90        3.97347e+00        1.25903e-02        0.00000e+00 
