#Navio B MarAd
#Manobra de Curva Giro
#
#Velocidade Sistema Solidário 
#
#temp           u           v           w    dot roll   dot pitch     dot yaw 
 0.00        4.11000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00        0.00000e+00 
 0.70        4.11000e+00        8.66015e-05        0.00000e+00        0.00000e+00        0.00000e+00        -1.86288e-06 
 1.40        4.11000e+00        1.75236e-04        0.00000e+00        0.00000e+00        0.00000e+00        -3.70930e-06 
 2.10        4.10816e+00        -2.75507e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.89211e-05 
 2.80        4.10632e+00        -5.75183e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.20966e-04 
 3.50        4.10448e+00        -8.81377e-03        0.00000e+00        0.00000e+00        0.00000e+00        1.82435e-04 
 4.20        4.10265e+00        -1.19396e-02        0.00000e+00        0.00000e+00        0.00000e+00        2.43339e-04 
 4.90        4.10081e+00        -1.51282e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.03688e-04 
 5.60        4.09898e+00        -1.83781e-02        0.00000e+00        0.00000e+00        0.00000e+00        3.63492e-04 
 6.30        4.09714e+00        -2.16883e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.22761e-04 
 7.00        4.09531e+00        -2.50576e-02        0.00000e+00        0.00000e+00        0.00000e+00        4.81504e-04 
 7.70        4.09347e+00        -2.84846e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.39728e-04 
 8.40        4.09164e+00        -3.19684e-02        0.00000e+00        0.00000e+00        0.00000e+00        5.97445e-04 
 9.10        4.08980e+00        -3.55076e-02        0.00000e+00        0.00000e+00        0.00000e+00        6.54660e-04 
 9.80        4.08796e+00        -3.91011e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.11384e-04 
 10.50        4.08612e+00        -4.27479e-02        0.00000e+00        0.00000e+00        0.00000e+00        7.67623e-04 
 11.20        4.08427e+00        -4.64468e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.23386e-04 
 11.90        4.08242e+00        -5.01966e-02        0.00000e+00        0.00000e+00        0.00000e+00        8.78679e-04 
 12.60        4.08056e+00        -5.39962e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.33511e-04 
 13.30        4.07871e+00        -5.78446e-02        0.00000e+00        0.00000e+00        0.00000e+00        9.87887e-04 
 14.00        4.07684e+00        -6.17407e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.04181e-03 
 14.70        4.07497e+00        -6.56835e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.09530e-03 
 15.40        4.07310e+00        -6.96717e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.14835e-03 
 16.10        4.07122e+00        -7.37044e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.20097e-03 
 16.80        4.06933e+00        -7.77806e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.25317e-03 
 17.50        4.06743e+00        -8.18992e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.30495e-03 
 18.20        4.06553e+00        -8.60592e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.35631e-03 
 18.90        4.06361e+00        -9.02595e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.40727e-03 
 19.60        4.06169e+00        -9.44992e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.45783e-03 
 20.30        4.05976e+00        -9.87772e-02        0.00000e+00        0.00000e+00        0.00000e+00        1.50799e-03 
 21.00        4.05782e+00        -1.03093e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.55776e-03 
 21.70        4.05587e+00        -1.07444e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.60714e-03 
 22.40        4.05391e+00        -1.11832e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.65614e-03 
 23.10        4.05194e+00        -1.16253e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.70476e-03 
 23.80        4.04996e+00        -1.20708e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.75300e-03 
 24.50        4.04796e+00        -1.25196e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.80087e-03 
 25.20        4.04595e+00        -1.29715e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.84838e-03 
 25.90        4.04393e+00        -1.34265e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.89552e-03 
 26.60        4.04189e+00        -1.38845e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.94230e-03 
 27.30        4.03985e+00        -1.43453e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.98873e-03 
 28.00        4.03778e+00        -1.48090e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.03480e-03 
 28.70        4.03570e+00        -1.52753e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.08053e-03 
 29.40        4.03361e+00        -1.57442e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.12590e-03 
 30.10        4.03150e+00        -1.62157e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.17093e-03 
 30.80        4.02938e+00        -1.66895e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.21562e-03 
 31.50        4.02724e+00        -1.71658e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.25998e-03 
