#Navio B MarAd
#Manobra de Curva Giro
#
#Aceleração
#
#temp           u           v           w    ddotroll   ddotpitch     ddotyaw 
 0.00        0.00000e+00        1.22252e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.67321e-06 
 0.70        -2.53374e-10        1.25760e-04        0.00000e+00        0.00000e+00        0.00000e+00        -2.64303e-06 
 1.40        -2.63165e-03        -4.13691e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.99083e-05 
 2.10        -2.62824e-03        -4.25246e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.88490e-05 
 2.80        -2.62542e-03        -4.36557e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.78123e-05 
 3.50        -2.62320e-03        -4.47630e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.67974e-05 
 4.20        -2.62160e-03        -4.58467e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.58037e-05 
 4.90        -2.62062e-03        -4.69073e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.48307e-05 
 5.60        -2.62026e-03        -4.79451e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.38777e-05 
 6.30        -2.62055e-03        -4.89604e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.29441e-05 
 7.00        -2.62148e-03        -4.99536e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.20293e-05 
 7.70        -2.62306e-03        -5.09251e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.11329e-05 
 8.40        -2.62530e-03        -5.18751e-03        0.00000e+00        0.00000e+00        0.00000e+00        8.02542e-05 
 9.10        -2.62820e-03        -5.28039e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.93928e-05 
 9.80        -2.63177e-03        -5.37119e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.85480e-05 
 10.50        -2.63601e-03        -5.45993e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.77195e-05 
 11.20        -2.64092e-03        -5.54664e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.69066e-05 
 11.90        -2.64651e-03        -5.63136e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.61090e-05 
 12.60        -2.65278e-03        -5.71410e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.53262e-05 
 13.30        -2.65973e-03        -5.79489e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.45576e-05 
 14.00        -2.66736e-03        -5.87376e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.38030e-05 
 14.70        -2.67567e-03        -5.95074e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.30617e-05 
 15.40        -2.68467e-03        -6.02584e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.23335e-05 
 16.10        -2.69434e-03        -6.09909e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.16179e-05 
 16.80        -2.70470e-03        -6.17051e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.09145e-05 
 17.50        -2.71574e-03        -6.24013e-03        0.00000e+00        0.00000e+00        0.00000e+00        7.02229e-05 
 18.20        -2.72746e-03        -6.30796e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.95427e-05 
 18.90        -2.73986e-03        -6.37403e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.88736e-05 
 19.60        -2.75293e-03        -6.43836e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.82153e-05 
 20.30        -2.76667e-03        -6.50096e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.75672e-05 
 21.00        -2.78109e-03        -6.56187e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.69292e-05 
 21.70        -2.79617e-03        -6.62108e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.63009e-05 
 22.40        -2.81191e-03        -6.67863e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.56819e-05 
 23.10        -2.82831e-03        -6.73453e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.50720e-05 
 23.80        -2.84537e-03        -6.78880e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.44708e-05 
 24.50        -2.86308e-03        -6.84146e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.38781e-05 
 25.20        -2.88144e-03        -6.89253e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.32935e-05 
 25.90        -2.90044e-03        -6.94201e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.27168e-05 
 26.60        -2.92007e-03        -6.98993e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.21477e-05 
 27.30        -2.94033e-03        -7.03630e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.15859e-05 
 28.00        -2.96122e-03        -7.08114e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.10313e-05 
 28.70        -2.98273e-03        -7.12446e-03        0.00000e+00        0.00000e+00        0.00000e+00        6.04834e-05 
 29.40        -3.00485e-03        -7.16629e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.99422e-05 
 30.10        -3.02758e-03        -7.20662e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.94073e-05 
 30.80        -3.05090e-03        -7.24548e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.88785e-05 
 31.50        -3.07482e-03        -7.28289e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.83556e-05 
 32.20        -3.09932e-03        -7.31885e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.78384e-05 
 32.90        -3.12441e-03        -7.35338e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.73267e-05 
 33.60        -3.15006e-03        -7.38650e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.68203e-05 
 34.30        -3.17628e-03        -7.41821e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.63189e-05 
 35.00        -3.20305e-03        -7.44854e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.58225e-05 
 35.70        -3.23037e-03        -7.47749e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.53307e-05 
 36.40        -3.25823e-03        -7.50508e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.48435e-05 
 37.10        -3.28661e-03        -7.53131e-03        0.00000e+00        0.00000e+00        0.00000e+00        5.43607e-05 
